,Distribution,Bulk transmission,Wind,Generation (coal),Generation (gas),petrodiesel,biodiesel,diesel blend,biomass primary,coal primary,natural gas primary,wind primary,biodiesel conversion
Distribution,1,1.48907E-16,0,2.63711E-18,2.50368E-18,4.19322E-18,6.73679E-18,1.17894E-17,0,-1.94424E-36,-1.46674E-34,0,3.3684E-18
Bulk transmission,1.049114873,1.018558129,0,0.020371163,0.020371163,0.050927906,0.030556744,0.042779441,0,-1.75218E-20,-1.12818E-18,0,0.020371163
Wind,0.104911487,0.101855813,1,0.002037116,0.002037116,0.005092791,0.003055674,0.004277944,0,-1.75218E-21,-1.12818E-19,0,0.002037116
Generation (coal),0.419645949,0.407423252,0,1.008148465,0.008148465,0.020371163,0.012222698,0.017111777,0,0,-8.74359E-19,0,0.008148465
Generation (gas),0.514066288,0.499093483,0,0.00998187,1.00998187,0.024954674,0.014972804,0.020961926,0,-8.7602E-19,-5.55112E-17,0,0.00998187
petrodiesel,0.006294689,0.006111349,0,0.000122227,0.000122227,1.000305567,0.00018334,0.600256677,0,0,-8.23924E-21,0,0.000122227
biodiesel,0.004196459,0.004074233,0,8.14847E-05,8.14847E-05,0.000203712,1.000122227,0.400171118,0,0,-5.49283E-21,0,8.14847E-05
diesel blend,0.010491149,0.010185581,0,0.000203712,0.000203712,0.000509279,0.000305567,1.000427794,0,0,-1.37321E-20,0,0.000203712
biomass primary,0.005455397,0.005296502,0,0.00010593,0.00010593,0.000264825,1.300158895,0.520222453,1,-9.18797E-23,0,0,1.30010593
coal primary,0.839291898,0.814846503,0,2.01629693,0.01629693,0.040742325,0.024445395,0.034223553,0,1,-1.74872E-18,0,0.01629693
natural gas primary,1.028132576,0.998186967,0,0.019963739,2.019963739,0.049909348,0.029945609,0.041923853,0,-1.75204E-18,1,0,0.019963739
wind primary,0.104911487,0.101855813,1,0.002037116,0.002037116,0.005092791,0.003055674,0.004277944,0,-1.76692E-21,-2.1684E-19,1,0.002037116
biodiesel conversion,0.004196459,0.004074233,0,8.14847E-05,8.14847E-05,0.000203712,1.000122227,0.400171118,0,-7.06767E-23,0,0,1.000081485
