,,Biomass Primary,Biodiesel,Petrodiesel,Biodiesel processing,Wood pellets,Wood pellet processing,Diesel Blend Production,refining,Diesel Blend Consumption,Biomass Primary,Biodiesel,Petrodiesel,Biodiesel processing,Wood pellets,Wood pellet processing,Diesel Blend Production,Refining,Diesel Blend Consumption,Diesel Blend market,Wood pellet market
,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,None,None
Biomass Primary,1,0,0,0,1.2,0,1.1,0,0,0,,,,,,,,,,,
Biodiesel,1,0,0,0,0,0,0,0.3,0,0,,,,,,,,,,,
Petrodiesel,1,0,0,0,0,0,0,0.7,0,0,,,,,,,,,,,
Biodiesel processing,1,0,1.05,0,0,0,0,0,0,0,,,,,,,,,,,
Wood pellets,1,0,0,0,0,0,0,0,0.01,0,,,,,,,,,,,
Wood pellet processing,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
Diesel Blend Production,1,0,0,0,0,0,0.1,0,0.05,0,,,,,,,,,,0.66666,
Refining,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,
Diesel Blend Consumption,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Biomass Primary,2,,,,,,,,,,0,0,0,1.2,0,1.1,0,0,0,,
Biodiesel,2,,,,,,,,,,0,0,0,0,0,0,0.3,0,0,,
Petrodiesel,2,,,,,,,,,,0,0,0,0,0,0,0.7,0,0,,
Biodiesel processing,2,,,,,,,,,,0,1.05,0,0,0,0,0,0,0,,
Wood pellets,2,,,,,,,,,,0,0,0,0,0,0,0,0.01,0,,
Wood pellet processing,2,,,,,,,,,,0,0,0,0,1,0,0,0,0,,
Diesel Blend Production,2,,,,,,,,,,0,0,0,0,0,0.1,0,0.05,0,0.3333,
Refining,2,,,,,,,,,,0,0,1,0,0,0,0,0,0,,
Diesel Blend Consumption,2,,,,,,,,,,0,0,0,0,0,0,0,0,0,,
Diesel Blend market,None,,,,,,,,,1,,,,,,,1,,,,
Wood pellet market,None,,,,,,,,,,,,,,,,,,,,
