,,Biomass Primary,Biodiesel processing,Biodiesel consumption,Biomass Primary,Biodiesel processing,Biodiesel consumption,Biodiesel market,,,,,,,,,,,,
,,1,1,1,2,2,2,None,,,,,,,,,,,,
Biomass Primary,1,0,1.2,0,0,0,0,0,,,,,,,,,,,,
Biodiesel processing,1,0,0,0,0,0,0,0.333333333,,,,,,,,,,,,
Biodiesel consumption,1,0,0.05,0,0,0,0,0,,,,,,,,,,,,
Biomass Primary,2,0,0,0,0,1.2,0,0,,,,,,,,,,,,
Biodiesel processing,2,0,0,0,0,0,0,0.666666667,,,,,,,,,,,,
Biodiesel consumption,2,0,0,0,0,0.05,0,0,,,,,,,,,,,,
Biodiesel market,None,0,0,1,0,0,1,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
