table_name,column_name,foreign_table_name,foreign_column_name
BlendNodeBlendMeasuresData,demand_sector_id,DemandSectors,id
BlendNodeBlendMeasuresData,gau_id,GeographiesData,id
BlendNodeBlendMeasuresData,parent_id,BlendNodeBlendMeasures,id
BlendNodeBlendMeasures,blend_node_id,SupplyNodes,id
BlendNodeBlendMeasures,extrapolation_method_id,CleaningMethods,id
BlendNodeBlendMeasures,geography_id,Geographies,id
BlendNodeBlendMeasures,interpolation_method_id,CleaningMethods,id
BlendNodeBlendMeasures,other_index_1_id,OtherIndexes,id
BlendNodeBlendMeasures,supply_node_id,SupplyNodes,id
BlendNodeInputsData,blend_node_id,SupplyNodes,id
BlendNodeInputsData,supply_node_id,SupplyNodes,id
CO2PriceMeasuresData,gau_id,GeographiesData,id
CO2PriceMeasuresData,parent_id,CO2PriceMeasures,id
CO2PriceMeasures,extrapolation_method_id,CleaningMethods,id
CO2PriceMeasures,geography_id,Geographies,id
CO2PriceMeasures,geography_map_key_id,GeographyMapKeys,id
CO2PriceMeasures,interpolation_method_id,CleaningMethods,id
CO2PriceMeasures,supply_node_id,DispatchConfig,thermal_dispatch_node_id
CurrenciesConversion,currency_id,Currencies,id
CurrenciesConversion,currency_year_id,CurrencyYears,id
DemandCO2CaptureMeasures,extrapolation_method_id,CleaningMethods,id
DemandCO2CaptureMeasures,geography_id,Geographies,id
DemandCO2CaptureMeasures,input_type_id,InputTypes,id
DemandCO2CaptureMeasures,interpolation_method_id,CleaningMethods,id
DemandCO2CaptureMeasures,other_index_1_id,OtherIndexes,id
DemandCO2CaptureMeasures,other_index_2_id,OtherIndexes,id
DemandCO2CaptureMeasures,stock_decay_function_id,StockDecayFunctions,id
DemandCO2CaptureMeasures,subsector_id,DemandSubsectors,id
DemandDriversData,gau_id,GeographiesData,id
DemandDriversData,oth_1_id,OtherIndexesData,id
DemandDriversData,oth_2_id,OtherIndexesData,id
DemandDriversData,parent_id,DemandDrivers,id
DemandDrivers,base_driver_id,DemandDrivers,id
DemandDrivers,extrapolation_method_id,CleaningMethods,id
DemandDrivers,geography_id,Geographies,id
DemandDrivers,geography_map_key_id,GeographyMapKeys,id
DemandDrivers,input_type_id,InputTypes,id
DemandDrivers,interpolation_method_id,CleaningMethods,id
DemandDrivers,other_index_1_id,OtherIndexes,id
DemandDrivers,other_index_2_id,OtherIndexes,id
DemandEnergyDemandsData,final_energy_id,FinalEnergy,id
DemandEnergyDemandsData,gau_id,GeographiesData,id
DemandEnergyDemandsData,oth_1_id,OtherIndexesData,id
DemandEnergyDemandsData,oth_2_id,OtherIndexesData,id
DemandEnergyDemandsData,subsector_id,DemandSubsectors,id
DemandEnergyDemands,driver_1_id,DemandDrivers,id
DemandEnergyDemands,driver_2_id,DemandDrivers,id
DemandEnergyDemands,driver_denominator_1_id,DemandDrivers,id
DemandEnergyDemands,driver_denominator_2_id,DemandDrivers,id
DemandEnergyDemands,extrapolation_method_id,CleaningMethods,id
DemandEnergyDemands,geography_id,Geographies,id
DemandEnergyDemands,geography_map_key_id,GeographyMapKeys,id
DemandEnergyDemands,input_type_id,InputTypes,id
DemandEnergyDemands,interpolation_method_id,CleaningMethods,id
DemandEnergyDemands,other_index_1_id,OtherIndexes,id
DemandEnergyDemands,other_index_2_id,OtherIndexes,id
DemandEnergyDemands,subsector_id,DemandSubsectors,id
DemandEnergyEfficiencyMeasuresCostData,final_energy_id,FinalEnergy,id
DemandEnergyEfficiencyMeasuresCostData,gau_id,GeographiesData,id
DemandEnergyEfficiencyMeasuresCostData,oth_1_id,OtherIndexesData,id
DemandEnergyEfficiencyMeasuresCostData,oth_2_id,OtherIndexesData,id
DemandEnergyEfficiencyMeasuresCostData,parent_id,DemandEnergyEfficiencyMeasures,id
DemandEnergyEfficiencyMeasuresCost,currency_id,Currencies,id
DemandEnergyEfficiencyMeasuresCost,currency_year_id,CurrencyYears,id
DemandEnergyEfficiencyMeasuresCost,extrapolation_method_id,CleaningMethods,id
DemandEnergyEfficiencyMeasuresCost,geography_id,Geographies,id
DemandEnergyEfficiencyMeasuresCost,interpolation_method_id,CleaningMethods,id
DemandEnergyEfficiencyMeasuresCost,other_index_1_id,OtherIndexes,id
DemandEnergyEfficiencyMeasuresCost,other_index_2_id,OtherIndexes,id
DemandEnergyEfficiencyMeasuresCost,parent_id,DemandEnergyEfficiencyMeasures,id
DemandEnergyEfficiencyMeasuresData,final_energy_id,FinalEnergy,id
DemandEnergyEfficiencyMeasuresData,gau_id,GeographiesData,id
DemandEnergyEfficiencyMeasuresData,oth_1_id,OtherIndexesData,id
DemandEnergyEfficiencyMeasuresData,oth_2_id,OtherIndexesData,id
DemandEnergyEfficiencyMeasuresData,parent_id,DemandEnergyEfficiencyMeasures,id
DemandEnergyEfficiencyMeasures,extrapolation_method_id,CleaningMethods,id
DemandEnergyEfficiencyMeasures,geography_id,Geographies,id
DemandEnergyEfficiencyMeasures,input_type_id,InputTypes,id
DemandEnergyEfficiencyMeasures,interpolation_method_id,CleaningMethods,id
DemandEnergyEfficiencyMeasures,other_index_1_id,OtherIndexes,id
DemandEnergyEfficiencyMeasures,other_index_2_id,OtherIndexes,id
DemandEnergyEfficiencyMeasures,stock_decay_function_id,StockDecayFunctions,id
DemandEnergyEfficiencyMeasures,subsector_id,DemandSubsectors,id
DemandFlexibleLoadMeasuresData,gau_id,GeographiesData,id
DemandFlexibleLoadMeasuresData,oth_1_id,OtherIndexesData,id
DemandFlexibleLoadMeasuresData,parent_id,DemandFlexibleLoadMeasures,id
DemandFlexibleLoadMeasures,extrapolation_method_id,CleaningMethods,id
DemandFlexibleLoadMeasures,geography_id,Geographies,id
DemandFlexibleLoadMeasures,interpolation_method_id,CleaningMethods,id
DemandFlexibleLoadMeasures,other_index_1_id,OtherIndexes,id
DemandFlexibleLoadMeasures,subsector_id,DemandSubsectors,id
DemandFuelSwitchingMeasuresCostData,gau_id,GeographiesData,id
DemandFuelSwitchingMeasuresCostData,oth_1_id,OtherIndexesData,id
DemandFuelSwitchingMeasuresCostData,oth_2_id,OtherIndexesData,id
DemandFuelSwitchingMeasuresCostData,parent_id,DemandFuelSwitchingMeasures,id
DemandFuelSwitchingMeasuresCost,currency_id,Currencies,id
DemandFuelSwitchingMeasuresCost,currency_year_id,CurrencyYears,id
DemandFuelSwitchingMeasuresCost,extrapolation_method_id,CleaningMethods,id
DemandFuelSwitchingMeasuresCost,geography_id,Geographies,id
DemandFuelSwitchingMeasuresCost,interpolation_method_id,CleaningMethods,id
DemandFuelSwitchingMeasuresCost,other_index_1_id,OtherIndexes,id
DemandFuelSwitchingMeasuresCost,other_index_2_id,OtherIndexes,id
DemandFuelSwitchingMeasuresCost,parent_id,DemandFuelSwitchingMeasures,id
DemandFuelSwitchingMeasuresEnergyIntensity,extrapolation_method_id,CleaningMethods,id
DemandFuelSwitchingMeasuresEnergyIntensity,interpolation_method_id,CleaningMethods,id
DemandFuelSwitchingMeasuresEnergyIntensity,other_index_1_id,OtherIndexes,id
DemandFuelSwitchingMeasuresEnergyIntensity,other_index_2_id,OtherIndexes,id
DemandFuelSwitchingMeasuresEnergyIntensityData,gau_id,GeographiesData,id
DemandFuelSwitchingMeasuresEnergyIntensityData,oth_1_id,OtherIndexesData,id
DemandFuelSwitchingMeasuresEnergyIntensityData,oth_2_id,OtherIndexesData,id
DemandFuelSwitchingMeasuresEnergyIntensityData,parent_id,DemandFuelSwitchingMeasures,id
DemandFuelSwitchingMeasuresEnergyIntensity,geography_id,Geographies,id
DemandFuelSwitchingMeasuresEnergyIntensity,parent_id,DemandFuelSwitchingMeasures,id
DemandFuelSwitchingMeasuresImpactData,gau_id,GeographiesData,id
DemandFuelSwitchingMeasuresImpactData,oth_1_id,OtherIndexesData,id
DemandFuelSwitchingMeasuresImpactData,oth_2_id,OtherIndexesData,id
DemandFuelSwitchingMeasuresImpactData,parent_id,DemandFuelSwitchingMeasures,id
DemandFuelSwitchingMeasuresImpact,extrapolation_method_id,CleaningMethods,id
DemandFuelSwitchingMeasuresImpact,geography_id,Geographies,id
DemandFuelSwitchingMeasuresImpact,input_type_id,InputTypes,id
DemandFuelSwitchingMeasuresImpact,interpolation_method_id,CleaningMethods,id
DemandFuelSwitchingMeasuresImpact,other_index_1_id,OtherIndexes,id
DemandFuelSwitchingMeasuresImpact,other_index_2_id,OtherIndexes,id
DemandFuelSwitchingMeasuresImpact,parent_id,DemandFuelSwitchingMeasures,id
DemandFuelSwitchingMeasures,final_energy_from_id,FinalEnergy,id
DemandFuelSwitchingMeasures,final_energy_to_id,FinalEnergy,id
DemandFuelSwitchingMeasures,stock_decay_function_id,StockDecayFunctions,id
DemandFuelSwitchingMeasures,subsector_id,DemandSubsectors,id
DemandSalesData,demand_technology_id,DemandTechs,id
DemandSalesData,gau_id,GeographiesData,id
DemandSalesData,oth_1_id,OtherIndexesData,id
DemandSalesData,oth_2_id,OtherIndexesData,id
DemandSalesData,subsector_id,DemandSales,subsector_id
DemandSalesShareMeasuresData,gau_id,GeographiesData,id
DemandSalesShareMeasuresData,oth_1_id,OtherIndexesData,id
DemandSalesShareMeasuresData,parent_id,DemandSalesShareMeasures,id
DemandSalesShareMeasures,demand_technology_id,DemandTechs,id
DemandSalesShareMeasures,extrapolation_method_id,CleaningMethods,id
