census division,year,value
56,1990,57891690000.0
56,1991,57080650000.0
56,1992,58916370000.0
56,1993,60768890000.0
56,1994,61161280000.0
56,1995,61936630000.0
56,1996,64447810000.0
56,1997,67863160000.0
56,1998,70687950000.0
56,1999,70023530000.0
56,2000,69792540000.0
56,2001,64964690000.0
56,2002,62496580000.0
56,2003,58587680000.0
56,2004,56200590000.0
56,2005,55094820000.0
56,2006,56419560000.0
56,2007,55921200000.0
56,2008,51897400000.0
56,2009,46408270000.0
56,2010,48374580000.0
56,2011,49775200000.0
56,2012,50887890000.0
56,2013,52685870000.0
56,2014,54678150000.0
56,2015,57864270000.0
56,2016,57892840000.0
56,2017,58458100000.0
56,2018,59395160000.0
56,2019,60123800000.0
56,2020,61300560000.0
56,2021,62345300000.0
56,2022,63682680000.0
56,2023,65143170000.0
56,2024,66730010000.0
56,2025,68117460000.0
56,2026,69376820000.0
56,2027,70711850000.0
56,2028,71876220000.0
56,2029,73097330000.0
56,2030,74428480000.0
56,2031,75695470000.0
56,2032,76896380000.0
56,2033,78437650000.0
56,2034,80143740000.0
56,2035,81956720000.0
56,2036,83730130000.0
56,2037,85462150000.0
56,2038,87290590000.0
56,2039,89036050000.0
56,2040,90783950000.0
57,1990,2.0043209e+11
57,1991,1.9794791e+11
57,1992,1.9722319e+11
57,1993,1.9664223e+11
57,1994,1.9988145e+11
57,1995,2.000922e+11
57,1996,2.0271356e+11
57,1997,2.0657916e+11
57,1998,2.0490129e+11
57,1999,2.0651193e+11
57,2000,2.1850085e+11
57,2001,2.1814305e+11
57,2002,2.2093476e+11
57,2003,2.1943758e+11
57,2004,2.1316467e+11
57,2005,2.1316579e+11
57,2006,2.1374552e+11
57,2007,2.0326448e+11
57,2008,1.8905067e+11
57,2009,1.6763787e+11
57,2010,1.7118713e+11
57,2011,1.7403144e+11
57,2012,1.7620697e+11
57,2013,1.8039885e+11
57,2014,1.8642303e+11
57,2015,1.936449e+11
57,2016,1.9480988e+11
57,2017,1.9673676e+11
57,2018,1.9989794e+11
57,2019,2.0311586e+11
57,2020,2.0742562e+11
57,2021,2.1156624e+11
57,2022,2.1647134e+11
57,2023,2.2168934e+11
57,2024,2.2739465e+11
57,2025,2.3277263e+11
57,2026,2.3773405e+11
57,2027,2.4253759e+11
57,2028,2.4681019e+11
57,2029,2.512135e+11
57,2030,2.56166e+11
57,2031,2.6097238e+11
57,2032,2.6536683e+11
57,2033,2.7061885e+11
57,2034,2.7645499e+11
57,2035,2.8267082e+11
57,2036,2.8895458e+11
57,2037,2.9523877e+11
57,2038,3.0174261e+11
57,2039,3.0838605e+11
57,2040,3.1512239e+11
58,1990,1.9038412e+11
58,1991,1.8508822e+11
58,1992,1.8738599e+11
58,1993,1.9207484e+11
58,1994,2.0587959e+11
58,1995,2.0490553e+11
58,1996,2.0427026e+11
58,1997,2.0888491e+11
58,1998,2.211718e+11
58,1999,2.1606373e+11
58,2000,2.178166e+11
58,2001,2.0649566e+11
58,2002,2.1526728e+11
58,2003,2.1970499e+11
58,2004,2.2628492e+11
58,2005,2.2664787e+11
58,2006,2.2345008e+11
58,2007,2.327788e+11
58,2008,2.1365273e+11
58,2009,1.8491562e+11
58,2010,1.873089e+11
58,2011,1.9010525e+11
58,2012,1.9243854e+11
58,2013,1.971834e+11
58,2014,2.0418837e+11
58,2015,2.125001e+11
58,2016,2.1443524e+11
58,2017,2.1657869e+11
58,2018,2.2013329e+11
58,2019,2.2369608e+11
58,2020,2.2837071e+11
58,2021,2.3256137e+11
58,2022,2.3743619e+11
58,2023,2.4271264e+11
58,2024,2.4842224e+11
58,2025,2.5371287e+11
58,2026,2.5864656e+11
58,2027,2.6343917e+11
58,2028,2.6762298e+11
58,2029,2.7206188e+11
58,2030,2.7710397e+11
58,2031,2.8195454e+11
58,2032,2.8613832e+11
58,2033,2.9133162e+11
58,2034,2.9729831e+11
58,2035,3.0366201e+11
58,2036,3.0996644e+11
58,2037,3.1611178e+11
58,2038,3.2246699e+11
58,2039,3.2866132e+11
58,2040,3.3495774e+11
59,1990,52997620000.0
59,1991,52567570000.0
59,1992,54774620000.0
59,1993,55013080000.0
59,1994,58982320000.0
59,1995,61125030000.0
59,1996,62456070000.0
59,1997,64260420000.0
59,1998,69543890000.0
59,1999,70194890000.0
59,2000,70419320000.0
59,2001,65629230000.0
59,2002,68985800000.0
59,2003,70724980000.0
59,2004,73310740000.0
59,2005,74913340000.0
59,2006,73987230000.0
59,2007,73070810000.0
59,2008,66987270000.0
59,2009,58220290000.0
59,2010,59751300000.0
59,2011,61190400000.0
59,2012,62327590000.0
59,2013,64292920000.0
59,2014,66771540000.0
59,2015,70408670000.0
59,2016,70565440000.0
59,2017,71081710000.0
59,2018,72013200000.0
59,2019,72864150000.0
59,2020,74242420000.0
59,2021,75337860000.0
59,2022,76696280000.0
59,2023,78265110000.0
59,2024,79976390000.0
59,2025,81485480000.0
59,2026,82860070000.0
59,2027,84245370000.0
59,2028,85395610000.0
59,2029,86692610000.0
59,2030,88180880000.0
59,2031,89535780000.0
59,2032,90632990000.0
59,2033,92202430000.0
59,2034,94113520000.0
59,2035,96178920000.0
59,2036,98167730000.0
59,2037,1.0007213e+11
59,2038,1.020983e+11
