census region,year,value
66,2000,2.8829339e+11
66,2001,2.8310774e+11
66,2002,2.8343134e+11
66,2003,2.7802526e+11
66,2004,2.6936526e+11
66,2005,2.6826061e+11
66,2006,2.7016508e+11
66,2007,2.5918568e+11
66,2008,2.4094807e+11
66,2009,2.1404614e+11
66,2010,2.1956171e+11
66,2011,2.2380664e+11
66,2012,2.2709486e+11
66,2013,2.3308472e+11
66,2014,2.4110118e+11
66,2015,2.5150917e+11
66,2016,2.5270272e+11
67,2000,2.8823592e+11
67,2001,2.7212489e+11
67,2002,2.8425308e+11
67,2003,2.9042997e+11
67,2004,2.9959566e+11
67,2005,3.0156121e+11
67,2006,2.9743731e+11
67,2007,3.0584961e+11
67,2008,2.8064e+11
67,2009,2.4313591e+11
67,2010,2.470602e+11
67,2011,2.5129565e+11
67,2012,2.5476613e+11
67,2013,2.6147632e+11
67,2014,2.7095991e+11
67,2015,2.8290877e+11
67,2016,2.8500068e+11
68,2000,4.8305311e+11
68,2001,4.6742105e+11
68,2002,4.5378412e+11
68,2003,4.4790792e+11
68,2004,4.5138007e+11
68,2005,4.7185676e+11
68,2006,4.5753974e+11
68,2007,4.5299404e+11
68,2008,4.1036946e+11
68,2009,3.6402029e+11
68,2010,3.7356198e+11
68,2011,3.842099e+11
68,2012,3.9139282e+11
68,2013,4.0061395e+11
68,2014,4.1385431e+11
68,2015,4.3027886e+11
68,2016,4.3404562e+11
69,2000,2.0806823e+11
69,2001,2.0105411e+11
69,2002,1.9873921e+11
69,2003,2.0079854e+11
69,2004,2.0548381e+11
69,2005,2.181169e+11
69,2006,2.2103601e+11
69,2007,2.2529725e+11
69,2008,2.1738314e+11
69,2009,1.9007979e+11
69,2010,1.909586e+11
69,2011,1.9294539e+11
69,2012,1.9471578e+11
69,2013,1.9941326e+11
69,2014,2.0579446e+11
69,2015,2.1656525e+11
69,2016,2.1693416e+11
