census division,year,value
56,1990,10430370000.0
56,1991,10670860000.0
56,1992,10705010000.0
56,1993,10712550000.0
56,1994,10580640000.0
56,1995,10470610000.0
56,1996,10487020000.0
56,1997,10849230000.0
56,1998,12459450000.0
56,1999,12222150000.0
56,2000,13029360000.0
56,2001,12469190000.0
56,2002,13256770000.0
56,2003,13772620000.0
56,2004,13682190000.0
56,2005,15177270000.0
56,2006,15592120000.0
56,2007,14795400000.0
56,2008,13843960000.0
56,2009,13820380000.0
56,2010,13811230000.0
56,2011,14115930000.0
56,2012,14879040000.0
56,2013,14993390000.0
56,2014,15283540000.0
56,2015,15760030000.0
56,2016,16208830000.0
56,2017,16681240000.0
56,2018,17063190000.0
56,2019,17509540000.0
56,2020,18002390000.0
56,2021,18426120000.0
56,2022,18853470000.0
56,2023,19328400000.0
56,2024,19838120000.0
56,2025,20314060000.0
56,2026,20771770000.0
56,2027,21241750000.0
56,2028,21712650000.0
56,2029,22177720000.0
56,2030,22634650000.0
56,2031,23076500000.0
56,2032,23530050000.0
56,2033,24020590000.0
56,2034,24525660000.0
56,2035,25043520000.0
56,2036,25581940000.0
56,2037,26124750000.0
56,2038,26673680000.0
56,2039,27227050000.0
56,2040,27814580000.0
57,1990,54721500000.0
57,1991,55853820000.0
57,1992,56365460000.0
57,1993,56487880000.0
57,1994,55370300000.0
57,1995,54974430000.0
57,1996,52688310000.0
57,1997,53454680000.0
57,1998,55453450000.0
57,1999,54411350000.0
57,2000,54172890000.0
57,2001,52751890000.0
57,2002,54565650000.0
57,2003,55692810000.0
57,2004,53336380000.0
57,2005,57443950000.0
57,2006,56524800000.0
57,2007,54872240000.0
57,2008,52753390000.0
57,2009,53130510000.0
57,2010,52988910000.0
57,2011,54365650000.0
57,2012,57039520000.0
57,2013,57659160000.0
57,2014,58848280000.0
57,2015,60085110000.0
57,2016,61812710000.0
57,2017,63243490000.0
57,2018,64658820000.0
57,2019,66006130000.0
57,2020,67373040000.0
57,2021,68624380000.0
57,2022,69918950000.0
57,2023,71291270000.0
57,2024,72700890000.0
57,2025,74042960000.0
57,2026,75339180000.0
57,2027,76670920000.0
57,2028,78014800000.0
57,2029,79335280000.0
57,2030,80618630000.0
57,2031,81846560000.0
57,2032,83092310000.0
57,2033,84377780000.0
57,2034,85700560000.0
57,2035,87047140000.0
57,2036,88405840000.0
57,2037,89768310000.0
57,2038,91145280000.0
57,2039,92520000000.0
57,2040,93942380000.0
58,1990,1.0512839e+11
58,1991,1.0726943e+11
58,1992,1.0962891e+11
58,1993,1.1322768e+11
58,1994,1.1541128e+11
58,1995,1.1555476e+11
58,1996,1.1058766e+11
58,1997,1.1339149e+11
58,1998,1.1463018e+11
58,1999,1.1431067e+11
58,2000,1.1447587e+11
58,2001,1.1564131e+11
58,2002,1.1732984e+11
58,2003,1.1713698e+11
58,2004,1.169669e+11
58,2005,1.1974355e+11
58,2006,1.1665119e+11
58,2007,1.2051692e+11
58,2008,1.2304222e+11
58,2009,1.2468214e+11
58,2010,1.2399509e+11
58,2011,1.244719e+11
58,2012,1.287918e+11
58,2013,1.2907837e+11
58,2014,1.3133592e+11
58,2015,1.3348759e+11
58,2016,1.3694626e+11
58,2017,1.39698e+11
58,2018,1.4258061e+11
58,2019,1.45236e+11
58,2020,1.4790989e+11
58,2021,1.5047131e+11
58,2022,1.5315446e+11
58,2023,1.5601245e+11
58,2024,1.5899903e+11
58,2025,1.6171217e+11
58,2026,1.6431175e+11
58,2027,1.6698754e+11
58,2028,1.6969342e+11
58,2029,1.7235051e+11
58,2030,1.7492508e+11
58,2031,1.7738809e+11
58,2032,1.7987745e+11
58,2033,1.8241441e+11
58,2034,1.850334e+11
58,2035,1.8769997e+11
58,2036,1.9036805e+11
58,2037,1.930495e+11
58,2038,1.9575693e+11
58,2039,1.9844298e+11
58,2040,2.0120178e+11
59,1990,80838400000.0
59,1991,82874910000.0
59,1992,85493930000.0
59,1993,85068170000.0
59,1994,89238020000.0
59,1995,95333560000.0
59,1996,91036480000.0
59,1997,95418660000.0
59,1998,1.0286344e+11
59,1999,1.0602483e+11
59,2000,1.0828969e+11
59,2001,1.0884761e+11
59,2002,1.1091688e+11
59,2003,1.1110376e+11
59,2004,1.1310405e+11
59,2005,1.1531837e+11
59,2006,1.1578543e+11
59,2007,1.16705e+11
59,2008,1.2524589e+11
59,2009,1.2676917e+11
59,2010,1.2526086e+11
59,2011,1.2347896e+11
59,2012,1.2615498e+11
59,2013,1.2600371e+11
59,2014,1.28032e+11
59,2015,1.2999576e+11
59,2016,1.3307632e+11
59,2017,1.3555047e+11
59,2018,1.3804201e+11
59,2019,1.4047327e+11
59,2020,1.4287602e+11
59,2021,1.4527349e+11
59,2022,1.4777977e+11
59,2023,1.5045314e+11
59,2024,1.532582e+11
59,2025,1.5586275e+11
59,2026,1.5835215e+11
59,2027,1.6091175e+11
59,2028,1.6351198e+11
59,2029,1.6605703e+11
59,2030,1.6852939e+11
59,2031,1.7089188e+11
59,2032,1.73289e+11
59,2033,1.7574231e+11
59,2034,1.7829235e+11
59,2035,1.8087771e+11
59,2036,1.8346259e+11
59,2037,1.860765e+11
59,2038,1.8870813e+11
59,2039,1.9132188e+11
59,2040,1.9400778e+11
60,1990,57244690000.0
60,1991,59853200000.0
60,1992,61903260000.0
60,1993,64724030000.0
60,1994,66866980000.0
60,1995,71429600000.0
60,1996,69274690000.0
60,1997,72212450000.0
60,1998,76650830000.0
60,1999,75025270000.0
60,2000,75195910000.0
60,2001,74441830000.0
60,2002,75410400000.0
60,2003,75427760000.0
60,2004,75731530000.0
60,2005,77877850000.0
60,2006,80825280000.0
60,2007,82723000000.0
60,2008,79933850000.0
60,2009,80864810000.0
60,2010,80365090000.0
60,2011,81329390000.0
60,2012,84555970000.0
60,2013,85442890000.0
60,2014,87192430000.0
60,2015,88869590000.0
60,2016,91354790000.0
60,2017,93366980000.0
60,2018,95295680000.0
60,2019,97156760000.0
60,2020,98960810000.0
60,2021,1.0069736e+11
60,2022,1.0248893e+11
60,2023,1.0436731e+11
60,2024,1.0627284e+11
60,2025,1.0813786e+11
60,2026,1.0993592e+11
60,2027,1.1179141e+11
60,2028,1.1366578e+11
60,2029,1.1550383e+11
60,2030,1.1729296e+11
60,2031,1.1900325e+11
60,2032,1.2073662e+11
60,2033,1.2250679e+11
60,2034,1.2433673e+11
60,2035,1.2617721e+11
60,2036,1.2801229e+11
60,2037,1.2986173e+11
60,2038,1.3173477e+11
60,2039,1.3359975e+11
60,2040,1.3551309e+11
61,1990,24369120000.0
61,1991,26011680000.0
61,1992,27694300000.0
61,1993,29668150000.0
61,1994,30478650000.0
61,1995,31467330000.0
61,1996,30648860000.0
61,1997,32374760000.0
61,1998,35474000000.0
61,1999,36015120000.0
61,2000,35750870000.0
61,2001,36122290000.0
61,2002,37323670000.0
61,2003,38174710000.0
61,2004,40313530000.0
61,2005,41329530000.0
61,2006,39815820000.0
61,2007,40258320000.0
61,2008,40460620000.0
61,2009,41040990000.0
61,2010,40601850000.0
61,2011,41014450000.0
61,2012,42713580000.0
61,2013,43085680000.0
61,2014,43997700000.0
61,2015,44970280000.0
61,2016,46173710000.0
61,2017,47230670000.0
61,2018,48186790000.0
61,2019,49165350000.0
61,2020,50138350000.0
61,2021,51079110000.0
61,2022,52049870000.0
61,2023,53071780000.0
61,2024,54126890000.0
61,2025,55146610000.0
61,2026,56125460000.0
61,2027,57132410000.0
61,2028,58149860000.0
61,2029,59148670000.0
61,2030,60120990000.0
61,2031,61049210000.0
61,2032,61994330000.0
61,2033,62964910000.0
61,2034,63969500000.0
61,2035,64987890000.0
61,2036,66013670000.0
61,2037,67049400000.0
61,2038,68100410000.0
61,2039,69142100000.0
61,2040,70216840000.0
62,1990,47683020000.0
62,1991,49987480000.0
62,1992,50401180000.0
62,1993,54391460000.0
62,1994,54949340000.0
62,1995,56018730000.0
62,1996,56872830000.0
62,1997,62175560000.0
62,1998,58146930000.0
62,1999,60708670000.0
62,2000,61392260000.0
62,2001,61107280000.0
62,2002,63658530000.0
62,2003,65116960000.0
62,2004,64460690000.0
62,2005,66852570000.0
62,2006,68675580000.0
62,2007,64458120000.0
62,2008,63959720000.0
62,2009,65086850000.0
62,2010,64857550000.0
62,2011,65413750000.0
62,2012,67822810000.0
62,2013,68543520000.0
62,2014,69995940000.0
62,2015,71427990000.0
62,2016,73480350000.0
62,2017,75177300000.0
62,2018,76758840000.0
62,2019,78331680000.0
62,2020,79857520000.0
62,2021,81324800000.0
62,2022,82819080000.0
62,2023,84386070000.0
62,2024,86000860000.0
62,2025,87548930000.0
62,2026,89040410000.0
62,2027,90581950000.0
62,2028,92137700000.0
62,2029,93668020000.0
62,2030,95149670000.0
62,2031,96571530000.0
62,2032,98012150000.0
62,2033,99483450000.0
62,2034,1.0100173e+11
62,2035,1.0253564e+11
62,2036,1.0406927e+11
62,2037,1.0562223e+11
62,2038,1.071974e+11
62,2039,1.0875985e+11
62,2040,1.1036833e+11
63,1990,16819730000.0
63,1991,16159600000.0
63,1992,16910330000.0
63,1993,17827630000.0
63,1994,18214510000.0
63,1995,20212540000.0
63,1996,20137820000.0
63,1997,20979920000.0
63,1998,21453830000.0
63,1999,22173700000.0
63,2000,22997370000.0
63,2001,23175170000.0
63,2002,25156080000.0
63,2003,26468780000.0
63,2004,23741190000.0
63,2005,24464150000.0
63,2006,24530640000.0
63,2007,28220890000.0
63,2008,28582120000.0
63,2009,28418310000.0
63,2010,28128240000.0
63,2011,28394790000.0
63,2012,29467120000.0
63,2013,29504470000.0
63,2014,29929200000.0
63,2015,30515430000.0
63,2016,31355030000.0
63,2017,32120100000.0
63,2018,32819300000.0
63,2019,33552190000.0
63,2020,34323940000.0
63,2021,35001130000.0
63,2022,35708160000.0
63,2023,36478930000.0
63,2024,37281830000.0
63,2025,38028270000.0
63,2026,38738520000.0
63,2027,39470830000.0
63,2028,40211700000.0
63,2029,40936070000.0
63,2030,41651560000.0
63,2031,42332780000.0
63,2032,43024280000.0
63,2033,43745540000.0
63,2034,44490900000.0
63,2035,45252010000.0
63,2036,46025880000.0
63,2037,46801780000.0
63,2038,47590560000.0
63,2039,48384050000.0
63,2040,49211040000.0
64,1990,77689350000.0
64,1991,74827220000.0
64,1992,73628970000.0
64,1993,74676010000.0
64,1994,70879740000.0
64,1995,70622160000.0
64,1996,69663290000.0
64,1997,73241260000.0
64,1998,74096190000.0
64,1999,75423000000.0
64,2000,76026100000.0
64,2001,76170940000.0
64,2002,77252650000.0
64,2003,77246230000.0
64,2004,76072010000.0
64,2005,80376040000.0
64,2006,83967240000.0
64,2007,85113090000.0
64,2008,79185410000.0
64,2009,79404240000.0
64,2010,78787780000.0
64,2011,79923850000.0
64,2012,83210920000.0
64,2013,83769850000.0
64,2014,85201410000.0
64,2015,86630590000.0
64,2016,88926180000.0
64,2017,90759930000.0
64,2018,92605210000.0
64,2019,94345260000.0
64,2020,96092760000.0
64,2021,97734880000.0
64,2022,99442840000.0
64,2023,1.0125824e+11
64,2024,1.0313662e+11
64,2025,1.049153e+11
64,2026,1.0663723e+11
64,2027,1.0842225e+11
64,2028,1.1023025e+11
64,2029,1.1201076e+11
64,2030,1.1374075e+11
64,2031,1.153998e+11
64,2032,1.1707973e+11
64,2033,1.1880101e+11
64,2034,1.2057246e+11
64,2035,1.2237238e+11
64,2036,1.2417666e+11
64,2037,1.2599673e+11
64,2038,1.2784092e+11
64,2039,1.2967813e+11
64,2040,1.3157238e+11
