census division,year,value
56,1990,17973870000.0
56,1991,17584830000.0
56,1992,17464610000.0
56,1993,16413890000.0
56,1994,16236570000.0
56,1995,15227810000.0
56,1996,15100790000.0
56,1997,15719470000.0
56,1998,15842820000.0
56,1999,15938490000.0
56,2000,15152780000.0
56,2001,14100480000.0
56,2002,13270390000.0
56,2003,12012070000.0
56,2004,11819400000.0
56,2005,11595720000.0
56,2006,10075050000.0
56,2007,10734760000.0
56,2008,9394730000.0
56,2009,8686050000.0
56,2010,9041210000.0
56,2011,8917980000.0
56,2012,8873640000.0
56,2013,8996700000.0
56,2014,8948020000.0
56,2015,9236140000.0
56,2016,9396510000.0
56,2017,9439170000.0
56,2018,9508200000.0
56,2019,9576700000.0
56,2020,9655470000.0
56,2021,9705490000.0
56,2022,9710030000.0
56,2023,9673760000.0
56,2024,9621810000.0
56,2025,9618300000.0
56,2026,9587680000.0
56,2027,9560190000.0
56,2028,9508920000.0
56,2029,9432570000.0
56,2030,9352120000.0
56,2031,9281040000.0
56,2032,9212080000.0
56,2033,9171160000.0
56,2034,9143290000.0
56,2035,9133030000.0
56,2036,9141870000.0
56,2037,9164680000.0
56,2038,9211730000.0
56,2039,9280760000.0
56,2040,9355100000.0
57,1990,25853830000.0
57,1991,25362340000.0
57,1992,25120000000.0
57,1993,24634290000.0
57,1994,25089580000.0
57,1995,24362030000.0
57,1996,23675810000.0
57,1997,24221370000.0
57,1998,22967370000.0
57,1999,24309100000.0
57,2000,23647890000.0
57,2001,20907080000.0
57,2002,21554480000.0
57,2003,21541500000.0
57,2004,20511870000.0
57,2005,20762780000.0
57,2006,20722270000.0
57,2007,19483960000.0
57,2008,19348950000.0
57,2009,17401120000.0
57,2010,17669110000.0
57,2011,17106420000.0
57,2012,16767370000.0
57,2013,16797140000.0
57,2014,16545490000.0
57,2015,16934270000.0
57,2016,17114250000.0
57,2017,17101440000.0
57,2018,17149970000.0
57,2019,17211770000.0
57,2020,17300850000.0
57,2021,17350340000.0
57,2022,17325750000.0
57,2023,17232720000.0
57,2024,17115660000.0
57,2025,17088930000.0
57,2026,17018810000.0
57,2027,16956920000.0
57,2028,16855490000.0
57,2029,16711900000.0
57,2030,16561930000.0
57,2031,16430210000.0
57,2032,16302930000.0
57,2033,16224140000.0
57,2034,16168350000.0
57,2035,16144010000.0
57,2036,16153310000.0
57,2037,16187690000.0
57,2038,16264840000.0
57,2039,16380970000.0
57,2040,16505700000.0
58,1990,41597920000.0
58,1991,41500130000.0
58,1992,42761150000.0
58,1993,44019460000.0
58,1994,45420610000.0
58,1995,44352690000.0
58,1996,43253070000.0
58,1997,44203850000.0
58,1998,43016080000.0
58,1999,44132160000.0
58,2000,41526680000.0
58,2001,39575720000.0
58,2002,40477760000.0
58,2003,40136580000.0
58,2004,38639850000.0
58,2005,38836100000.0
58,2006,38440700000.0
58,2007,38824760000.0
58,2008,36403340000.0
58,2009,32878720000.0
58,2010,33444220000.0
58,2011,32430370000.0
58,2012,31821850000.0
58,2013,31908830000.0
58,2014,31455330000.0
58,2015,32203420000.0
58,2016,32556830000.0
