census division,year,value
56,1990,2203380000.0
56,1991,2060380000.0
56,1992,2197510000.0
56,1993,2144050000.0
56,1994,2254340000.0
56,1995,2402050000.0
56,1996,2534670000.0
56,1997,2784070000.0
56,1998,2625300000.0
56,1999,2697580000.0
56,2000,2898530000.0
56,2001,2473700000.0
56,2002,2764610000.0
56,2003,2993430000.0
56,2004,3043160000.0
56,2005,3250330000.0
56,2006,3178980000.0
56,2007,3001680000.0
56,2008,2688950000.0
56,2009,1966280000.0
56,2010,2134010000.0
56,2011,2075880000.0
56,2012,2127490000.0
56,2013,2308420000.0
56,2014,2414540000.0
56,2015,2714330000.0
56,2016,2790680000.0
56,2017,2793200000.0
56,2018,2821180000.0
56,2019,2892890000.0
56,2020,2972910000.0
56,2021,2985080000.0
56,2022,3002390000.0
56,2023,3070420000.0
56,2024,3127830000.0
56,2025,3196270000.0
56,2026,3264060000.0
56,2027,3263450000.0
56,2028,3192380000.0
56,2029,3175080000.0
56,2030,3222700000.0
56,2031,3226140000.0
56,2032,3133560000.0
56,2033,3120260000.0
56,2034,3155490000.0
56,2035,3200650000.0
56,2036,3223710000.0
56,2037,3240170000.0
56,2038,3273500000.0
56,2039,3267800000.0
56,2040,3295120000.0
57,1990,4587340000.0
57,1991,4277960000.0
57,1992,4439280000.0
57,1993,4330890000.0
57,1994,4603740000.0
57,1995,4638270000.0
57,1996,4696580000.0
57,1997,4868370000.0
57,1998,5838590000.0
57,1999,5694200000.0
57,2000,6017250000.0
57,2001,5759330000.0
57,2002,6129260000.0
57,2003,6367640000.0
57,2004,6568350000.0
57,2005,7370130000.0
57,2006,7515780000.0
57,2007,7236450000.0
57,2008,6389240000.0
57,2009,4767230000.0
57,2010,4919690000.0
57,2011,4751110000.0
57,2012,4892480000.0
57,2013,5281110000.0
57,2014,5512650000.0
57,2015,6147720000.0
57,2016,6270360000.0
57,2017,6289120000.0
57,2018,6284010000.0
57,2019,6414080000.0
57,2020,6567070000.0
57,2021,6599370000.0
57,2022,6628690000.0
57,2023,6760500000.0
57,2024,6869190000.0
57,2025,7001110000.0
57,2026,7142090000.0
57,2027,7130990000.0
57,2028,6971540000.0
57,2029,6935420000.0
57,2030,7033640000.0
57,2031,7041920000.0
57,2032,6833920000.0
57,2033,6788120000.0
57,2034,6842260000.0
57,2035,6918600000.0
57,2036,6947020000.0
57,2037,6964400000.0
57,2038,7016300000.0
57,2039,6985420000.0
57,2040,7020110000.0
58,1990,9265870000.0
58,1991,8800910000.0
58,1992,10043020000.0
58,1993,10209810000.0
58,1994,11564710000.0
58,1995,11454920000.0
58,1996,11190720000.0
58,1997,11144530000.0
58,1998,13784280000.0
58,1999,14936080000.0
58,2000,15380340000.0
58,2001,14371230000.0
58,2002,14588650000.0
58,2003,14506130000.0
58,2004,14164000000.0
58,2005,14616200000.0
58,2006,14630540000.0
58,2007,14266540000.0
58,2008,12702690000.0
58,2009,9951090000.0
58,2010,10348720000.0
58,2011,10181260000.0
58,2012,10620220000.0
58,2013,11570760000.0
58,2014,12178380000.0
58,2015,13637520000.0
58,2016,13944970000.0
58,2017,14051680000.0
58,2018,14015450000.0
58,2019,14312890000.0
58,2020,14658650000.0
58,2021,14750570000.0
58,2022,14820910000.0
58,2023,15107690000.0
58,2024,15336060000.0
58,2025,15620800000.0
58,2026,15933670000.0
58,2027,15903850000.0
58,2028,15549670000.0
58,2029,15475220000.0
58,2030,15694040000.0
58,2031,15717970000.0
58,2032,15251810000.0
58,2033,15134670000.0
58,2034,15234970000.0
58,2035,15383640000.0
58,2036,15424760000.0
58,2037,15444500000.0
58,2038,15538970000.0
58,2039,15452580000.0
58,2040,15507690000.0
59,1990,4481030000.0
59,1991,4452190000.0
59,1992,4671850000.0
59,1993,4472110000.0
59,1994,4811780000.0
59,1995,4839500000.0
59,1996,4975420000.0
59,1997,5097340000.0
59,1998,6595160000.0
59,1999,6737860000.0
59,2000,7132420000.0
59,2001,7182030000.0
59,2002,7313080000.0
59,2003,7293660000.0
59,2004,7529060000.0
59,2005,7679580000.0
59,2006,7900370000.0
59,2007,7830130000.0
59,2008,7003180000.0
59,2009,5317440000.0
59,2010,5492090000.0
59,2011,5307370000.0
59,2012,5455510000.0
59,2013,5886340000.0
59,2014,6146430000.0
59,2015,6850490000.0
59,2016,6983170000.0
59,2017,7001150000.0
59,2018,6983780000.0
59,2019,7123470000.0
59,2020,7286890000.0
59,2021,7321100000.0
59,2022,7349190000.0
59,2023,7490470000.0
59,2024,7606460000.0
59,2025,7747670000.0
59,2026,7900700000.0
59,2027,7888070000.0
59,2028,7709100000.0
59,2029,7670300000.0
59,2030,7776480000.0
59,2031,7786660000.0
59,2032,7556230000.0
59,2033,7502230000.0
59,2034,7557550000.0
59,2035,7637010000.0
59,2036,7663200000.0
59,2037,7677590000.0
59,2038,7731780000.0
59,2039,7693090000.0
59,2040,7726670000.0
60,1990,15854670000.0
60,1991,15332280000.0
60,1992,16381990000.0
60,1993,16012450000.0
60,1994,17325970000.0
60,1995,17257460000.0
60,1996,17688420000.0
60,1997,18039660000.0
60,1998,20922620000.0
60,1999,21721850000.0
60,2000,21362310000.0
60,2001,20496640000.0
60,2002,21050070000.0
60,2003,21164110000.0
60,2004,20814640000.0
60,2005,22893990000.0
60,2006,23517800000.0
60,2007,21232120000.0
60,2008,18480720000.0
60,2009,14548880000.0
60,2010,15061390000.0
60,2011,14830610000.0
60,2012,15466700000.0
60,2013,16837730000.0
60,2014,17728330000.0
60,2015,19865310000.0
60,2016,20324050000.0
60,2017,20500290000.0
60,2018,20434620000.0
60,2019,20868320000.0
60,2020,21374570000.0
60,2021,21515080000.0
60,2022,21618910000.0
60,2023,22034850000.0
60,2024,22368530000.0
60,2025,22781750000.0
60,2026,23238110000.0
60,2027,23194140000.0
60,2028,22679090000.0
60,2029,22574710000.0
60,2030,22895820000.0
60,2031,22933920000.0
60,2032,22254930000.0
60,2033,22081890000.0
60,2034,22223620000.0
60,2035,22439070000.0
60,2036,22497470000.0
60,2037,22525970000.0
60,2038,22663490000.0
60,2039,22536330000.0
60,2040,22616780000.0
61,1990,9043250000.0
61,1991,8696910000.0
61,1992,9481930000.0
61,1993,9248970000.0
61,1994,9743310000.0
61,1995,9543990000.0
61,1996,9371400000.0
61,1997,9413800000.0
61,1998,11866470000.0
61,1999,12487270000.0
61,2000,11934250000.0
61,2001,11099660000.0
61,2002,11072870000.0
61,2003,10822520000.0
61,2004,10896270000.0
61,2005,11612550000.0
61,2006,12146570000.0
61,2007,11078190000.0
61,2008,9638770000.0
61,2009,7568940000.0
61,2010,7927720000.0
61,2011,7818290000.0
61,2012,8167310000.0
61,2013,8916110000.0
61,2014,9396330000.0
61,2015,10534750000.0
61,2016,10790300000.0
61,2017,10879770000.0
61,2018,10868090000.0
61,2019,11107580000.0
