census region,year,value
66,2000,9932.022321
66,2001,9931.196417
66,2002,9450.370864
66,2003,9399.151959
66,2004,10029.327298
66,2005,10050.783249
66,2006,10103.333335
66,2007,11414.8091
66,2008,11862.015
66,2009,11908.7598563
66,2010,11948.4762034
66,2011,11975.3510536
66,2012,11996.7528315
66,2013,12013.8712419
66,2014,12029.0921485
66,2015,12050.7929661
66,2016,12072.1839872
67,2000,1179.034656
67,2001,1195.087771
67,2002,1197.50301
67,2003,1256.066425
67,2004,1266.049544
67,2005,1378.042701
67,2006,1393.605591
67,2007,1382.2474
67,2008,1465.9757
67,2009,1471.20076785
67,2010,1475.71375615
67,2011,1479.01935299
67,2012,1482.05146204
67,2013,1484.94462874
67,2014,1487.82922146
67,2015,1491.52856158
67,2016,1495.15930991
68,2000,2013.380506
68,2001,2228.283403
68,2002,2271.085734
68,2003,2296.349266
68,2004,2349.509793
68,2005,2286.078377
68,2006,2482.313156
68,2007,2553.5303
68,2008,2709.9164
68,2009,2741.39501377
68,2010,2771.54602708
68,2011,2799.55115529
68,2012,2827.51235199
68,2013,2856.16148711
68,2014,2885.96177252
68,2015,2918.23549827
68,2016,2951.08105775
69,2000,2078.321184
69,2001,2271.688619
69,2002,2195.77639
69,2003,2150.115516
69,2004,2305.469101
69,2005,2413.459753
69,2006,2590.774958
69,2007,2702.0136
69,2008,2871.7101
69,2009,2907.10428393
69,2010,2941.58380674
69,2011,2974.39003058
69,2012,3007.34741463
69,2013,3040.72950619
69,2014,3074.50226383
69,2015,3109.61520061
69,2016,3144.55874069
