census division,year,value
56,1990,42550000.0
56,1991,37370000.0
56,1992,36140000.0
56,1993,39740000.0
56,1994,51290000.0
56,1995,55740000.0
56,1996,47160000.0
56,1997,57270000.0
56,1998,53290000.0
56,1999,56350000.0
56,2000,57470000.0
56,2001,55570000.0
56,2002,51800000.0
56,2003,50800000.0
56,2004,43310000.0
56,2005,52290000.0
56,2006,51950000.0
56,2007,43240000.0
56,2008,34270000.0
56,2009,15920000.0
56,2010,20780000.0
56,2011,22880000.0
56,2012,24630000.0
56,2013,28080000.0
56,2014,30830000.0
56,2015,32540000.0
56,2016,37470000.0
56,2017,40650000.0
56,2018,46090000.0
56,2019,47310000.0
56,2020,48630000.0
56,2021,49050000.0
56,2022,49570000.0
56,2023,50350000.0
56,2024,51120000.0
56,2025,52150000.0
56,2026,53110000.0
56,2027,54410000.0
56,2028,55910000.0
56,2029,57010000.0
56,2030,58760000.0
56,2031,60590000.0
56,2032,62210000.0
56,2033,64010000.0
56,2034,66210000.0
56,2035,68730000.0
56,2036,71280000.0
56,2037,73710000.0
56,2038,76340000.0
56,2039,78950000.0
56,2040,81500000.0
57,1990,1333870000.0
57,1991,1039100000.0
57,1992,1187780000.0
57,1993,1429370000.0
57,1994,1490910000.0
57,1995,1265080000.0
57,1996,1126350000.0
57,1997,1207540000.0
57,1998,1285290000.0
57,1999,1257680000.0
57,2000,1284710000.0
57,2001,1361020000.0
57,2002,1281590000.0
57,2003,1270460000.0
57,2004,1541200000.0
57,2005,1465160000.0
57,2006,1469380000.0
57,2007,1264240000.0
57,2008,1285770000.0
57,2009,784580000.0
57,2010,757430000.0
57,2011,802040000.0
57,2012,866140000.0
57,2013,885480000.0
57,2014,921100000.0
57,2015,949230000.0
57,2016,1013230000.0
57,2017,1125490000.0
57,2018,1186610000.0
57,2019,1220060000.0
57,2020,1262600000.0
57,2021,1285830000.0
57,2022,1300940000.0
57,2023,1318270000.0
57,2024,1334350000.0
57,2025,1349710000.0
57,2026,1374730000.0
57,2027,1407490000.0
57,2028,1448070000.0
57,2029,1483120000.0
57,2030,1528110000.0
57,2031,1579570000.0
57,2032,1626590000.0
57,2033,1665430000.0
57,2034,1704990000.0
57,2035,1751850000.0
57,2036,1802650000.0
57,2037,1852360000.0
57,2038,1904610000.0
57,2039,1957250000.0
57,2040,2006560000.0
58,1990,1488170000.0
58,1991,1391790000.0
58,1992,1381100000.0
58,1993,1594560000.0
58,1994,1649560000.0
58,1995,1726500000.0
58,1996,1719260000.0
58,1997,1715530000.0
58,1998,1963180000.0
58,1999,1838340000.0
58,2000,1926410000.0
58,2001,1973140000.0
58,2002,1968850000.0
58,2003,2069010000.0
58,2004,2054180000.0
58,2005,1944080000.0
58,2006,1862350000.0
58,2007,1631100000.0
58,2008,1424480000.0
58,2009,926080000.0
58,2010,931000000.0
58,2011,1014160000.0
58,2012,1116270000.0
58,2013,1156460000.0
58,2014,1214230000.0
58,2015,1259380000.0
58,2016,1349380000.0
58,2017,1503660000.0
58,2018,1587650000.0
58,2019,1635060000.0
58,2020,1694120000.0
58,2021,1726660000.0
58,2022,1747770000.0
58,2023,1771560000.0
58,2024,1793340000.0
58,2025,1814080000.0
58,2026,1847950000.0
58,2027,1892090000.0
58,2028,1946780000.0
58,2029,1994080000.0
58,2030,2054550000.0
58,2031,2123810000.0
58,2032,2187090000.0
58,2033,2239150000.0
58,2034,2292000000.0
58,2035,2354560000.0
58,2036,2422460000.0
58,2037,2488910000.0
58,2038,2558650000.0
58,2039,2629000000.0
58,2040,2694870000.0
59,1990,2201590000.0
59,1991,1781530000.0
59,1992,1555560000.0
59,1993,930860000.0
59,1994,994530000.0
59,1995,1098060000.0
59,1996,1084450000.0
59,1997,1094360000.0
59,1998,1238870000.0
59,1999,1129250000.0
59,2000,1142360000.0
59,2001,1231330000.0
59,2002,1222670000.0
59,2003,1278950000.0
59,2004,1403690000.0
59,2005,1370700000.0
59,2006,1372330000.0
59,2007,1166960000.0
59,2008,1035560000.0
59,2009,636300000.0
59,2010,618040000.0
59,2011,655450000.0
59,2012,708990000.0
59,2013,726420000.0
59,2014,756730000.0
59,2015,780540000.0
59,2016,834070000.0
59,2017,926450000.0
59,2018,977330000.0
59,2019,1005040000.0
59,2020,1040000000.0
59,2021,1059190000.0
59,2022,1071480000.0
59,2023,1085700000.0
59,2024,1098990000.0
59,2025,1111550000.0
59,2026,1132090000.0
59,2027,1159220000.0
59,2028,1192460000.0
59,2029,1221430000.0
59,2030,1258280000.0
59,2031,1300740000.0
59,2032,1339480000.0
59,2033,1371440000.0
59,2034,1404010000.0
59,2035,1442590000.0
59,2036,1484390000.0
59,2037,1525240000.0
59,2038,1568440000.0
59,2039,1611680000.0
59,2040,1652270000.0
60,1990,927000000.0
60,1991,823960000.0
60,1992,922910000.0
60,1993,940000000.0
60,1994,1219440000.0
60,1995,1243460000.0
60,1996,1233980000.0
60,1997,1336590000.0
60,1998,1386580000.0
60,1999,1450760000.0
60,2000,1424030000.0
60,2001,1469990000.0
60,2002,1470190000.0
60,2003,1548270000.0
60,2004,1696720000.0
60,2005,1874030000.0
60,2006,1934450000.0
60,2007,1870680000.0
60,2008,1357650000.0
60,2009,840350000.0
60,2010,818140000.0
60,2011,872090000.0
60,2012,944700000.0
60,2013,968310000.0
60,2014,1009650000.0
60,2015,1042050000.0
60,2016,1113280000.0
60,2017,1237400000.0
60,2018,1304730000.0
60,2019,1342020000.0
60,2020,1389320000.0
60,2021,1415130000.0
60,2022,1431710000.0
60,2023,1450630000.0
60,2024,1468420000.0
60,2025,1485060000.0
60,2026,1512550000.0
60,2027,1548580000.0
60,2028,1593240000.0
60,2029,1631990000.0
60,2030,1681420000.0
60,2031,1738030000.0
60,2032,1789710000.0
60,2033,1832240000.0
60,2034,1875280000.0
60,2035,1926570000.0
60,2036,1982200000.0
60,2037,2036730000.0
60,2038,2093920000.0
60,2039,2151400000.0
60,2040,2205490000.0
61,1990,434670000.0
61,1991,409870000.0
61,1992,422400000.0
61,1993,413860000.0
61,1994,425720000.0
61,1995,448570000.0
61,1996,440000000.0
61,1997,463340000.0
61,1998,606100000.0
61,1999,583760000.0
61,2000,567850000.0
61,2001,549150000.0
61,2002,538470000.0
61,2003,556390000.0
61,2004,531100000.0
61,2005,526290000.0
61,2006,496510000.0
61,2007,551420000.0
61,2008,503280000.0
61,2009,303360000.0
61,2010,295880000.0
61,2011,312300000.0
61,2012,336760000.0
61,2013,345920000.0
61,2014,360670000.0
61,2015,371660000.0
61,2016,398130000.0
61,2017,441370000.0
61,2018,467040000.0
61,2019,479930000.0
61,2020,496260000.0
61,2021,505080000.0
61,2022,510770000.0
61,2023,517460000.0
61,2024,523750000.0
61,2025,529790000.0
61,2026,539580000.0
61,2027,552430000.0
61,2028,568270000.0
61,2029,581920000.0
61,2030,599470000.0
61,2031,619570000.0
61,2032,637880000.0
61,2033,653240000.0
61,2034,668980000.0
61,2035,687560000.0
61,2036,707610000.0
61,2037,727230000.0
61,2038,747820000.0
61,2039,768550000.0
61,2040,788020000.0
62,1990,1026610000.0
62,1991,852170000.0
62,1992,896540000.0
62,1993,944200000.0
62,1994,1025870000.0
62,1995,1191620000.0
62,1996,1301940000.0
62,1997,1459970000.0
62,1998,1430780000.0
62,1999,1648530000.0
62,2000,1693390000.0
62,2001,1741170000.0
62,2002,1671230000.0
62,2003,1690180000.0
62,2004,1832290000.0
62,2005,1854250000.0
62,2006,1883790000.0
62,2007,1833310000.0
62,2008,1700100000.0
62,2009,1009450000.0
62,2010,952400000.0
62,2011,991540000.0
62,2012,1057270000.0
62,2013,1071130000.0
62,2014,1107330000.0
62,2015,1136380000.0
62,2016,1208990000.0
62,2017,1340190000.0
62,2018,1410230000.0
62,2019,1448610000.0
62,2020,1498210000.0
62,2021,1524890000.0
62,2022,1542160000.0
62,2023,1562230000.0
62,2024,1580680000.0
62,2025,1598590000.0
62,2026,1628100000.0
62,2027,1666740000.0
62,2028,1714720000.0
62,2029,1756190000.0
62,2030,1809420000.0
62,2031,1870310000.0
62,2032,1925960000.0
62,2033,1971830000.0
62,2034,2018500000.0
62,2035,2073720000.0
62,2036,2133630000.0
62,2037,2192230000.0
62,2038,2253750000.0
62,2039,2315780000.0
62,2040,2373950000.0
63,1990,302230000.0
63,1991,240290000.0
63,1992,265330000.0
63,1993,254210000.0
63,1994,275540000.0
63,1995,381820000.0
63,1996,432340000.0
63,1997,516050000.0
63,1998,442960000.0
63,1999,420620000.0
63,2000,420410000.0
63,2001,402430000.0
63,2002,388320000.0
63,2003,394810000.0
63,2004,458200000.0
63,2005,527710000.0
63,2006,604010000.0
63,2007,598400000.0
63,2008,463730000.0
63,2009,272090000.0
63,2010,260500000.0
63,2011,271220000.0
63,2012,288500000.0
63,2013,294860000.0
63,2014,306170000.0
63,2015,314990000.0
63,2016,337480000.0
63,2017,373730000.0
63,2018,395800000.0
63,2019,406610000.0
63,2020,420310000.0
63,2021,427770000.0
63,2022,432510000.0
63,2023,438110000.0
63,2024,443490000.0
63,2025,448580000.0
63,2026,456830000.0
63,2027,467690000.0
63,2028,481050000.0
63,2029,492540000.0
63,2030,507330000.0
63,2031,524300000.0
63,2032,539760000.0
63,2033,552820000.0
63,2034,566240000.0
63,2035,582070000.0
63,2036,599160000.0
63,2037,615890000.0
63,2038,633460000.0
63,2039,651090000.0
63,2040,667660000.0
64,1990,1060110000.0
64,1991,1018340000.0
64,1992,1273760000.0
64,1993,1179420000.0
64,1994,1289880000.0
64,1995,1559530000.0
64,1996,1703620000.0
64,1997,1954700000.0
64,1998,1668560000.0
64,1999,1535310000.0
64,2000,1649120000.0
64,2001,1732040000.0
64,2002,1721110000.0
64,2003,1801420000.0
64,2004,2047220000.0
64,2005,2062460000.0
64,2006,2072540000.0
64,2007,1879270000.0
64,2008,1529620000.0
64,2009,961740000.0
64,2010,944000000.0
64,2011,1013580000.0
64,2012,1102570000.0
64,2013,1133950000.0
64,2014,1184540000.0
64,2015,1224650000.0
64,2016,1309270000.0
64,2017,1456600000.0
64,2018,1536370000.0
64,2019,1581040000.0
64,2020,1637310000.0
64,2021,1668010000.0
64,2022,1688010000.0
64,2023,1710780000.0
64,2024,1731580000.0
64,2025,1751610000.0
64,2026,1784250000.0
64,2027,1826820000.0
64,2028,1879590000.0
64,2029,1925180000.0
64,2030,1983630000.0
64,2031,2050470000.0
64,2032,2111580000.0
64,2033,2161910000.0
64,2034,2213090000.0
64,2035,2273650000.0
64,2036,2339380000.0
64,2037,2403650000.0
64,2038,2471150000.0
64,2039,2539210000.0
64,2040,2602980000.0
