census region,year,value
66,2000,1342180000.0
66,2001,1416590000.0
66,2002,1333390000.0
66,2003,1321260000.0
66,2004,1584510000.0
66,2005,1517450000.0
66,2006,1521330000.0
66,2007,1307480000.0
66,2008,1320040000.0
66,2009,800500000.0
66,2010,778210000.0
66,2011,824920000.0
66,2012,890770000.0
66,2013,913560000.0
66,2014,951930000.0
66,2015,981770000.0
66,2016,1050700000.0
67,2000,3068770000.0
67,2001,3204470000.0
67,2002,3191520000.0
67,2003,3347960000.0
67,2004,3457870000.0
67,2005,3314780000.0
67,2006,3234680000.0
67,2007,2798060000.0
67,2008,2460040000.0
67,2009,1562380000.0
67,2010,1549040000.0
67,2011,1669610000.0
67,2012,1825260000.0
67,2013,1882880000.0
67,2014,1970960000.0
67,2015,2039920000.0
67,2016,2183450000.0
68,2000,3685270000.0
68,2001,3760310000.0
68,2002,3679890000.0
68,2003,3794840000.0
68,2004,4060110000.0
68,2005,4254570000.0
68,2006,4314750000.0
68,2007,4255410000.0
68,2008,3561030000.0
68,2009,2153160000.0
68,2010,2066420000.0
68,2011,2175930000.0
68,2012,2338730000.0
68,2013,2385360000.0
68,2014,2477650000.0
68,2015,2550090000.0
68,2016,2720400000.0
69,2000,2069530000.0
69,2001,2134470000.0
69,2002,2109430000.0
69,2003,2196230000.0
69,2004,2505420000.0
69,2005,2590170000.0
69,2006,2676550000.0
69,2007,2477670000.0
69,2008,1993350000.0
69,2009,1233830000.0
69,2010,1204500000.0
69,2011,1284800000.0
69,2012,1391070000.0
69,2013,1428810000.0
69,2014,1490710000.0
69,2015,1539640000.0
69,2016,1646750000.0
