census division,year,value
56,1990,30918930000.0
56,1991,30708210000.0
56,1992,31716610000.0
56,1993,31029110000.0
56,1994,34468000000.0
56,1995,40332140000.0
56,1996,42436500000.0
56,1997,45396260000.0
56,1998,46518950000.0
56,1999,43160840000.0
56,2000,46494800000.0
56,2001,41468340000.0
56,2002,40298040000.0
56,2003,45253540000.0
56,2004,43396980000.0
56,2005,42298220000.0
56,2006,42403020000.0
56,2007,40944350000.0
56,2008,44128720000.0
56,2009,37431900000.0
56,2010,38803760000.0
56,2011,37962080000.0
56,2012,39943090000.0
56,2013,40505230000.0
56,2014,41605420000.0
56,2015,43699470000.0
56,2016,44753750000.0
56,2017,45508040000.0
56,2018,45940470000.0
56,2019,46694890000.0
56,2020,47721650000.0
56,2021,48795930000.0
56,2022,49932270000.0
56,2023,51084030000.0
56,2024,52528360000.0
56,2025,54183590000.0
56,2026,55698070000.0
56,2027,57381140000.0
56,2028,58985380000.0
56,2029,60394920000.0
56,2030,61861830000.0
56,2031,63314940000.0
56,2032,64577350000.0
56,2033,65876620000.0
56,2034,67141130000.0
56,2035,68351330000.0
56,2036,69497940000.0
56,2037,70417270000.0
56,2038,71304390000.0
56,2039,72079150000.0
56,2040,72791350000.0
57,1990,27467190000.0
57,1991,26099600000.0
57,1992,27160610000.0
57,1993,27164630000.0
57,1994,30516480000.0
57,1995,34140180000.0
57,1996,33674400000.0
57,1997,35085740000.0
57,1998,38565810000.0
57,1999,38741330000.0
57,2000,43453200000.0
57,2001,38521590000.0
57,2002,34864530000.0
57,2003,36233300000.0
57,2004,37150420000.0
57,2005,38166730000.0
57,2006,35358030000.0
57,2007,37628330000.0
57,2008,36996560000.0
57,2009,31156840000.0
57,2010,32434670000.0
57,2011,31919860000.0
57,2012,33735670000.0
57,2013,34324220000.0
57,2014,35340960000.0
57,2015,37188070000.0
57,2016,38154570000.0
57,2017,38853140000.0
57,2018,39251550000.0
57,2019,39914800000.0
57,2020,40809960000.0
57,2021,41742490000.0
57,2022,42723440000.0
57,2023,43716610000.0
57,2024,44955400000.0
57,2025,46374270000.0
57,2026,47673200000.0
57,2027,49116270000.0
57,2028,50493040000.0
57,2029,51702310000.0
57,2030,52962320000.0
57,2031,54211210000.0
57,2032,55296520000.0
57,2033,56412260000.0
57,2034,57497890000.0
57,2035,58535530000.0
57,2036,59518560000.0
57,2037,60311090000.0
57,2038,61075620000.0
57,2039,61743540000.0
57,2040,62357520000.0
58,1990,23240790000.0
58,1991,22940290000.0
58,1992,25383980000.0
58,1993,27523660000.0
58,1994,32956590000.0
58,1995,36164520000.0
58,1996,34736490000.0
58,1997,35516110000.0
58,1998,45518450000.0
58,1999,44787290000.0
58,2000,49687040000.0
58,2001,43281930000.0
58,2002,37644660000.0
58,2003,37255450000.0
58,2004,43885240000.0
58,2005,49565590000.0
58,2006,48544220000.0
58,2007,53574480000.0
58,2008,51626700000.0
58,2009,42313970000.0
58,2010,43110860000.0
58,2011,41708590000.0
58,2012,43528770000.0
58,2013,43868240000.0
58,2014,44850810000.0
58,2015,46976690000.0
58,2016,48019600000.0
58,2017,48748000000.0
58,2018,49156280000.0
58,2019,49922870000.0
58,2020,51002780000.0
58,2021,52130950000.0
58,2022,53329850000.0
58,2023,54554180000.0
58,2024,56093940000.0
58,2025,57866370000.0
58,2026,59490420000.0
58,2027,61295590000.0
58,2028,63017590000.0
58,2029,64529660000.0
58,2030,66105010000.0
58,2031,67667580000.0
58,2032,69028280000.0
58,2033,70433740000.0
58,2034,71802410000.0
58,2035,73116170000.0
58,2036,74367160000.0
58,2037,75373070000.0
58,2038,76340210000.0
58,2039,77190980000.0
58,2040,77979320000.0
59,1990,16554220000.0
59,1991,16716690000.0
59,1992,17688970000.0
59,1993,17751640000.0
59,1994,19448050000.0
59,1995,21699760000.0
59,1996,21684450000.0
59,1997,22874410000.0
59,1998,28900450000.0
59,1999,29167600000.0
59,2000,28736260000.0
59,2001,28031040000.0
59,2002,26228020000.0
59,2003,28304550000.0
59,2004,30388110000.0
59,2005,27910840000.0
59,2006,26580970000.0
59,2007,28922080000.0
59,2008,26810170000.0
59,2009,22356270000.0
59,2010,23252650000.0
59,2011,22934460000.0
59,2012,24300240000.0
