census division,year,value
56,1990,7452610000.0
56,1991,6844530000.0
56,1992,6950480000.0
56,1993,7244730000.0
56,1994,7714130000.0
56,1995,8510740000.0
56,1996,9239970000.0
56,1997,10508300000.0
56,1998,9807530000.0
56,1999,9908430000.0
56,2000,11093750000.0
56,2001,9447780000.0
56,2002,8626260000.0
56,2003,8404170000.0
56,2004,9019350000.0
56,2005,8537630000.0
56,2006,8191970000.0
56,2007,8757400000.0
56,2008,8059540000.0
56,2009,6569400000.0
56,2010,6892970000.0
56,2011,7047530000.0
56,2012,7319170000.0
56,2013,7581370000.0
56,2014,7851150000.0
56,2015,8512110000.0
56,2016,8831360000.0
56,2017,8961760000.0
56,2018,9229300000.0
56,2019,9422640000.0
56,2020,9623900000.0
56,2021,9853580000.0
56,2022,10123530000.0
56,2023,10376040000.0
56,2024,10708870000.0
56,2025,11051260000.0
56,2026,11339140000.0
56,2027,11731540000.0
56,2028,12135240000.0
56,2029,12493420000.0
56,2030,12927270000.0
56,2031,13415960000.0
56,2032,13854190000.0
56,2033,14348480000.0
56,2034,14806060000.0
56,2035,15308660000.0
56,2036,15789210000.0
56,2037,16172110000.0
56,2038,16674900000.0
56,2039,17116070000.0
56,2040,17515580000.0
57,1990,12639800000.0
57,1991,11732120000.0
57,1992,12139740000.0
57,1993,12701220000.0
57,1994,12994100000.0
57,1995,13314000000.0
57,1996,13324590000.0
57,1997,13991580000.0
57,1998,13576420000.0
57,1999,13078610000.0
57,2000,13214630000.0
57,2001,11705120000.0
57,2002,11040110000.0
57,2003,11149340000.0
57,2004,11596910000.0
57,2005,11475160000.0
57,2006,11951140000.0
57,2007,13759180000.0
57,2008,13769290000.0
57,2009,10668930000.0
57,2010,10825750000.0
57,2011,10759690000.0
57,2012,10983320000.0
57,2013,11240430000.0
57,2014,11544270000.0
57,2015,12443600000.0
57,2016,12841020000.0
57,2017,12985960000.0
57,2018,13344500000.0
57,2019,13599300000.0
57,2020,13872950000.0
57,2021,14188840000.0
57,2022,14570700000.0
57,2023,14928910000.0
57,2024,15400790000.0
57,2025,15885160000.0
57,2026,16291990000.0
57,2027,16852190000.0
57,2028,17428540000.0
57,2029,17940260000.0
57,2030,18561440000.0
57,2031,19259780000.0
57,2032,19886450000.0
57,2033,20592760000.0
57,2034,21241650000.0
57,2035,21953450000.0
57,2036,22633240000.0
57,2037,23171670000.0
57,2038,23882070000.0
57,2039,24503200000.0
57,2040,25064320000.0
58,1990,26762600000.0
58,1991,24913140000.0
58,1992,27433060000.0
58,1993,29736310000.0
58,1994,33314580000.0
58,1995,33319090000.0
58,1996,33032120000.0
58,1997,33568910000.0
58,1998,37832030000.0
58,1999,37968760000.0
58,2000,38463920000.0
58,2001,34292330000.0
58,2002,32540780000.0
58,2003,33072930000.0
58,2004,33441190000.0
58,2005,32859110000.0
58,2006,31783040000.0
58,2007,31723490000.0
58,2008,30319820000.0
58,2009,24861200000.0
