census region,year,value
66,2000,20549810000.0
66,2001,18917780000.0
66,2002,19117040000.0
66,2003,17855400000.0
66,2004,21390900000.0
66,2005,18943840000.0
66,2006,20185700000.0
66,2007,20794280000.0
66,2008,22473100000.0
66,2009,14269410000.0
66,2010,18460650000.0
66,2011,19941490000.0
66,2012,20475160000.0
66,2013,20058620000.0
66,2014,19895930000.0
66,2015,21588470000.0
66,2016,21882720000.0
67,2000,55885610000.0
67,2001,49980680000.0
67,2002,49343280000.0
67,2003,49426570000.0
67,2004,54390500000.0
67,2005,50871920000.0
67,2006,51747660000.0
67,2007,49292230000.0
67,2008,52788430000.0
67,2009,33532780000.0
67,2010,42995080000.0
67,2011,46109100000.0
67,2012,46925630000.0
67,2013,45558340000.0
67,2014,44755200000.0
67,2015,47970920000.0
67,2016,48032970000.0
68,2000,22422610000.0
68,2001,20927520000.0
68,2002,21935850000.0
68,2003,23704630000.0
68,2004,27044340000.0
68,2005,25807520000.0
68,2006,27849900000.0
68,2007,30948380000.0
68,2008,32677460000.0
68,2009,21730930000.0
68,2010,29151220000.0
68,2011,32722070000.0
68,2012,34930320000.0
68,2013,35609750000.0
68,2014,36780240000.0
68,2015,41540730000.0
68,2016,43879760000.0
69,2000,3007300000.0
69,2001,2662150000.0
69,2002,3013730000.0
69,2003,3068730000.0
69,2004,3646720000.0
69,2005,3152220000.0
69,2006,3207320000.0
69,2007,3678120000.0
69,2008,3461130000.0
69,2009,2212740000.0
69,2010,2998920000.0
69,2011,3357870000.0
69,2012,3606040000.0
69,2013,3692950000.0
69,2014,3830190000.0
69,2015,4401280000.0
69,2016,4699650000.0
