census division,year,value
56,1990,14383360000.0
56,1991,13858350000.0
56,1992,13395610000.0
56,1993,13735890000.0
56,1994,14686780000.0
56,1995,16351330000.0
56,1996,17244960000.0
56,1997,18330010000.0
56,1998,15547360000.0
56,1999,14879970000.0
56,2000,16467080000.0
56,2001,15579050000.0
56,2002,13976990000.0
56,2003,13406740000.0
56,2004,13584510000.0
56,2005,15376530000.0
56,2006,16732700000.0
56,2007,14555240000.0
56,2008,12682320000.0
56,2009,9637090000.0
56,2010,10822380000.0
56,2011,11977520000.0
56,2012,12934750000.0
56,2013,13140980000.0
56,2014,13845350000.0
56,2015,14842170000.0
56,2016,15246990000.0
56,2017,15413980000.0
56,2018,16186140000.0
56,2019,16731570000.0
56,2020,17172110000.0
56,2021,17673470000.0
56,2022,18310020000.0
56,2023,18942580000.0
56,2024,19680080000.0
56,2025,20379730000.0
56,2026,20927140000.0
56,2027,21580290000.0
56,2028,22236750000.0
56,2029,22828410000.0
56,2030,23521020000.0
56,2031,24283580000.0
56,2032,25011920000.0
56,2033,25865420000.0
56,2034,26773520000.0
56,2035,27742950000.0
56,2036,28729380000.0
56,2037,29587700000.0
56,2038,30621680000.0
56,2039,31597880000.0
56,2040,32499140000.0
57,1990,35973900000.0
57,1991,34165330000.0
57,1992,33367420000.0
57,1993,34972270000.0
57,1994,37119950000.0
57,1995,39059860000.0
57,1996,39593280000.0
57,1997,40373250000.0
57,1998,41422820000.0
57,1999,39189880000.0
57,2000,38234610000.0
57,2001,31797640000.0
57,2002,28539340000.0
57,2003,27389350000.0
57,2004,26578350000.0
57,2005,27944220000.0
57,2006,29993490000.0
57,2007,30463290000.0
57,2008,31420540000.0
57,2009,24156240000.0
57,2010,26686990000.0
57,2011,29340980000.0
57,2012,31341870000.0
57,2013,31738360000.0
57,2014,33309310000.0
57,2015,35299260000.0
57,2016,36017870000.0
57,2017,36066770000.0
57,2018,37639640000.0
57,2019,38584310000.0
57,2020,39221670000.0
57,2021,40084980000.0
57,2022,41281640000.0
57,2023,42416010000.0
57,2024,43736790000.0
57,2025,44984060000.0
57,2026,45928160000.0
57,2027,47109090000.0
57,2028,48307980000.0
57,2029,49376690000.0
57,2030,50651580000.0
57,2031,52084200000.0
57,2032,53424020000.0
57,2033,54964480000.0
57,2034,56589530000.0
57,2035,58320250000.0
57,2036,60039990000.0
57,2037,61472180000.0
57,2038,63230440000.0
