census division,year,value
56,1990,8447370000.0
56,1991,8478310000.0
56,1992,8871030000.0
56,1993,9002150000.0
56,1994,9238130000.0
56,1995,9027310000.0
56,1996,9136450000.0
56,1997,9566610000.0
56,1998,10011440000.0
56,1999,10653490000.0
56,2000,10881830000.0
56,2001,9429560000.0
56,2002,9281490000.0
56,2003,8945440000.0
56,2004,8348480000.0
56,2005,8098670000.0
56,2006,8254440000.0
56,2007,8703020000.0
56,2008,8134860000.0
56,2009,6660730000.0
56,2010,7225910000.0
56,2011,7244770000.0
56,2012,7439330000.0
56,2013,7746990000.0
56,2014,8057960000.0
56,2015,8403270000.0
56,2016,8692000000.0
56,2017,9118110000.0
56,2018,9493840000.0
56,2019,9785430000.0
56,2020,10091790000.0
56,2021,10380170000.0
56,2022,10682670000.0
56,2023,10997090000.0
56,2024,11317450000.0
56,2025,11618410000.0
56,2026,11887450000.0
56,2027,12170120000.0
56,2028,12472840000.0
56,2029,12774500000.0
56,2030,13044380000.0
56,2031,13304610000.0
56,2032,13571380000.0
56,2033,13854370000.0
56,2034,14166880000.0
56,2035,14477630000.0
56,2036,14812500000.0
56,2037,15147850000.0
56,2038,15501310000.0
56,2039,15848050000.0
56,2040,16197690000.0
57,1990,20228210000.0
57,1991,20195740000.0
57,1992,21163040000.0
57,1993,21730990000.0
57,1994,22305000000.0
57,1995,22220810000.0
57,1996,22388020000.0
57,1997,23714270000.0
57,1998,24112310000.0
57,1999,25575960000.0
57,2000,26250660000.0
57,2001,24529320000.0
57,2002,24081410000.0
57,2003,23145100000.0
57,2004,22686780000.0
57,2005,22665910000.0
57,2006,22704860000.0
57,2007,22721360000.0
57,2008,20286590000.0
57,2009,17004690000.0
57,2010,18440440000.0
57,2011,18568950000.0
57,2012,19150000000.0
57,2013,20017880000.0
57,2014,20855350000.0
57,2015,21644250000.0
57,2016,22337320000.0
57,2017,23517120000.0
57,2018,24442510000.0
57,2019,25154130000.0
57,2020,25864880000.0
57,2021,26588620000.0
57,2022,27342710000.0
57,2023,28091810000.0
57,2024,28840740000.0
57,2025,29532610000.0
57,2026,30165110000.0
57,2027,30828290000.0
57,2028,31545270000.0
57,2029,32274440000.0
57,2030,32910680000.0
57,2031,33528590000.0
57,2032,34164250000.0
57,2033,34803270000.0
57,2034,35500670000.0
57,2035,36180410000.0
57,2036,36900150000.0
57,2037,37620610000.0
57,2038,38386750000.0
57,2039,39130990000.0
57,2040,39857500000.0
58,1990,41319640000.0
58,1991,39747080000.0
58,1992,44515180000.0
58,1993,48311780000.0
58,1994,53998770000.0
58,1995,55487670000.0
58,1996,56719350000.0
58,1997,60544980000.0
58,1998,63548060000.0
58,1999,66930970000.0
58,2000,67050580000.0
58,2001,64071350000.0
58,2002,64820140000.0
58,2003,64226260000.0
58,2004,63761290000.0
58,2005,63965160000.0
58,2006,61922630000.0
58,2007,61826180000.0
58,2008,54564660000.0
58,2009,46770140000.0
58,2010,51063400000.0
58,2011,51824870000.0
58,2012,53720620000.0
58,2013,56412460000.0
58,2014,58964830000.0
58,2015,61224020000.0
58,2016,63310560000.0
58,2017,66877030000.0
58,2018,69538550000.0
58,2019,71585930000.0
58,2020,73589410000.0
58,2021,75688730000.0
58,2022,77855010000.0
58,2023,79968070000.0
58,2024,82047400000.0
58,2025,83953490000.0
58,2026,85714430000.0
58,2027,87559220000.0
58,2028,89565130000.0
58,2029,91618650000.0
58,2030,93401540000.0
58,2031,95139910000.0
58,2032,96924540000.0
58,2033,98669630000.0
58,2034,1.005621e+11
58,2035,1.02382e+11
58,2036,1.042895e+11
58,2037,1.062167e+11
58,2038,1.082721e+11
58,2039,1.102571e+11
58,2040,1.121648e+11
59,1990,10158140000.0
59,1991,10263540000.0
59,1992,11012750000.0
59,1993,11588600000.0
59,1994,12890440000.0
59,1995,13543590000.0
59,1996,13685400000.0
59,1997,14374450000.0
59,1998,16414110000.0
59,1999,16204000000.0
59,2000,15993390000.0
59,2001,14628170000.0
59,2002,15756050000.0
59,2003,16541660000.0
59,2004,17849020000.0
59,2005,17880410000.0
59,2006,17361600000.0
59,2007,16961060000.0
59,2008,15439550000.0
59,2009,12939760000.0
59,2010,14034580000.0
59,2011,14079350000.0
59,2012,14469020000.0
59,2013,15089360000.0
59,2014,15698730000.0
59,2015,16268290000.0
59,2016,16767240000.0
59,2017,17617580000.0
59,2018,18288540000.0
59,2019,18805570000.0
59,2020,19319880000.0
59,2021,19847070000.0
59,2022,20396950000.0
59,2023,20944870000.0
59,2024,21497770000.0
59,2025,22008600000.0
59,2026,22467110000.0
59,2027,22956690000.0
59,2028,23482540000.0
59,2029,24020280000.0
59,2030,24487600000.0
59,2031,24940410000.0
59,2032,25406630000.0
59,2033,25878370000.0
59,2034,26395160000.0
59,2035,26897880000.0
59,2036,27430410000.0
59,2037,27962430000.0
59,2038,28534550000.0
59,2039,29087670000.0
59,2040,29626540000.0
60,1990,23815070000.0
60,1991,23936330000.0
60,1992,25592380000.0
60,1993,27223520000.0
60,1994,29598560000.0
60,1995,31058470000.0
60,1996,31902610000.0
60,1997,33598560000.0
60,1998,35300810000.0
60,1999,37126670000.0
60,2000,38511680000.0
60,2001,36977000000.0
60,2002,38508660000.0
60,2003,39221240000.0
60,2004,39288590000.0
60,2005,40475360000.0
60,2006,40739200000.0
60,2007,40660180000.0
60,2008,37046230000.0
60,2009,31183070000.0
60,2010,33605230000.0
60,2011,33721870000.0
60,2012,34632920000.0
60,2013,36083700000.0
60,2014,37485000000.0
60,2015,38742110000.0
60,2016,39899910000.0
60,2017,41981350000.0
60,2018,43529860000.0
60,2019,44702750000.0
60,2020,45864030000.0
60,2021,47086960000.0
60,2022,48364060000.0
60,2023,49613470000.0
60,2024,50858470000.0
60,2025,52003250000.0
60,2026,53055320000.0
60,2027,54164150000.0
60,2028,55371960000.0
60,2029,56611440000.0
60,2030,57689570000.0
60,2031,58739040000.0
60,2032,59820310000.0
60,2033,60892770000.0
60,2034,62052480000.0
60,2035,63173180000.0
60,2036,64347600000.0
60,2037,65533510000.0
60,2038,66801010000.0
60,2039,68023080000.0
60,2040,69206930000.0
61,1990,12036880000.0
61,1991,12588940000.0
61,1992,13950250000.0
61,1993,15188610000.0
61,1994,16514680000.0
61,1995,16945180000.0
61,1996,17255890000.0
61,1997,18076640000.0
61,1998,18691510000.0
61,1999,19626340000.0
61,2000,19387680000.0
61,2001,19048990000.0
61,2002,19038850000.0
61,2003,18634860000.0
61,2004,18832540000.0
61,2005,19028300000.0
61,2006,19020460000.0
61,2007,19697920000.0
61,2008,17478960000.0
61,2009,14742660000.0
61,2010,16009920000.0
61,2011,16149210000.0
61,2012,16671860000.0
61,2013,17452420000.0
61,2014,18202620000.0
61,2015,18886280000.0
61,2016,19501460000.0
61,2017,20536650000.0
61,2018,21342530000.0
61,2019,21963680000.0
61,2020,22578450000.0
61,2021,23212820000.0
61,2022,23871270000.0
61,2023,24521830000.0
61,2024,25169180000.0
61,2025,25763700000.0
61,2026,26307000000.0
61,2027,26878760000.0
61,2028,27499140000.0
61,2029,28130660000.0
61,2030,28681910000.0
61,2031,29216250000.0
61,2032,29764260000.0
61,2033,30310580000.0
61,2034,30908350000.0
61,2035,31487620000.0
61,2036,32097850000.0
61,2037,32714140000.0
61,2038,33372590000.0
61,2039,34008360000.0
61,2040,34618780000.0
62,1990,12829050000.0
