census region,year,value
66,2000,37132490000.0
66,2001,33958880000.0
66,2002,33362900000.0
66,2003,32090540000.0
66,2004,31035260000.0
66,2005,30764580000.0
66,2006,30959300000.0
66,2007,31424380000.0
66,2008,28421450000.0
66,2009,23665420000.0
66,2010,25666350000.0
66,2011,25813720000.0
66,2012,26589330000.0
66,2013,27764870000.0
66,2014,28913310000.0
66,2015,30047520000.0
66,2016,31029320000.0
67,2000,83043970000.0
67,2001,78699520000.0
67,2002,80576190000.0
67,2003,80767920000.0
67,2004,81610310000.0
67,2005,81845570000.0
67,2006,79284230000.0
67,2007,78787240000.0
67,2008,70004210000.0
67,2009,59709900000.0
67,2010,65097980000.0
67,2011,65904220000.0
67,2012,68189640000.0
67,2013,71501820000.0
67,2014,74663560000.0
67,2015,77492310000.0
67,2016,80077800000.0
68,2000,79688540000.0
68,2001,77004990000.0
68,2002,78865020000.0
68,2003,79070000000.0
68,2004,81045670000.0
68,2005,83218790000.0
68,2006,84057430000.0
68,2007,82412500000.0
68,2008,74802860000.0
68,2009,63032510000.0
68,2010,68209080000.0
68,2011,68599640000.0
68,2012,70614220000.0
68,2013,73711960000.0
68,2014,76697990000.0
68,2015,79426170000.0
68,2016,81908080000.0
69,2000,26732930000.0
69,2001,25676190000.0
69,2002,26600920000.0
69,2003,26960130000.0
69,2004,27336600000.0
69,2005,27701040000.0
69,2006,27977060000.0
69,2007,26060240000.0
69,2008,23478240000.0
69,2009,19498680000.0
69,2010,21146750000.0
69,2011,21306580000.0
69,2012,21943340000.0
69,2013,22928900000.0
69,2014,23896850000.0
69,2015,24878000000.0
69,2016,25739600000.0
