census region,year,value
66,2000,6912.145176
66,2001,6926.382099
66,2002,6962.931165
66,2003,7051.653166
66,2004,7094.24057
66,2005,6716.263156
66,2006,7403.39878
66,2007,7999.4652
66,2008,7758.485
66,2009,7789.05900165
66,2010,7815.03592748
66,2011,7832.61372703
66,2012,7846.61180179
66,2013,7857.80829163
66,2014,7867.76369763
66,2015,7881.9573627
66,2016,7895.94840184
67,2000,1680.990758
67,2001,1682.768639
67,2002,1632.677044
67,2003,1604.286889
67,2004,1615.820974
67,2005,1654.633078
67,2006,1754.438972
67,2007,1838.6423
67,2008,1866.5825
67,2009,1873.23542079
67,2010,1878.98167223
67,2011,1883.19058866
67,2012,1887.05128137
67,2013,1890.73506298
67,2014,1894.40792761
67,2015,1899.11818545
67,2016,1903.74110744
68,2000,301.439175
68,2001,359.536752
68,2002,378.851055
68,2003,401.477561
68,2004,413.788722
68,2005,431.294747
68,2006,451.317821
68,2007,474.8082
68,2008,512.407
68,2009,518.359162231
68,2010,524.060293926
68,2011,529.35566899
68,2012,534.642737225
68,2013,540.05988492
68,2014,545.694698911
68,2015,551.797205613
68,2016,558.007838013
69,2000,505.297854
69,2001,576.819902
69,2002,527.219029
69,2003,499.852832
69,2004,593.498165
69,2005,670.755391
69,2006,752.049243
69,2007,826.3105
69,2008,897.1012
69,2009,908.158083798
69,2010,918.929234162
69,2011,929.177658184
69,2012,939.473303549
69,2013,949.90162443
69,2014,960.45198653
69,2015,971.421010778
69,2016,982.337116739
