us,year,value
65,1990,1.0
65,1991,1.0
65,1992,1.0
65,1993,1.0
65,1994,1.0
65,1995,1.0
65,1996,1.0
65,1997,1.0
65,1998,1.0
65,1999,1.0
65,2000,1.0
65,2001,1.0
65,2002,1.0
65,2003,1.0
65,2004,1.112
65,2005,1.248
65,2006,1.363
65,2007,1.415
65,2008,1.473
65,2009,1.466
65,2010,1.459
65,2011,1.425
65,2012,1.383
65,2013,1.367
65,2014,1.367
65,2015,1.378
65,2016,1.386
65,2017,1.393
65,2018,1.398
65,2019,1.403
65,2020,1.41
65,2021,1.42
65,2022,1.435
65,2023,1.453
65,2024,1.476
65,2025,1.501
65,2026,1.53
65,2027,1.56
65,2028,1.59
65,2029,1.619
65,2030,1.649
65,2031,1.677
65,2032,1.705
65,2033,1.731
65,2034,1.756
65,2035,1.78
65,2036,1.801
65,2037,1.822
65,2038,1.842
65,2039,1.861
65,2040,1.88
65,2041,1.906
65,2042,1.922
65,2043,1.937
65,2044,1.951
65,2045,1.962
65,2046,1.972
65,2047,1.98
65,2048,1.986
65,2049,1.99
65,2050,1.991
