census region,year,housing types,value
66,2000,28,27891084764.1
66,2000,29,5755211667.86
66,2000,30,326189821.97
66,2001,28,28110407777.0
66,2001,29,5810266422.94
66,2001,30,334853624.901
66,2002,28,28319770014.2
66,2002,29,5863353512.51
66,2002,30,343455522.428
66,2003,28,28513448067.8
66,2003,29,5913274856.18
66,2003,30,351917948.395
66,2004,28,28664775006.5
66,2004,29,5954474109.71
66,2004,30,359895585.358
66,2005,28,28794769134.6
66,2005,29,5991280600.7
66,2005,30,367629443.785
66,2006,28,28938880260.3
66,2006,29,6031060248.57
66,2006,30,375565855.182
66,2007,28,29112236040.0
66,2007,29,6076984830.21
66,2007,30,383913014.522
66,2008,28,29291272875.5
66,2008,29,6124156718.95
66,2008,30,392373324.48
66,2009,28,29491960594.3
66,2009,29,6175925316.29
66,2009,30,401167223.206
66,2010,28,29675861266.0
66,2010,29,6224249542.4
66,2010,30,409776974.667
66,2011,28,29828344873.5
66,2011,29,6266038851.92
66,2011,30,417986850.082
66,2012,28,29967541718.0
66,2012,29,6305076434.38
66,2012,30,426035074.883
66,2013,28,30096314614.1
66,2013,29,6341952216.22
66,2013,30,433954629.828
66,2014,28,30220565544.4
66,2014,29,6377901378.12
66,2014,30,441825326.48
66,2015,28,30361360225.0
66,2015,29,6417371909.35
66,2015,30,449956499.072
66,2016,28,30501682898.7
66,2016,29,6456777462.88
66,2016,30,458102330.051
67,2000,28,42662461136.0
67,2000,29,3948580873.64
67,2000,30,654340325.48
67,2001,28,42998184580.2
67,2001,29,3997354851.21
67,2001,30,669051778.386
67,2002,28,43305155976.7
67,2002,29,4043616366.81
67,2002,30,683402546.273
67,2003,28,43613917605.7
67,2003,29,4090193130.23
67,2003,30,697861560.988
67,2004,28,43903585453.5
67,2004,29,4135119041.67
67,2004,30,712090576.513
67,2005,28,44182040054.4
67,2005,29,4179115190.78
67,2005,30,726205985.769
67,2006,28,44487004944.9
67,2006,29,4225750292.15
67,2006,30,740828108.448
67,2007,28,44797083724.8
67,2007,29,4273014005.25
67,2007,30,755612559.011
67,2008,28,45079625278.7
67,2008,29,4317783817.0
67,2008,30,770004245.532
67,2009,28,45370099443.7
67,2009,29,4363437312.74
67,2009,30,784598352.948
67,2010,28,45639473077.0
67,2010,29,4407179170.98
67,2010,30,798891139.151
67,2011,28,45872195468.0
67,2011,29,4447476022.78
67,2011,30,812593266.957
67,2012,28,46096994718.5
67,2012,29,4487080857.18
67,2012,30,826196183.279
67,2013,28,46317995146.5
67,2013,29,4526386915.98
67,2013,30,839769368.232
67,2014,28,46539237894.2
67,2014,29,4565785693.5
67,2014,30,853384240.794
67,2015,28,46786546790.8
67,2015,29,4607820169.96
67,2015,30,867519463.142
67,2016,28,47032350801.9
67,2016,29,4649793530.5
67,2016,30,881673829.826
68,2000,28,50130229317.2
68,2000,29,5822933246.65
68,2000,30,3127510492.61
68,2001,28,50919502735.9
68,2001,29,5947951255.89
68,2001,30,3244170353.09
68,2002,28,51716413486.1
68,2002,29,6074720230.27
68,2002,30,3363053567.56
68,2003,28,52518543616.9
68,2003,29,6202962649.37
68,2003,30,3484016038.61
68,2004,28,53374206714.3
68,2004,29,6338419265.91
68,2004,30,3610332470.49
68,2005,28,54279097644.9
68,2005,29,6480672244.27
68,2005,30,3741900566.85
68,2006,28,55195533579.5
68,2006,29,6625285333.33
68,2006,30,3876249748.31
68,2007,28,56151225173.4
68,2007,29,6775616617.49
68,2007,30,4015390559.03
68,2008,28,57015254687.3
68,2008,29,6915852619.66
68,2008,30,4149928703.39
68,2009,28,57828195796.6
68,2009,29,7050759720.06
68,2009,30,4282503667.54
68,2010,28,58616518633.4
68,2010,29,7183479123.74
68,2010,30,4414901415.04
68,2011,28,59362653140.4
68,2011,29,7311794372.07
68,2011,30,4545670711.04
68,2012,28,60110931611.7
68,2012,29,7441108983.11
68,2012,30,4678091091.89
68,2013,28,60876946064.9
68,2013,29,7573360950.12
68,2013,30,4813391897.02
68,2014,28,61670708381.6
68,2014,29,7709828824.36
68,2014,30,4952431533.31
68,2015,28,62520737289.1
68,2015,29,7854140164.43
68,2015,30,5097626083.99
68,2016,28,63386595735.9
68,2016,29,8001286844.62
68,2016,30,5245823632.22
69,2000,28,27922186260.3
69,2000,29,3266792334.66
69,2000,30,1561300271.53
69,2001,28,28426037510.7
69,2001,29,3336810202.17
69,2001,30,1626141447.96
69,2002,28,28894477044.5
69,2002,29,3402998373.3
69,2002,30,1690040523.62
69,2003,28,29344359081.0
