census division,housing types,technology,air conditioning type,year,value
56,28,42,63,2009,1785932.823
56,28,44,63,2009,5782.049
56,28,45,63,2009,10848.729
56,28,72,63,2009,0.0
56,28,73,64,2009,1498616.748
56,29,42,63,2009,219026.736
56,29,44,63,2009,3691.928
56,29,45,63,2009,0.0
56,29,72,63,2009,0.0
56,29,73,64,2009,856545.878
56,30,42,63,2009,17761.92
56,30,44,63,2009,0.0
56,30,45,63,2009,0.0
56,30,72,63,2009,0.0
56,30,73,64,2009,27693.664
57,28,42,63,2009,18403363.33
57,28,44,63,2009,761259.037
57,28,45,63,2009,276097.671
57,28,72,63,2009,0.0
57,28,73,64,2009,6142742.94
57,29,42,63,2009,1712816.28
57,29,44,63,2009,147792.161
57,29,45,63,2009,0.0
57,29,72,63,2009,419309.865
57,29,73,64,2009,5544140.19
57,30,42,63,2009,822988.01
57,30,44,63,2009,0.0
57,30,45,63,2009,0.0
57,30,72,63,2009,0.0
57,30,73,64,2009,75604.508
58,28,42,63,2009,28303374.61
58,28,44,63,2009,597087.322
58,28,45,63,2009,254205.64
58,28,72,63,2009,168433.695
58,28,73,64,2009,4092166.638
58,29,42,63,2009,2630455.2
58,29,44,63,2009,25033.4
58,29,45,63,2009,0.0
58,29,72,63,2009,0.0
58,29,73,64,2009,1860213.126
58,30,42,63,2009,332301.831
58,30,44,63,2009,0.0
58,30,45,63,2009,0.0
58,30,72,63,2009,0.0
58,30,73,64,2009,105977.217
59,28,42,63,2009,23020094.4
59,28,44,63,2009,599317.488
59,28,45,63,2009,440798.613
59,28,72,63,2009,736820.362
59,28,73,64,2009,1182350.07
59,29,42,63,2009,1665902.823
59,29,44,63,2009,42353.168
59,29,45,63,2009,0.0
59,29,72,63,2009,102161.257
59,29,73,64,2009,548772.178
59,30,42,63,2009,1159392.423
59,30,44,63,2009,34394.976
59,30,45,63,2009,0.0
59,30,72,63,2009,0.0
59,30,73,64,2009,215790.263
60,28,42,63,2009,113877086.9
60,28,44,63,2009,51662056.42
60,28,45,63,2009,869888.954
60,28,72,63,2009,7243858.718
60,28,73,64,2009,7715911.32
60,29,42,63,2009,17037546.24
60,29,44,63,2009,4025067.522
60,29,45,63,2009,0.0
60,29,72,63,2009,1152166.645
60,29,73,64,2009,2345519.175
60,30,42,63,2009,8398843.34
60,30,44,63,2009,5405948.406
60,30,45,63,2009,0.0
60,30,72,63,2009,0.0
60,30,73,64,2009,5455774.792
61,28,42,63,2009,40568207.58
61,28,44,63,2009,11947850.83
61,28,45,63,2009,927906.096
61,28,72,63,2009,2572182.912
61,28,73,64,2009,2912774.067
61,29,42,63,2009,2914095.478
61,29,44,63,2009,416847.96
61,29,45,63,2009,0.0
61,29,72,63,2009,0.0
61,29,73,64,2009,557629.461
61,30,42,63,2009,1920874.02
61,30,44,63,2009,373488.72
61,30,45,63,2009,0.0
61,30,72,63,2009,0.0
61,30,73,64,2009,904224.258
62,28,42,63,2009,112180110.8
62,28,44,63,2009,5372000.917
62,28,45,63,2009,882777.214
62,28,72,63,2009,1716559.286
62,28,73,64,2009,15359089.71
62,29,42,63,2009,15087927.6
62,29,44,63,2009,420618.856
62,29,45,63,2009,0.0
62,29,72,63,2009,0.0
62,29,73,64,2009,1234028.18
62,30,42,63,2009,5747032.514
62,30,44,63,2009,452454.475
62,30,45,63,2009,0.0
62,30,72,63,2009,0.0
62,30,73,64,2009,2210285.304
63,28,42,63,2009,38688388.54
63,28,44,63,2009,6396218.006
63,28,45,63,2009,423205.97
63,28,72,63,2009,3201294.445
63,28,73,64,2009,957460.098
63,29,42,63,2009,5612403.458
63,29,44,63,2009,357336.567
63,29,45,63,2009,0.0
63,29,72,63,2009,256534.488
63,29,73,64,2009,27254.016
63,30,42,63,2009,1736483.8
63,30,44,63,2009,1092319.716
63,30,45,63,2009,0.0
63,30,72,63,2009,0.0
63,30,73,64,2009,1208578.307
64,28,42,63,2009,23750930.3
64,28,44,63,2009,1971013.422
64,28,45,63,2009,104268.2
64,28,72,63,2009,683978.968
64,28,73,64,2009,3069567.608
64,29,42,63,2009,2515779.904
64,29,44,63,2009,146605.977
64,29,45,63,2009,0.0
64,29,72,63,2009,92338.212
64,29,73,64,2009,1609054.911
64,30,42,63,2009,497283.62
64,30,44,63,2009,170135.68
64,30,45,63,2009,0.0
64,30,72,63,2009,0.0
64,30,73,64,2009,325654.68
