census region,air conditioning type,year,housing types,value
66,63,2000,28,0.0
66,63,2000,29,0.0
66,63,2000,30,0.0
66,63,2001,28,28150.1226883
66,63,2001,29,6016.60637882
66,63,2001,30,1485.72528744
66,63,2002,28,25936.4418502
66,63,2002,29,5543.47003059
66,63,2002,30,1368.89021585
66,63,2003,28,22569.2433675
66,63,2003,29,4823.78905107
66,63,2003,30,1191.17404783
66,63,2004,28,13782.1215144
66,63,2004,29,2945.69232025
66,63,2004,30,727.401676902
66,63,2005,28,9354.75983823
66,63,2005,29,1999.41962379
66,63,2005,30,493.731533731
66,63,2006,28,12168.2698515
66,63,2006,29,2600.75918029
66,63,2006,30,642.224775465
66,63,2007,28,18021.7012484
66,63,2007,29,3851.82984418
66,63,2007,30,951.16094391
66,63,2008,28,19064.6958071
66,63,2008,29,4074.75205964
66,63,2008,30,1006.20878181
66,63,2009,28,23315.0059377
66,63,2009,29,4983.18302199
66,63,2009,30,1230.53438459
66,63,2010,28,19809.3853377
66,63,2010,29,4233.91668672
66,63,2010,30,1045.512485
66,63,2011,28,13404.4115507
66,63,2011,29,2864.9632875
66,63,2011,30,707.466657417
66,63,2012,28,10674.5986317
66,63,2012,29,2281.51255075
66,63,2012,30,563.390834773
66,63,2013,28,8538.17664978
66,63,2013,29,1824.88895922
66,63,2013,30,450.633380809
66,63,2014,28,7591.75566133
66,63,2014,29,1622.60768965
66,63,2014,30,400.68256494
66,63,2015,28,10823.7511457
66,63,2015,29,2313.39134494
66,63,2015,30,571.262902127
66,63,2016,28,10669.2334333
66,63,2016,29,2280.36583154
66,63,2016,30,563.107666883
66,64,2000,28,0.0
66,64,2000,29,0.0
66,64,2000,30,0.0
66,64,2001,28,56475.4090382
66,64,2001,29,38897.7877218
66,64,2001,30,991.409263647
66,64,2002,28,52034.2727705
66,64,2002,29,35838.9276139
66,64,2002,30,913.446417306
66,64,2003,28,45278.9234696
66,64,2003,29,31186.1389477
66,64,2003,30,794.858239014
66,64,2004,28,27650.0020464
66,64,2004,29,19044.1101433
66,64,2004,30,485.387687058
66,64,2005,28,18767.7295111
66,64,2005,29,12926.3899275
66,64,2005,30,329.461994377
66,64,2006,28,24412.2565561
66,64,2006,29,16814.0928858
66,64,2006,30,428.550013332
66,64,2007,28,36155.5422275
66,64,2007,29,24902.353617
66,64,2007,30,634.699953608
66,64,2008,28,38248.0213609
66,64,2008,29,26343.5615786
66,64,2008,30,671.432811894
66,64,2009,28,46775.089105
66,64,2009,29,32216.6322947
66,64,2009,30,821.122988508
66,64,2010,28,39742.0342401
66,64,2010,29,27372.5722014
66,64,2010,30,697.659770382
66,64,2011,28,26892.2318253
66,64,2011,29,18522.1912107
66,64,2011,30,472.085252782
66,64,2012,28,21415.6197725
66,64,2012,29,14750.1407432
66,64,2012,30,375.944932331
66,64,2013,28,17129.4819592
66,64,2013,29,11798.0367806
66,64,2013,30,300.703038455
66,64,2014,28,15230.7508937
66,64,2014,29,10490.2740006
66,64,2014,30,267.371370752
66,64,2015,28,21714.8528996
66,64,2015,29,14956.2394126
66,64,2015,30,381.19788223
66,64,2016,28,21404.855991
66,64,2016,29,14742.727122
66,64,2016,30,375.755977298
67,63,2000,28,0.0
67,63,2000,29,0.0
67,63,2000,30,0.0
67,63,2001,28,69334.0854225
67,63,2001,29,12246.1227319
67,63,2001,30,2679.07091358
67,63,2002,28,59484.0924262
67,63,2002,29,10506.3691546
67,63,2002,30,2298.46692098
67,63,2003,28,59724.1764567
67,63,2003,29,10548.7739615
67,63,2003,30,2307.74377434
67,63,2004,28,53141.5088572
67,63,2004,29,9386.11125623
67,63,2004,30,2053.38932238
67,63,2005,28,49182.3049362
67,63,2005,29,8686.81744077
67,63,2005,30,1900.40557707
67,63,2006,28,57506.6730478
67,63,2006,29,10157.1077452
67,63,2006,30,2222.05938336
67,63,2007,28,58831.5003797
67,63,2007,29,10391.1051795
67,63,2007,30,2273.25074686
67,63,2008,28,49603.5432806
67,63,2008,29,8761.21860195
67,63,2008,30,1916.68223795
67,63,2009,28,51873.4286598
67,63,2009,29,9162.13677619
67,63,2009,30,2004.39066966
67,63,2010,28,44804.045253
67,63,2010,29,7913.50796237
67,63,2010,30,1731.2295059
67,63,2011,28,32817.3043854
67,63,2011,29,5796.35160377
67,63,2011,30,1268.06151845
67,63,2012,28,30102.1722588
67,63,2012,29,5316.79178766
67,63,2012,30,1163.14874052
67,63,2013,28,28722.7803746
67,63,2013,29,5073.15689716
67,63,2013,30,1109.84900125
67,63,2014,28,28637.6596729
67,63,2014,29,5058.12246562
67,63,2014,30,1106.55993506
67,63,2015,28,36726.3089182
67,63,2015,29,6486.77895961
67,63,2015,30,1419.10555806
67,63,2016,28,36045.3433044
67,63,2016,29,6366.50350734
67,63,2016,30,1392.79302855
67,64,2000,28,0.0
67,64,2000,29,0.0
67,64,2000,30,0.0
67,64,2001,28,27181.6696463
67,64,2001,29,14296.6206294
67,64,2001,30,2309.42930758
67,64,2002,28,23320.0876551
67,64,2002,29,12265.5617034
67,64,2002,30,1981.33869578
67,64,2003,28,23414.2099727
67,64,2003,29,12315.0667958
67,64,2003,30,1989.33558638
67,64,2004,28,20833.5471574
67,64,2004,29,10957.7271724
67,64,2004,30,1770.07538581
67,64,2005,28,19281.3845755
67,64,2005,29,10141.3431946
67,64,2005,30,1638.19938984
67,64,2006,28,22544.8620216
67,64,2006,29,11857.8197609
67,64,2006,30,1915.4733968
67,64,2007,28,23064.2460829
67,64,2007,29,12130.9978615
67,64,2007,30,1959.60169313
67,64,2008,28,19446.5264599
67,64,2008,29,10228.2021294
67,64,2008,30,1652.2302979
67,64,2009,28,20336.4101893
67,64,2009,29,10696.2502754
67,64,2009,30,1727.83726361
67,64,2010,28,17564.9357667
67,64,2010,29,9238.55032833
67,64,2010,30,1492.36518481
67,64,2011,28,12865.6651494
67,64,2011,29,6766.89608032
67,64,2011,30,1093.10224663
