census region,year,housing types,value
66,2000,28,12294436.3439
66,2000,29,7368586.73538
66,2000,30,504697.761505
66,2001,28,12354444.4192
66,2001,29,7404552.16682
66,2001,30,507161.147414
66,2002,28,12409733.5549
66,2002,29,7437689.33398
66,2002,30,509430.816577
66,2003,28,12457844.7788
66,2003,29,7466524.46852
66,2003,30,511405.825949
66,2004,28,12487224.3518
66,2004,29,7484132.91562
66,2004,30,512611.884065
66,2005,28,12507166.0458
66,2005,29,7496084.83418
66,2005,30,513430.508688
66,2006,28,12533105.3449
66,2006,29,7511631.37655
66,2006,30,514495.340441
66,2007,28,12571522.4992
66,2007,29,7534656.43643
66,2007,30,516072.399462
66,2008,28,12612163.0219
66,2008,29,7559014.05709
66,2008,30,517740.729776
66,2009,28,12661864.0
66,2009,29,7588802.0
66,2009,30,519781.0
66,2010,28,12704091.9895
66,2010,29,7614111.05808
66,2010,30,521514.497266
66,2011,28,12732666.3921
66,2011,29,7631236.93174
66,2011,30,522687.502404
66,2012,28,12755421.6079
66,2012,29,7644875.11547
66,2012,30,523621.624651
66,2013,28,12773622.5782
66,2013,29,7655783.74313
66,2013,30,524368.790988
66,2014,28,12789806.0475
66,2014,29,7665483.19527
66,2014,30,525033.137078
66,2015,28,12812879.2142
66,2015,29,7679311.94067
66,2015,30,525980.311495
66,2016,28,12835622.993
66,2016,29,7692943.26967
66,2016,30,526913.96424
67,2000,28,18561041.5951
67,2000,29,5428229.25501
67,2000,30,1025610.76288
67,2001,28,18652330.7485
67,2001,29,5454927.02682
67,2001,30,1030655.04543
67,2002,28,18730650.8476
67,2002,29,5477831.96191
67,2002,30,1034982.70862
67,2003,28,18809287.0548
67,2003,29,5500829.34372
67,2003,30,1039327.83872
67,2004,28,18879256.1518
67,2004,29,5521292.0046
67,2004,30,1043194.05812
67,2005,28,18944012.3385
67,2005,29,5540230.13505
67,2005,30,1046772.23242
67,2006,28,19019728.8561
67,2006,29,5562373.64536
67,2006,30,1050956.03185
67,2007,28,19097189.7158
67,2007,29,5585027.29346
67,2007,30,1055236.21683
67,2008,28,19162500.5286
67,2008,29,5604127.62588
67,2008,30,1058845.0376
67,2009,28,19230800.0
67,2009,29,5624102.0
67,2009,30,1062619.0
67,2010,28,19289791.5239
67,2010,29,5641354.23848
67,2010,30,1065878.64152
67,2011,28,19333000.6312
67,2011,29,5653990.86444
67,2011,30,1068266.20826
67,2012,28,19372634.8429
67,2012,29,5665582.00207
67,2012,30,1070456.24021
67,2013,28,19410452.8698
67,2013,29,5676641.99127
67,2013,30,1072545.91686
67,2014,28,19448158.8219
67,2014,29,5687669.20391
67,2014,30,1074629.40071
67,2015,28,19496514.7442
67,2015,29,5701811.03054
67,2015,30,1077301.36037
67,2016,28,19543974.0689
67,2016,29,5715690.64465
67,2016,30,1079923.77754
68,2000,28,26398558.641
68,2000,29,7478345.64654
68,2000,30,3477429.80244
68,2001,28,26742849.7784
68,2001,29,7575878.55218
68,2001,30,3522782.59152
68,2002,28,27089314.2561
68,2002,29,7674027.13498
68,2002,30,3568421.6704
68,2003,28,27436671.6363
68,2003,29,7772428.66466
68,2003,30,3614178.36956
68,2004,28,27810088.1517
68,2004,29,7878212.38605
68,2004,30,3663367.78695
68,2005,28,28207120.7584
68,2005,29,7990686.21868
68,2005,30,3715668.10523
68,2006,28,28608052.2852
68,2006,29,8104264.5613
68,2006,30,3768482.02053
68,2007,28,29027177.0267
68,2007,29,8222996.78937
68,2007,30,3823692.49193
68,2008,28,29396851.731
68,2008,29,8327720.50755
68,2008,30,3872389.00795
68,2009,28,29738328.0
68,2009,29,8424456.0
68,2009,30,3917371.0
68,2010,28,30065402.6167
68,2010,29,8517111.70402
68,2010,30,3960455.89093
68,2011,28,30369198.9263
68,2011,29,8603172.98639
68,2011,30,4000474.37661
68,2012,28,30672518.6721
68,2012,29,8689099.26485
68,2012,30,4040430.08548
68,2013,28,30983301.0924
68,2013,29,8777139.61549
68,2013,30,4081368.83767
68,2014,28,31306571.0544
68,2014,29,8868717.51359
68,2014,30,4123952.54898
68,2015,28,31656672.6039
68,2015,29,8967896.42841
68,2015,30,4170070.73212
68,2016,28,32012977.3379
68,2016,29,9068832.61938
68,2016,30,4217006.04846
69,2000,28,15011076.0264
69,2000,29,5753142.80776
69,2000,30,1278476.1795
69,2001,28,15246908.839
69,2001,29,5843528.0571
69,2001,30,1298561.79047
69,2002,28,15462712.2804
69,2002,29,5926236.85256
69,2002,30,1316941.52279
69,2003,28,15667622.3481
69,2003,29,6004770.65521
69,2003,30,1334393.47894
69,2004,28,15866892.2996
69,2004,29,6081142.82776
69,2004,30,1351365.07283
69,2005,28,16072729.4127
69,2005,29,6160031.92971
69,2005,30,1368895.98438
69,2006,28,16288282.8113
69,2006,29,6242644.89381
69,2006,30,1387254.42085
69,2007,28,16502213.2907
69,2007,29,6324635.85811
69,2007,30,1405474.63514
69,2008,28,16715539.8931
69,2008,29,6406395.38063
69,2008,30,1423643.41792
69,2009,28,16921561.0
69,2009,29,6485355.0
69,2009,30,1441190.0
69,2010,28,17122258.0826
69,2010,29,6562274.13458
69,2010,30,1458283.14102
69,2011,28,17313215.2907
69,2011,29,6635460.36631
69,2011,30,1474546.74807
69,2012,28,17505052.3664
69,2012,29,6708983.81596
69,2012,30,1490885.29244
69,2013,28,17699361.5633
69,2013,29,6783454.73041
69,2013,30,1507434.38454
69,2014,28,17895944.7343
69,2014,29,6858797.16783
69,2014,30,1524177.14841
69,2015,28,18100328.7685
69,2015,29,6937129.36299
69,2015,30,1541584.30289
69,2016,28,18303726.785
69,2016,29,7015083.65711
69,2016,30,1558907.47936
