census region,air conditioning type,technology,housing types,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,42,28,1999,1620.60273656,1500.55858675,1380.52550631,1260.55372928,1140.77787394,1021.47203917,903.111201993,786.432708272,672.487700426,562.667149542,458.682193255,362.476557887,276.05418407,201.222166732,139.279250324,90.7174865003,55.0328397138
66,63,42,28,2000,120.04464721,120.044149989,120.033080618,119.971777206,119.77585552,119.305834943,118.360837351,116.678493893,113.945008014,109.820551045,103.98495644,96.2056355095,86.422373944,74.832017449,61.9429164987,48.5617638951,35.6846468389
66,63,42,28,2001,0.0,2050579.56791,2050571.07448,2050381.98962,2049334.81652,2045988.11997,2037959.31891,2021817.05186,1993079.58458,1946386.70469,1875933.52427,1776251.01996,1643366.1565,1476250.36467,1278266.12492,1058096.98226,829522.707922
66,63,42,28,2002,0.0,0.0,1889340.02796,1889332.20238,1889157.98548,1888193.15286,1885109.6111,1877712.12433,1862839.14316,1836361.33753,1793339.975,1728426.61297,1636582.26397,1514146.2973,1360171.02135,1177754.52071,974897.542785
66,63,42,28,2003,0.0,0.0,0.0,1644109.90621,1644103.09636,1643951.49225,1643111.89173,1640428.58354,1633991.26623,1621048.7491,1598007.67556,1560570.34439,1504082.52325,1424159.26869,1317615.08781,1183625.29627,1024885.85746
66,63,42,28,2004,0.0,0.0,0.0,0.0,1004149.32202,1004145.16287,1004052.56981,1003539.77909,1001900.93361,997969.306048,990064.591316,975992.126761,953127.067333,918626.814594,869813.239794,804740.785337,722905.770645
66,63,42,28,2005,0.0,0.0,0.0,0.0,0.0,681824.389097,681821.565004,681758.693671,681410.505202,680297.717694,677628.115176,672260.758773,662705.457247,647179.922514,623754.01042,590609.252874,546424.602709
66,63,42,28,2006,0.0,0.0,0.0,0.0,0.0,0.0,886988.043277,886984.369404,886902.579838,886449.620082,885001.990413,881529.093944,874546.67878,862116.14925,841918.919737,811444.058083,768325.911958
66,63,42,28,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1313617.03654,1313611.59558,1313490.46637,1312819.63923,1310675.71969,1305532.408,1295191.54762,1276782.10514,1246870.2873,1201737.43826
66,63,42,28,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389854.56735,1389848.81062,1389720.6515,1389010.89201,1386742.54722,1381300.73652,1370359.73041,1350881.87118,1319234.08078
66,63,42,28,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1699674.19257,1699667.15258,1699510.42486,1698642.44922,1695868.45604,1689213.58335,1675833.66133,1652013.89239
66,63,42,28,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444466.12982,1444460.14689,1444326.95202,1443589.30394,1441231.82907,1435576.19328,1424205.28216
66,63,42,28,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977942.001978,977937.951377,977847.774905,977348.36753,975752.294317,971923.278411
66,63,42,28,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778955.925689,778952.699281,778880.871405,778483.080602,777211.767288
66,63,42,28,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623015.004641,623012.424134,622954.975641,622636.819464
66,63,42,28,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553594.399042,553592.106074,553541.058885
66,63,42,28,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788431.422509,788428.156854
66,63,42,28,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776593.967418
66,63,42,29,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,29,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,63,42,29,2001,0.0,421464.29275,421462.54706,421423.683648,421208.453731,420520.593033,418870.399589,415552.611157,409646.077945,400049.092826,385568.55263,365080.385851,337767.997749,303419.982137,262727.443849,217475.14862,170495.311123
66,63,42,29,2002,0.0,0.0,388010.871914,388009.264787,387973.48613,387775.33993,387142.077674,385622.86713,382568.425736,377130.719289,368295.487864,354964.329985,336102.396501,310957.909284,279336.242359,241873.644618,200213.217317
66,63,42,29,2003,0.0,0.0,0.0,337125.764207,337124.367844,337093.281325,336921.120714,336370.906693,335050.930753,332397.059524,327672.472987,319995.924824,308413.061783,292024.748464,270177.797561,242703.107032,210153.485857
66,63,42,29,2004,0.0,0.0,0.0,0.0,204334.990219,204334.14387,204315.302049,204210.953938,203877.464218,203077.414802,201468.879326,198605.264479,193952.438856,186931.960276,176998.854601,163757.219066,147104.559387
66,63,42,29,2005,0.0,0.0,0.0,0.0,0.0,137432.252769,137431.683529,137419.01084,137348.828068,137124.528532,136586.428848,135504.555137,133578.536304,130449.124614,125727.269656,119046.431056,110140.331322
66,63,42,29,2006,0.0,0.0,0.0,0.0,0.0,0.0,179959.974699,179959.229311,179942.635121,179850.734642,179557.026738,178852.414804,177435.760695,174913.744985,170815.952529,164632.943216,155884.75259
66,63,42,29,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268436.913606,268435.80175,268411.049062,268273.965907,267835.857138,266784.824244,264671.675155,260909.715784,254797.25238,245574.379685
66,63,42,29,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284233.45403,284232.276745,284206.06745,284060.917449,283597.027564,282484.145191,280246.644928,276263.307869,269791.148126
