census division,housing types,technology,air conditioning type,year,value
56,28,42,63,2009,792691.0
56,28,44,63,2009,2639.0
56,28,45,63,2009,6603.0
56,28,72,63,2009,0.0
56,28,73,64,2009,4061292.0
56,29,42,63,2009,234504.0
56,29,44,63,2009,4066.0
56,29,45,63,2009,0.0
56,29,72,63,2009,0.0
56,29,73,64,2009,1978166.0
56,30,42,63,2009,25230.0
56,30,44,63,2009,0.0
56,30,45,63,2009,0.0
56,30,72,63,2009,0.0
56,30,73,64,2009,55834.0
57,28,42,63,2009,4832816.0
57,28,44,63,2009,205579.0
57,28,45,63,2009,99423.0
57,28,72,63,2009,0.0
57,28,73,64,2009,7855170.0
57,29,42,63,2009,906252.0
57,29,44,63,2009,80453.0
57,29,45,63,2009,0.0
57,29,72,63,2009,44245.0
57,29,73,64,2009,6229371.0
57,30,42,63,2009,288262.0
57,30,44,63,2009,0.0
57,30,45,63,2009,0.0
57,30,72,63,2009,0.0
57,30,73,64,2009,153356.0
58,28,42,63,2009,9138965.0
58,28,44,63,2009,198302.0
58,28,45,63,2009,112580.0
58,28,72,63,2009,10845.0
58,28,73,64,2009,4531746.0
58,29,42,63,2009,1826705.0
58,29,44,63,2009,17881.0
58,29,45,63,2009,0.0
58,29,72,63,2009,0.0
58,29,73,64,2009,2263033.0
58,30,42,63,2009,250039.0
58,30,44,63,2009,0.0
58,30,45,63,2009,0.0
58,30,72,63,2009,0.0
58,30,73,64,2009,259113.0
59,28,42,63,2009,4856560.0
59,28,44,63,2009,130032.0
59,28,45,63,2009,127509.0
59,28,72,63,2009,30994.0
59,28,73,64,2009,1194293.0
59,29,42,63,2009,707991.0
59,29,44,63,2009,18511.0
59,29,45,63,2009,0.0
59,29,72,63,2009,8657.0
59,29,73,64,2009,748666.0
59,30,42,63,2009,305023.0
59,30,44,63,2009,9306.0
59,30,45,63,2009,0.0
59,30,72,63,2009,0.0
59,30,73,64,2009,227387.0
60,28,42,63,2009,8868932.0
60,28,44,63,2009,4138593.0
60,28,45,63,2009,92917.0
60,28,72,63,2009,112498.0
60,28,73,64,2009,3804690.0
60,29,42,63,2009,3086512.0
60,29,44,63,2009,749966.0
60,29,45,63,2009,0.0
60,29,72,63,2009,41617.0
60,29,73,64,2009,1004505.0
60,30,42,63,2009,946882.0
60,30,44,63,2009,626922.0
60,30,45,63,2009,0.0
60,30,72,63,2009,0.0
60,30,73,64,2009,1753141.0
61,28,42,63,2009,3468554.0
61,28,44,63,2009,1050730.0
61,28,45,63,2009,108807.0
61,28,72,63,2009,43852.0
61,28,73,64,2009,1439829.0
61,29,42,63,2009,626822.0
61,29,44,63,2009,92223.0
61,29,45,63,2009,0.0
61,29,72,63,2009,0.0
61,29,73,64,2009,254277.0
61,30,42,63,2009,369044.0
61,30,44,63,2009,73812.0
61,30,45,63,2009,0.0
61,30,72,63,2009,0.0
61,30,73,64,2009,316827.0
62,28,42,63,2009,7028829.0
62,28,44,63,2009,346201.0
62,28,45,63,2009,75853.0
62,28,72,63,2009,21446.0
62,28,73,64,2009,3921136.0
62,29,42,63,2009,2501729.0
62,29,44,63,2009,71729.0
62,29,45,63,2009,0.0
62,29,72,63,2009,0.0
62,29,73,64,2009,291388.0
62,30,42,63,2009,495562.0
62,30,44,63,2009,40129.0
62,30,45,63,2009,0.0
62,30,72,63,2009,0.0
62,30,73,64,2009,573802.0
63,28,42,63,2009,3201886.0
63,28,44,63,2009,544498.0
63,28,45,63,2009,48037.0
63,28,72,63,2009,52831.0
63,28,73,64,2009,955549.0
63,29,42,63,2009,873254.0
63,29,44,63,2009,57183.0
63,29,45,63,2009,0.0
63,29,72,63,2009,7959.0
63,29,73,64,2009,106461.0
63,30,42,63,2009,165065.0
63,30,44,63,2009,106797.0
63,30,45,63,2009,0.0
63,30,72,63,2009,0.0
63,30,73,64,2009,248321.0
64,28,42,63,2009,4557845.0
64,28,44,63,2009,389067.0
64,28,45,63,2009,27439.0
64,28,72,63,2009,26174.0
64,28,73,64,2009,2852758.0
64,29,42,63,2009,1131196.0
64,29,44,63,2009,67779.0
64,29,45,63,2009,0.0
64,29,72,63,2009,8277.0
64,29,73,64,2009,1691961.0
64,30,42,63,2009,220037.0
64,30,44,63,2009,77440.0
64,30,45,63,2009,0.0
64,30,72,63,2009,0.0
64,30,73,64,2009,329610.0
