census region,air conditioning type,housing types,technology,vintage,value
66,63,28,42,2000,381213.727503
66,63,28,42,2001,11757.3893357
66,63,28,42,2002,4779.82392168
66,63,28,42,2003,0.0
66,63,28,42,2004,0.0
66,63,28,42,2005,381213.727503
66,63,28,42,2006,11757.3893357
66,63,28,42,2007,4779.82392155
66,63,28,42,2008,0.0
66,63,28,42,2009,0.0
66,63,28,42,2010,381213.839252
66,63,28,42,2011,11757.3927823
66,63,28,42,2012,4779.898537
66,63,28,42,2013,0.0
66,63,28,42,2014,0.0
66,63,28,42,2015,381216.318279
66,63,28,42,2016,11757.4692404
66,63,28,44,2000,4780.43982753
66,63,28,44,2001,0.0
66,63,28,44,2002,0.0
66,63,28,44,2003,381229.887091
66,63,28,44,2004,11757.8877296
66,63,28,44,2005,4781.91142598
66,63,28,44,2006,0.0
66,63,28,44,2007,0.0
66,63,28,44,2008,381272.504496
66,63,28,44,2009,11759.2021351
66,63,28,44,2010,4784.70826314
66,63,28,44,2011,0.0
66,63,28,44,2012,0.0
66,63,28,44,2013,381372.23893
66,63,28,44,2014,11762.2781433
66,63,28,44,2015,4789.07649354
66,63,28,44,2016,0.0
66,63,28,45,2000,0.0
66,63,28,45,2001,381566.387489
66,63,28,45,2002,11768.2660709
66,63,28,45,2003,4795.13567355
66,63,28,45,2004,0.0
66,63,28,45,2005,0.0
66,63,28,45,2006,381899.582917
66,63,28,45,2007,11778.5424804
66,63,28,45,2008,4802.95883349
66,63,28,45,2009,0.0
66,63,28,45,2010,0.0
66,63,28,45,2011,382421.016646
66,63,28,45,2012,11794.6245334
66,63,28,45,2013,4812.6019324
66,63,28,45,2014,0.0
66,63,28,45,2015,0.0
66,63,28,45,2016,383179.543515
66,63,28,72,2000,11818.0190102
66,63,28,72,2001,4824.05767268
66,63,28,72,2002,0.0
66,63,28,72,2003,0.0
66,63,28,72,2004,384215.438209
66,63,28,72,2005,11849.9680623
66,63,28,72,2006,4837.25045753
66,63,28,72,2007,0.0
66,63,28,72,2008,0.0
66,63,28,72,2009,385548.688394
66,63,28,72,2010,11891.088149
66,63,28,72,2011,4851.95637419
66,63,28,72,2012,0.0
66,63,28,72,2013,0.0
66,63,28,72,2014,387164.672517
66,63,28,72,2015,11940.9283124
66,63,28,72,2016,4867.76875529
66,63,28,73,2000,0.0
66,63,28,73,2001,0.0
66,63,28,73,2002,389001.497943
66,63,28,73,2003,11997.5796608
66,63,28,73,2004,4884.1587627
66,63,28,73,2005,0.0
66,63,28,73,2006,0.0
66,63,28,73,2007,390945.945187
66,63,28,73,2008,12057.55028
66,63,28,73,2009,4900.53984196
66,63,28,73,2010,0.0
66,63,28,73,2011,0.0
66,63,28,73,2012,392844.852669
66,63,28,73,2013,12116.1163624
66,63,28,73,2014,4916.34592629
66,63,28,73,2015,0.0
66,63,28,73,2016,0.0
66,63,29,42,2000,79090.5675923
66,63,29,42,2001,5051.52361661
66,63,29,42,2002,0.0
66,63,29,42,2003,814.20482741
66,63,29,42,2004,0.0
66,63,29,42,2005,79090.5673759
66,63,29,42,2006,5051.52360279
66,63,29,42,2007,0.0
66,63,29,42,2008,814.204890199
66,63,29,42,2009,0.0
66,63,29,42,2010,79090.5857434
66,63,29,42,2011,5051.52477593
66,63,29,42,2012,0.0
66,63,29,42,2013,814.206771654
66,63,29,42,2014,0.0
66,63,29,42,2015,79091.0733901
66,63,29,42,2016,5051.55592198
66,63,29,44,2000,0.0
66,63,29,44,2001,814.220568218
66,63,29,44,2002,0.0
66,63,29,44,2003,79093.8032542
66,63,29,44,2004,5051.73027871
66,63,29,44,2005,0.0
66,63,29,44,2006,814.275749403
66,63,29,44,2007,0.0
66,63,29,44,2008,79102.4405408
66,63,29,44,2009,5052.28194319
66,63,29,44,2010,0.0
66,63,29,44,2011,814.432165684
66,63,29,44,2012,0.0
66,63,29,44,2013,79122.72112
66,63,29,44,2014,5053.57726611
66,63,29,44,2015,0.0
66,63,29,44,2016,814.78900385
66,63,29,45,2000,0.0
66,63,29,45,2001,79162.2685935
66,63,29,45,2002,5056.10316778
66,63,29,45,2003,0.0
66,63,29,45,2004,815.490483597
66,63,29,45,2005,0.0
