census region,air conditioning type,housing types,technology,vintage,value
66,63,28,42,2000,381215.307045
66,63,28,42,2001,11757.4380519
66,63,28,42,2002,4780.87787839
66,63,28,42,2003,0.0
66,63,28,42,2004,0.0
66,63,28,42,2005,408195.149364
66,63,28,42,2006,12589.5500339
66,63,28,42,2007,5119.23609465
66,63,28,42,2008,0.0
66,63,28,42,2009,0.0
66,63,28,42,2010,406073.679431
66,63,28,42,2011,12524.119683
66,63,28,42,2012,5092.63042462
66,63,28,42,2013,0.0
66,63,28,42,2014,0.0
66,63,28,42,2015,402849.432964
66,63,28,42,2016,12424.6775111
66,63,28,44,2000,5052.19467001
66,63,28,44,2001,0.0
66,63,28,44,2002,0.0
66,63,28,44,2003,394442.432896
66,63,28,44,2004,12165.3889131
66,63,28,44,2005,4946.76123147
66,63,28,44,2006,0.0
66,63,28,44,2007,0.0
66,63,28,44,2008,390243.915196
66,63,28,44,2009,12035.8982792
66,63,28,44,2010,4894.10699639
66,63,28,44,2011,0.0
66,63,28,44,2012,0.0
66,63,28,44,2013,393043.182577
66,63,28,44,2014,12122.2332511
66,63,28,44,2015,4929.21302505
66,63,28,44,2016,0.0
66,63,28,45,2000,0.0
66,63,28,45,2001,398850.893772
66,63,28,45,2002,12301.354612
66,63,28,45,2003,5002.04839515
66,63,28,45,2004,0.0
66,63,28,45,2005,0.0
66,63,28,45,2006,400187.218761
66,63,28,45,2007,12342.5695317
66,63,28,45,2008,5018.80744564
66,63,28,45,2009,0.0
66,63,28,45,2010,0.0
66,63,28,45,2011,404785.24339
66,63,28,45,2012,12484.3817537
66,63,28,45,2013,5076.47195655
66,63,28,45,2014,0.0
66,63,28,45,2015,0.0
66,63,28,45,2016,402185.755525
66,63,28,72,2000,12404.2083793
66,63,28,72,2001,5043.87139251
66,63,28,72,2002,0.0
66,63,28,72,2003,0.0
66,63,28,72,2004,397083.149427
66,63,28,72,2005,12246.8338616
66,63,28,72,2006,4979.87885034
66,63,28,72,2007,0.0
66,63,28,72,2008,0.0
66,63,28,72,2009,395798.150921
66,63,28,72,2010,12207.2019526
66,63,28,72,2011,4963.76349291
66,63,28,72,2012,0.0
66,63,28,72,2013,0.0
66,63,28,72,2014,395362.272322
66,63,28,72,2015,12193.75859
66,63,28,72,2016,4958.29707455
66,63,28,73,2000,0.0
66,63,28,73,2001,0.0
66,63,28,73,2002,396285.664944
66,63,28,73,2003,12222.2378544
66,63,28,73,2004,4969.87747879
66,63,28,73,2005,0.0
66,63,28,73,2006,0.0
66,63,28,73,2007,401320.085821
66,63,28,73,2008,12377.5094044
66,63,28,73,2009,5033.01489998
66,63,28,73,2010,0.0
66,63,28,73,2011,0.0
66,63,28,73,2012,403063.23667
66,63,28,73,2013,12431.2716425
66,63,28,73,2014,5054.87601409
66,63,28,73,2015,0.0
66,63,28,73,2016,0.0
66,63,29,42,2000,79038.6544062
66,63,29,42,2001,5048.20791546
66,63,29,42,2002,0.0
66,63,29,42,2003,869.782982176
66,63,29,42,2004,0.0
66,63,29,42,2005,84636.1731449
66,63,29,42,2006,5405.72207884
66,63,29,42,2007,0.0
66,63,29,42,2008,931.38102655
66,63,29,42,2009,0.0
66,63,29,42,2010,84196.0130993
66,63,29,42,2011,5377.60900628
66,63,29,42,2012,0.0
66,63,29,42,2013,926.537273579
66,63,29,42,2014,0.0
66,63,29,42,2015,83526.9570819
66,63,29,42,2016,5334.87632176
66,63,29,44,2000,0.0
66,63,29,44,2001,919.174628776
66,63,29,44,2002,0.0
66,63,29,44,2003,81782.4326828
66,63,29,44,2004,5223.45334846
66,63,29,44,2005,0.0
66,63,29,44,2006,899.97696346
66,63,29,44,2007,0.0
66,63,29,44,2008,80910.7671462
66,63,29,44,2009,5167.77997073
66,63,29,44,2010,0.0
66,63,29,44,2011,890.384696795
66,63,29,44,2012,0.0
66,63,29,44,2013,81490.6253317
66,63,29,44,2014,5204.8155795
66,63,29,44,2015,0.0
66,63,29,44,2016,896.765761676
66,63,29,45,2000,0.0
66,63,29,45,2001,82694.347876
66,63,29,45,2002,5281.69747636
66,63,29,45,2003,0.0
66,63,29,45,2004,910.012158545
66,63,29,45,2005,0.0
66,63,29,45,2006,82970.1350637
66,63,29,45,2007,5299.31203565
66,63,29,45,2008,0.0
66,63,29,45,2009,913.047066014
66,63,29,45,2010,0.0
66,63,29,45,2011,83922.4496689
66,63,29,45,2012,5360.13647862
66,63,29,45,2013,0.0
66,63,29,45,2014,923.526837507
66,63,29,45,2015,0.0
66,63,29,45,2016,83381.4374307
66,63,29,72,2000,5325.58196497
66,63,29,72,2001,0.0
66,63,29,72,2002,917.573253891
66,63,29,72,2003,0.0
66,63,29,72,2004,82321.2155134
66,63,29,72,2005,5257.86546959
66,63,29,72,2006,0.0
66,63,29,72,2007,905.906013501
66,63,29,72,2008,0.0
66,63,29,72,2009,82053.3667121
66,63,29,72,2010,5240.75793596
66,63,29,72,2011,0.0
66,63,29,72,2012,902.958464217
66,63,29,72,2013,0.0
66,63,29,72,2014,81962.2624048
66,63,29,72,2015,5234.93909341
66,63,29,72,2016,0.0
66,63,29,73,2000,901.955904436
66,63,29,73,2001,0.0
66,63,29,73,2002,82153.9490661
66,63,29,73,2003,5247.18214243
66,63,29,73,2004,0.0
