census region,air conditioning type,year,housing types,value
66,63,2000,28,5767388.6379
66,63,2000,29,1232680.49849
66,63,2000,30,304394.948352
66,63,2001,28,5795538.76059
66,63,2001,29,1238697.10487
66,63,2001,30,305880.67364
66,63,2002,28,5821475.20244
66,63,2002,29,1244240.5749
66,63,2002,30,307249.563856
66,63,2003,28,5844044.4458
66,63,2003,29,1249064.36395
66,63,2003,30,308440.737904
66,63,2004,28,5857826.56732
66,63,2004,29,1252010.05627
66,63,2004,30,309168.13958
66,63,2005,28,5867181.32716
66,63,2005,29,1254009.47589
66,63,2005,30,309661.871114
66,63,2006,28,5879349.59701
66,63,2006,29,1256610.23507
66,63,2006,30,310304.09589
66,63,2007,28,5897371.29826
66,63,2007,29,1260462.06492
66,63,2007,30,311255.256834
66,63,2008,28,5916435.99406
66,63,2008,29,1264536.81698
66,63,2008,30,312261.465615
66,63,2009,28,5939751.0
66,63,2009,29,1269520.0
66,63,2009,30,313492.0
66,63,2010,28,5959560.38534
66,63,2010,29,1273753.91669
66,63,2010,30,314537.512485
66,63,2011,28,5972964.79689
66,63,2011,29,1276618.87997
66,63,2011,30,315244.979142
66,63,2012,28,5983639.39552
66,63,2012,29,1278900.39252
66,63,2012,30,315808.369977
66,63,2013,28,5992177.57217
66,63,2013,29,1280725.28148
66,63,2013,30,316259.003358
66,63,2014,28,5999769.32783
66,63,2014,29,1282347.88917
66,63,2014,30,316659.685923
66,63,2015,28,6010593.07898
66,63,2015,29,1284661.28052
66,63,2015,30,317230.948825
66,63,2016,28,6021262.31241
66,63,2016,29,1286941.64635
66,63,2016,30,317794.056492
66,64,2000,28,11570664.7539
66,64,2000,29,7969367.00527
66,64,2000,30,203119.630631
66,64,2001,28,11627140.163
66,64,2001,29,8008264.79299
66,64,2001,30,204111.039895
66,64,2002,28,11679174.4357
66,64,2002,29,8044103.72061
66,64,2002,30,205024.486312
66,64,2003,28,11724453.3592
66,64,2003,29,8075289.85955
66,64,2003,30,205819.344551
66,64,2004,28,11752103.3612
66,64,2004,29,8094333.9697
66,64,2004,30,206304.732238
66,64,2005,28,11770871.0908
66,64,2005,29,8107260.35962
66,64,2005,30,206634.194233
66,64,2006,28,11795283.3473
66,64,2006,29,8124074.45251
66,64,2006,30,207062.744246
66,64,2007,28,11831438.8895
66,64,2007,29,8148976.80613
66,64,2007,30,207697.4442
66,64,2008,28,11869686.9109
66,64,2008,29,8175320.36771
66,64,2008,30,208368.877011
66,64,2009,28,11916462.0
66,64,2009,29,8207537.0
66,64,2009,30,209190.0
66,64,2010,28,11956204.0342
66,64,2010,29,8234909.5722
66,64,2010,30,209887.65977
66,64,2011,28,11983096.2661
66,64,2011,29,8253431.76341
66,64,2011,30,210359.745023
66,64,2012,28,12004511.8858
66,64,2012,29,8268181.90416
66,64,2012,30,210735.689955
66,64,2013,28,12021641.3678
66,64,2013,29,8279979.94094
66,64,2013,30,211036.392994
66,64,2014,28,12036872.1187
66,64,2014,29,8290470.21494
66,64,2014,30,211303.764365
66,64,2015,28,12058586.9716
66,64,2015,29,8305426.45435
66,64,2015,30,211684.962247
66,64,2016,28,12079991.8276
66,64,2016,29,8320169.18147
66,64,2016,30,212060.718224
67,63,2000,28,14097105.6865
67,63,2000,29,2489899.23715
67,63,2000,30,544712.540454
67,63,2001,28,14166439.772
67,63,2001,29,2502145.35988
67,63,2001,30,547391.611367
67,63,2002,28,14225923.8644
67,63,2002,29,2512651.72904
67,63,2002,30,549690.078288
67,63,2003,28,14285648.0408
67,63,2003,29,2523200.503
67,63,2003,30,551997.822063
67,63,2004,28,14338789.5497
67,63,2004,29,2532586.61426
67,63,2004,30,554051.211385
67,63,2005,28,14387971.8546
67,63,2005,29,2541273.4317
67,63,2005,30,555951.616962
