census region,air conditioning type,housing types,technology,vintage,sector,final_energy,year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,28,42,1999,N/A,N/A,N/A,5146385.32642,4765173.17789,4383996.18125,4003013.8597,3622653.70697,3243786.15137,2867919.52969,2497395.35714,2135551.64112,1786805.54878,1456590.96804,1151080.39533,876637.54364,639001.022801,442295.125122,288082.409613,174762.261216
66,63,28,42,2000,N/A,N/A,N/A,381213.728064,381212.14909,381176.997201,380982.322111,380360.153292,378867.55616,375866.622228,370524.173094,361843.716557,348746.09285,330214.581229,305510.573156,274442.852098,237636.521189,196705.897968,154212.715736,113320.148564
66,63,28,42,2001,N/A,N/A,N/A,0.0,408193.458633,408191.76791,408154.128208,407945.675331,407279.47361,405681.240542,402467.920794,396747.369227,387452.568658,373427.983688,353584.936952,327132.546193,293866.061865,254454.827674,210627.411643,165126.849238
66,63,28,42,2002,N/A,N/A,N/A,0.0,0.0,406071.997488,406070.315552,406032.87147,405825.501964,405162.762623,403572.835885,400376.216388,394685.395644,385438.901969,371487.205507,351747.286962,325432.374445,292338.782534,253132.376227,209532.739839
66,63,28,42,2003,N/A,N/A,N/A,0.0,0.0,0.0,402847.764376,402846.095794,402808.949021,402603.226039,401945.748884,400368.446248,397197.208078,391551.572752,382378.496725,368537.57747,348954.394921,322848.4242,290017.597157,251122.491787
66,63,28,42,2004,N/A,N/A,N/A,0.0,0.0,0.0,0.0,394440.799129,394439.165369,394402.793806,394201.364024,393557.607654,392013.221493,388908.163383,383380.345913,374398.701336,360846.626,341672.12174,316110.952326,283965.266536
66,63,28,42,2005,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,390242.29882,390240.68245,390204.698032,390005.412306,389368.508196,387840.560766,384768.553464,379299.575099,370413.532796,357005.708239,338035.300924,312746.209292
66,63,28,42,2006,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,393041.554606,393039.926641,393003.684103,392802.968876,392161.496175,390622.588591,387528.545405,382020.337388,373070.554416,359566.553892,340460.069523
66,63,28,42,2007,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398849.241745,398847.589726,398810.811658,398607.130609,397956.179336,396394.532441,393254.770846,387665.172074,378583.144715,364879.605467
66,63,28,42,2008,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400185.561199,400183.903645,400147.002354,399942.638884,399289.50664,397722.627545,394572.346375,388964.020002,379851.563877
66,63,28,42,2009,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404783.566784,404781.890184,404744.56491,404537.853368,403877.216841,402292.334801,399105.857896,393433.093625
66,63,28,42,2010,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402184.089686,402182.423853,402145.338277,401939.954216,401283.560226,399708.85613,396542.842441
66,63,28,42,2011,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397081.504723,397079.860025,397043.244961,396840.466645,396192.400449,394637.674919
66,63,28,42,2012,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395796.511539,395794.872164,395758.37559,395556.253484,394910.284491
66,63,28,42,2013,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395360.634745,395358.997175,395322.540793,395120.641277
66,63,28,42,2014,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396284.023542,396282.382148,396245.84062
66,63,28,42,2015,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401318.423568,401316.761321
66,63,28,42,2016,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403061.567196
66,63,28,44,1999,N/A,N/A,N/A,158724.756191,146967.415554,135211.159071,123460.906755,111729.843362,100044.814633,88452.3406726,77024.638466,65864.6587983,55108.6358876,44924.1616411,35501.6081224,27037.2448925,19708.0620895,13641.2610884,8885.03431601,5390.01562134
66,63,28,44,2000,N/A,N/A,N/A,11757.389353,11757.3406543,11756.2565002,11750.2523333,11731.0634099,11685.0287465,11592.4739772,11427.7022234,11159.9796841,10756.0229266,10184.4742614,9422.55353264,8464.36324227,7329.18281382,6066.80101001,4756.22677942,3495.01869981
66,63,28,44,2001,N/A,N/A,N/A,0.0,12589.4978885,12589.4457432,12588.28486,12581.8557588,12561.308773,12512.0160874,12412.9109172,12236.4777325,11949.8076018,11517.2615158,10905.2624999,10089.4181728,9063.41365128,7847.89282621,6496.16817236,5092.84035755
66,63,28,44,2002,N/A,N/A,N/A,0.0,0.0,12524.0678086,12524.0159343,12522.8610844,12516.4653965,12496.0251975,12446.9886956,12348.3985943,12172.8823674,11887.7021173,11457.4040578,10848.5857204,10036.9814956,9016.30931999,7807.1057941,6462.40631733
66,63,28,44,2003,N/A,N/A,N/A,0.0,0.0,0.0,12424.6260485,12424.5745862,12423.4289058,12417.084,12396.8060973,12348.1589478,12250.3516572,12076.2290383,11793.3131345,11366.4316643,10762.4473766,9957.28733226,8944.71934767,7745.11696166
66,63,28,44,2004,N/A,N/A,N/A,0.0,0.0,0.0,0.0,12165.3385245,12165.2881361,12164.1663648,12157.9538698,12138.0991433,12090.4672034,11994.7010374,11824.2121555,11547.2003782,11129.2274288,10537.8475922,9749.49030332,8758.05343725
66,63,28,44,2005,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,12035.8484269,12035.7985749,12034.6887439,12028.5423758,12008.8989867,11961.7740499,11867.0272366,11698.3530696,11424.2898566,11010.7658881,10425.680807,9645.71493793
