census region,air conditioning type,housing types,technology,final_energy,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,28,42,2.0,1999,0.931034482728,0.857882003624,0.785741684218,0.714687552626,0.645257122439,0.576852651521,0.508954934217,0.44184473261,0.376608137719,0.31386838108,0.255011924521,0.201071897565,0.152858308609,0.111262885991,0.0769149157948,0.0500071951187,0.0302826501003
66,63,28,42,2.0,2000,0.0689655172719,0.0686302533105,0.0683181835437,0.0680195804776,0.0677487051914,0.067375204205,0.0667031170192,0.0655539595356,0.0638117503758,0.0612603714183,0.0578121502273,0.0533668985412,0.0478542933575,0.0413772814453,0.034207063834,0.0267692337618,0.0196360151465
66,63,28,42,2.0,2001,0.0,0.0734877430653,0.0731600288735,0.0728707631816,0.0726621625659,0.0724277844773,0.0719941640467,0.0712055183169,0.0699670684578,0.0680595101984,0.0653777147324,0.0617645774453,0.0570417364222,0.0511679715229,0.0442495757527,0.0365620590495,0.0286130344323
66,63,28,42,2.0,2002,0.0,0.0,0.0727801033643,0.0724987247577,0.072321459199,0.0721692201454,0.071902152436,0.0714010023485,0.0706070217818,0.0693300209702,0.067480520155,0.0648917639769,0.0613337812565,0.0566642992477,0.0508375778186,0.0439403438268,0.0363076478923
66,63,28,42,2.0,2003,0.0,0.0,0.0,0.0719233789572,0.0717538394735,0.071632777087,0.0714479246377,0.0711131345029,0.0706056515046,0.0697712432973,0.0685506928902,0.066794265836,0.0642614854448,0.0607599544801,0.0561431902623,0.050343117403,0.0435142833366
66,63,28,42,2.0,2004,0.0,0.0,0.0,0.0,0.0702567111311,0.0701443522443,0.0699926360898,0.0697429807354,0.0694045486185,0.0688606296728,0.0680878993364,0.066969269874,0.0652834830618,0.0628306302747,0.0594166224776,0.0548725696003,0.0492052503058
66,63,28,42,2.0,2005,0.0,0.0,0.0,0.0,0.0,0.0693980103204,0.0692540075859,0.0690358817126,0.0687781129712,0.0683960621201,0.06790098935,0.0672117633851,0.0661380429419,0.0644964205038,0.0620831260121,0.0586783388581,0.0541923866187
66,63,28,42,2.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0697510639675,0.0695374966544,0.0693068632651,0.0689993558664,0.068657474924,0.0682343522121,0.0675729192961,0.0665173978261,0.0648767952631,0.0624158720513,0.0589946198152
66,63,28,42,2.0,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705652935835,0.0703374458889,0.0700546872028,0.0697859411013,0.0695153913238,0.0691188715456,0.0684735378703,0.0674147924611,0.0657168940368,0.0632260154121
66,63,28,42,2.0,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705733994174,0.0702958830953,0.0700555333656,0.0698623881039,0.0696236649607,0.0692514812739,0.0686159468477,0.0675188730492,0.0658203431273
66,63,28,42,2.0,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711038550786,0.0708669840004,0.07070119344,0.0705388133133,0.0703231186308,0.0699584492313,0.0692793584156,0.0681737385934
66,63,28,42,2.0,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704121753964,0.0702536360268,0.0701216331311,0.0699858023779,0.0697830238036,0.0693840307223,0.0687125931186
66,63,28,42,2.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693626022701,0.0692383713502,0.0691331871486,0.0690103719039,0.0687736217578,0.0683824673749
66,63,28,42,2.0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0690145953093,0.0689158204227,0.0688221967745,0.0686631952814,0.0684297049205
66,63,28,42,2.0,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688402109844,0.0687527450546,0.0686226259313,0.0684661553585
66,63,28,42,2.0,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689136067081,0.068789241359,0.0686611289056
66,63,28,42,2.0,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069663429777,0.069539813561
66,63,28,42,2.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0698421519803
66,63,28,44,2.0,1999,0.931034482728,0.857882003624,0.785741684218,0.714687552626,0.645257122439,0.576852651521,0.508954934217,0.44184473261,0.376608137719,0.31386838108,0.255011924521,0.201071897565,0.152858308609,0.111262885991,0.0769149157948,0.0500071951187,0.0302826501003
66,63,28,44,2.0,2000,0.0689655172719,0.0686302533105,0.0683181835437,0.0680195804776,0.0677487051914,0.067375204205,0.0667031170192,0.0655539595356,0.0638117503758,0.0612603714183,0.0578121502273,0.0533668985412,0.0478542933575,0.0413772814453,0.034207063834,0.0267692337618,0.0196360151465
66,63,28,44,2.0,2001,0.0,0.0734877430653,0.0731600288735,0.0728707631816,0.0726621625659,0.0724277844773,0.0719941640467,0.0712055183169,0.0699670684578,0.0680595101984,0.0653777147324,0.0617645774453,0.0570417364222,0.0511679715229,0.0442495757527,0.0365620590495,0.0286130344323
66,63,28,44,2.0,2002,0.0,0.0,0.0727801033643,0.0724987247577,0.072321459199,0.0721692201454,0.071902152436,0.0714010023485,0.0706070217818,0.0693300209702,0.067480520155,0.0648917639769,0.0613337812565,0.0566642992477,0.0508375778186,0.0439403438268,0.0363076478923
66,63,28,44,2.0,2003,0.0,0.0,0.0,0.0719233789572,0.0717538394735,0.071632777087,0.0714479246377,0.0711131345029,0.0706056515046,0.0697712432973,0.0685506928902,0.066794265836,0.0642614854448,0.0607599544801,0.0561431902623,0.050343117403,0.0435142833366
66,63,28,44,2.0,2004,0.0,0.0,0.0,0.0,0.0702567111311,0.0701443522443,0.0699926360898,0.0697429807354,0.0694045486185,0.0688606296728,0.0680878993364,0.066969269874,0.0652834830618,0.0628306302747,0.0594166224776,0.0548725696003,0.0492052503058
66,63,28,44,2.0,2005,0.0,0.0,0.0,0.0,0.0,0.0693980103204,0.0692540075859,0.0690358817126,0.0687781129712,0.0683960621201,0.06790098935,0.0672117633851,0.0661380429419,0.0644964205038,0.0620831260121,0.0586783388581,0.0541923866187
66,63,28,44,2.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0697510639675,0.0695374966544,0.0693068632651,0.0689993558664,0.068657474924,0.0682343522121,0.0675729192961,0.0665173978261,0.0648767952631,0.0624158720513,0.0589946198152
66,63,28,44,2.0,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705652935835,0.0703374458889,0.0700546872028,0.0697859411013,0.0695153913238,0.0691188715456,0.0684735378703,0.0674147924611,0.0657168940368,0.0632260154121
66,63,28,44,2.0,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705733994174,0.0702958830953,0.0700555333656,0.0698623881039,0.0696236649607,0.0692514812739,0.0686159468477,0.0675188730492,0.0658203431273
66,63,28,44,2.0,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711038550786,0.0708669840004,0.07070119344,0.0705388133133,0.0703231186308,0.0699584492313,0.0692793584156,0.0681737385934
66,63,28,44,2.0,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704121753964,0.0702536360268,0.0701216331311,0.0699858023779,0.0697830238036,0.0693840307223,0.0687125931186
66,63,28,44,2.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693626022701,0.0692383713502,0.0691331871486,0.0690103719039,0.0687736217578,0.0683824673749
66,63,28,44,2.0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0690145953093,0.0689158204227,0.0688221967745,0.0686631952814,0.0684297049205
66,63,28,44,2.0,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688402109844,0.0687527450546,0.0686226259313,0.0684661553585
66,63,28,44,2.0,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689136067081,0.068789241359,0.0686611289056
66,63,28,44,2.0,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069663429777,0.069539813561
66,63,28,44,2.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0698421519803
66,63,28,45,2.0,1999,0.931034482146,0.857896855047,0.785876288943,0.715217814308,0.6466846079,0.579920260173,0.514609857811,0.451146129551,0.390596797732,0.333374751309,0.280492567934,0.232432514494,0.189302022367,0.151284346371,0.118426190802,0.0905984154482,0.0676636690162
66,63,28,45,2.0,2000,0.0689655178541,0.0686154006526,0.0681992566411,0.0676299021601,0.0668693220612,0.0657707464839,0.0641688526404,0.0619687431787,0.0591859652489,0.0557830888855,0.051863050328,0.0475062440284,0.0427720536417,0.0377821468536,0.0326802647012,0.0276119979168,0.0227623980208
66,63,28,45,2.0,2001,0.0,0.0734877443001,0.0731442730573,0.072744515869,0.0722478208382,0.0714918684978,0.0702869263605,0.0685106820392,0.0661539492986,0.0631412764537,0.0595484409945,0.0554239211196,0.0507899708338,0.045742188331,0.0404085416815,0.0349293949188,0.0295099446094
66,63,28,45,2.0,2002,0.0,0.0,0.0727801813588,0.0724837138207,0.0721980957578,0.0717619071375,0.070980314769,0.0697185042497,0.0679486560168,0.0655676910824,0.0626210991708,0.0591219949008,0.0550508473519,0.0504631423131,0.0454509510623,0.0401252883381,0.0346817590637
66,63,28,45,2.0,2003,0.0,0.0,0.0,0.0719240538422,0.0717409027422,0.071514791664,0.0710519759421,0.070212161808,0.0689559198499,0.0671608061745,0.0648482311963,0.0620012271287,0.0585621152394,0.054545791743,0.0500035966104,0.0450079134048,0.0397309670315
66,63,28,45,2.0,2004,0.0,0.0,0.0,0.0,0.0702592507005,0.0701358279319,0.0698845257053,0.0693671002795,0.0685391629483,0.0672681589699,0.0655582120826,0.0633695596995,0.0606137169328,0.0572686509667,0.0533446854684,0.0488708736722,0.0439848185579
66,63,28,45,2.0,2005,0.0,0.0,0.0,0.0,0.0,0.0694045981115,0.0692527002,0.0689398035256,0.068421348697,0.0675598102279,0.0663486943942,0.0647323382612,0.0625983606767,0.0598939221332,0.0565924506506,0.0526807146697,0.0482587054567
66,63,28,45,2.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0697648465716,0.0695468312482,0.069224487315,0.0686582724499,0.0678364131781,0.0666926833741,0.0650961317055,0.06296894449,0.0602526174375,0.056894543392,0.0529576663399
66,63,28,45,2.0,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07059004412,0.0703611984245,0.069988576961,0.0694597957095,0.0687028670836,0.0675737860764,0.0659758219296,0.0638242546893,0.0610315230024,0.0576254024641
66,63,28,45,2.0,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0706125144694,0.0703368615098,0.0700083973568,0.069554915723,0.0688267503438,0.0677158326212,0.0661190325509,0.0639214156049,0.0611195158549
66,63,28,45,2.0,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0711607059765,0.0709275194834,0.0706729591912,0.0702455869522,0.0695309316335,0.0684133279731,0.0667568654144,0.0645328574255
66,63,28,45,2.0,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704875781722,0.0703328907216,0.0701108203297,0.0697076408055,0.0690031788242,0.0678501353368,0.0662019836383
66,63,28,45,2.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0694558842739,0.0693334801137,0.0691351878793,0.068742321437,0.0680035929367,0.06686187397
66,63,28,45,2.0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0691243574354,0.0690231267073,0.0688304307109,0.0683950206976,0.0676545820772
66,63,28,45,2.0,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689623252221,0.068866042856,0.0686293583231,0.0681897348789
