census region,air conditioning type,housing types,technology,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,28,42,2000,18554.6470298,18554.5701771,18552.8592448,18543.3839103,18513.1013628,18440.4528433,18294.3897146,18034.3590529,17611.8590345,16974.3641939,16072.3881323,14869.9808834,13357.8354494,11566.3771986,9574.17909375,7505.92724593,5515.58142633
66,63,28,42,2001,0.0,52155.0188239,52154.8027996,52149.9935619,52123.359466,52038.2386426,51834.031853,51423.4648819,50692.5480375,49504.9481669,47713.0221141,45177.6691972,41797.8381176,37547.3679553,32511.7809864,26911.9369425,21098.31441
66,63,28,42,2002,0.0,0.0,23040.9514714,23040.8560366,23038.7314201,23026.9650566,22989.3605306,22899.1464182,22717.7668718,22394.863728,21870.207969,21078.5740639,19958.5103608,18465.3745966,16587.6094467,14362.9967901,11889.1076463
66,63,28,42,2003,0.0,0.0,0.0,40055.4744557,40055.3085473,40051.615014,40031.1598139,39965.786336,39808.9538771,39493.6351371,38932.2851146,38020.1988503,36643.9852116,34696.8137545,32101.0762679,28836.6809547,24969.3096115
66,63,28,42,2004,0.0,0.0,0.0,0.0,35489.1782011,35489.0312062,35485.7587331,35467.6354116,35409.7144648,35270.7607972,34991.3881744,34494.0316644,33685.9226005,32466.5963603,30741.4010963,28441.5758795,25549.3193636
66,63,28,42,2005,0.0,0.0,0.0,0.0,0.0,63929.2480728,63928.9832801,63923.0883354,63890.441473,63786.1042421,63535.7968546,63032.5425497,62136.6179518,60680.9120878,58484.4506975,55376.7304966,51233.887403
66,63,28,42,2006,0.0,0.0,0.0,0.0,0.0,0.0,47668.4031963,47668.2057554,47663.8102305,47639.4673226,47561.6689856,47375.0290073,46999.7809035,46331.7409022,45246.3038581,43608.5275614,41291.2774134
66,63,28,42,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32222.4117165,32222.2782524,32219.3070094,32202.8519333,32150.2625894,32024.0995585,31770.4430883,31318.8680717,30585.1451655,29478.0574808
66,63,28,42,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0690293,27999.953054,27997.3711551,27983.0723102,27937.3741399,27827.743191,27607.325218,27214.9234404,26577.3457133
66,63,28,42,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29888.8623843,29888.7385856,29885.9825202,29870.7191219,29821.938302,29704.9120068,29469.625356,29050.753434
66,63,28,42,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59285.9635022,59285.7179418,59280.2511565,59249.9754885,59153.2164393,58921.0892817,58454.38715
66,63,28,42,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52963.6243915,52963.405018,52958.5212184,52931.4741905,52845.0336633,52637.6608746
66,63,28,42,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31674.4470721,31674.3158776,31671.3951626,31655.2199166,31603.5248913
66,63,28,42,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35390.1686102,35390.0220254,35386.758682,35368.6859219
66,63,28,42,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31217.2895599,31217.1602589,31214.2816986
66,63,28,42,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51177.7151515,51177.5031752
66,63,28,42,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45609.920794
66,63,28,44,2000,572.262207203,572.259836913,572.207068358,571.914830203,570.980856227,568.740231436,564.235354122,556.215491488,543.184750851,523.523142414,495.704407248,458.619776905,411.982205075,356.730070604,295.2867199,231.497720542,170.111497996
66,63,28,44,2001,0.0,1608.56448203,1608.55781942,1608.40949296,1607.58804449,1604.96274904,1598.66460562,1586.00190389,1563.4589751,1526.83103375,1471.56447134,1393.36914626,1289.12843554,1158.03548438,1002.72796984,830.017645179,650.713966863
66,63,28,44,2002,0.0,0.0,710.628756444,710.625813045,710.560285648,710.197387602,709.037589249,706.255206648,700.661100794,690.702125802,674.520699004,650.10513534,615.560143676,569.508867859,511.594857015,442.983379417,366.683719309
66,63,28,44,2003,0.0,0.0,0.0,1235.3904758,1235.38535886,1235.27144295,1234.64056391,1232.62431586,1227.787291,1218.0622341,1200.74908325,1172.61852933,1130.17336434,1070.11872498,990.061019708,889.380577546,770.103155704
66,63,28,44,2004,0.0,0.0,0.0,0.0,1094.55682,1094.55228638,1094.45135681,1093.89239754,1092.10600037,1087.82039298,1079.2039858,1063.86452213,1038.94083181,1001.33438613,948.125933929,877.194751426,787.99180971
66,63,28,44,2005,0.0,0.0,0.0,0.0,0.0,1971.70512315,1971.69695642,1971.5151446,1970.50825045,1967.2902828,1959.57030527,1944.04894187,1916.41684587,1871.5199826,1803.77674603,1707.92847586,1580.1549575
66,63,28,44,2006,0.0,0.0,0.0,0.0,0.0,0.0,1470.1883352,1470.18224573,1470.046679,1469.29589532,1466.89643992,1461.14009188,1449.56669424,1428.96301232,1395.48597567,1344.97369824,1273.50509621
66,63,28,44,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.803246198,993.7991299,993.707490855,993.199983591,991.578023661,987.686904936,979.86363504,965.936163647,943.306690335,909.161904879
66,63,28,44,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.577802305,863.574225396,863.494594498,863.053589692,861.644167257,858.262930809,851.464802257,839.36235121,819.698186392
66,63,28,44,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.831944919,921.828126724,921.743124186,921.272370633,919.767873156,916.158549523,908.901841386,895.982998455
