census division,housing types,air conditioning type,vintage,value
56,28,63,2009,0.0
56,29,63,2009,0.033519949
56,30,63,2009,0.025800605
57,28,63,2009,0.0
57,29,63,2009,0.0
57,30,63,2009,0.0
58,28,63,2009,0.005744061
58,29,63,2009,0.183914425
58,30,63,2009,0.0
59,28,63,2009,0.029714056
59,29,63,2009,0.0
59,30,63,2009,0.0
60,28,63,2009,0.041714588
60,29,63,2009,0.056429675
60,30,63,2009,0.0
61,28,63,2009,0.045918597
61,29,63,2009,0.051864868
61,30,63,2009,0.0
62,28,63,2009,0.01428663
62,29,63,2009,0.0
62,30,63,2009,0.0
63,28,63,2009,0.065722709
63,29,63,2009,0.0
63,30,63,2009,0.0
64,28,63,2009,0.0
64,29,63,2009,0.041201924
64,30,63,2009,0.0
