census region,housing types,air conditioning type,vintage,value
66,28,63,2000,0.0
66,28,63,2001,0.0
66,28,63,2002,0.0
66,28,63,2003,0.0
66,28,63,2004,0.0
66,28,63,2005,0.0
66,28,63,2006,0.0
66,28,63,2007,0.0
66,28,63,2008,0.0
66,28,63,2009,0.0
66,28,63,2010,0.0
66,28,63,2011,0.0
66,28,63,2012,0.0
66,28,63,2013,0.0
66,28,63,2014,0.0
66,28,63,2015,0.0
66,28,63,2016,0.0
66,29,63,2000,0.00894941811182
66,29,63,2001,0.00894941811182
66,29,63,2002,0.00894941811182
66,29,63,2003,0.00894941811182
66,29,63,2004,0.00894941811182
66,29,63,2005,0.00894941811182
66,29,63,2006,0.00894941811182
66,29,63,2007,0.00894941811182
66,29,63,2008,0.00894941811182
66,29,63,2009,0.00894941811182
66,29,63,2010,0.00894941811182
66,29,63,2011,0.00894941811182
66,29,63,2012,0.00894941811182
66,29,63,2013,0.00894941811182
66,29,63,2014,0.00894941811182
66,29,63,2015,0.00894941811182
66,29,63,2016,0.00894941811182
66,30,63,2000,0.00688844728501
66,30,63,2001,0.00688844728501
66,30,63,2002,0.00688844728501
66,30,63,2003,0.00688844728501
66,30,63,2004,0.00688844728501
66,30,63,2005,0.00688844728501
66,30,63,2006,0.00688844728501
66,30,63,2007,0.00688844728501
66,30,63,2008,0.00688844728501
66,30,63,2009,0.00688844728501
66,30,63,2010,0.00688844728501
66,30,63,2011,0.00688844728501
66,30,63,2012,0.00688844728501
66,30,63,2013,0.00688844728501
66,30,63,2014,0.00688844728501
66,30,63,2015,0.00688844728501
66,30,63,2016,0.00688844728501
67,28,63,2000,0.0109977566681
67,28,63,2001,0.0109977566681
67,28,63,2002,0.0109977566681
67,28,63,2003,0.0109977566681
67,28,63,2004,0.0109977566681
67,28,63,2005,0.0109977566681
67,28,63,2006,0.0109977566681
67,28,63,2007,0.0109977566681
67,28,63,2008,0.0109977566681
67,28,63,2009,0.0109977566681
67,28,63,2010,0.0109977566681
67,28,63,2011,0.0109977566681
67,28,63,2012,0.0109977566681
67,28,63,2013,0.0109977566681
67,28,63,2014,0.0109977566681
67,28,63,2015,0.0109977566681
67,28,63,2016,0.0109977566681
67,29,63,2000,0.143604428359
67,29,63,2001,0.143604428359
67,29,63,2002,0.143604428359
67,29,63,2003,0.143604428359
67,29,63,2004,0.143604428359
67,29,63,2005,0.143604428359
67,29,63,2006,0.143604428359
67,29,63,2007,0.143604428359
67,29,63,2008,0.143604428359
67,29,63,2009,0.143604428359
67,29,63,2010,0.143604428359
67,29,63,2011,0.143604428359
67,29,63,2012,0.143604428359
67,29,63,2013,0.143604428359
67,29,63,2014,0.143604428359
67,29,63,2015,0.143604428359
67,29,63,2016,0.143604428359
67,30,63,2000,0.0
67,30,63,2001,0.0
67,30,63,2002,0.0
67,30,63,2003,0.0
67,30,63,2004,0.0
67,30,63,2005,0.0
67,30,63,2006,0.0
67,30,63,2007,0.0
67,30,63,2008,0.0
67,30,63,2009,0.0
67,30,63,2010,0.0
67,30,63,2011,0.0
67,30,63,2012,0.0
67,30,63,2013,0.0
67,30,63,2014,0.0
67,30,63,2015,0.0
67,30,63,2016,0.0
68,28,63,2000,0.0340713804103
68,28,63,2001,0.0340713804103
68,28,63,2002,0.0340713804103
68,28,63,2003,0.0340713804103
68,28,63,2004,0.0340713804103
68,28,63,2005,0.0340713804103
68,28,63,2006,0.0340713804103
68,28,63,2007,0.0340713804103
68,28,63,2008,0.0340713804103
68,28,63,2009,0.0340713804103
68,28,63,2010,0.0340713804103
68,28,63,2011,0.0340713804103
68,28,63,2012,0.0340713804103
68,28,63,2013,0.0340713804103
68,28,63,2014,0.0340713804103
68,28,63,2015,0.0340713804103
68,28,63,2016,0.0340713804103
68,29,63,2000,0.0385188381207
68,29,63,2001,0.0385188381207
68,29,63,2002,0.0385188381207
68,29,63,2003,0.0385188381207
68,29,63,2004,0.0385188381207
68,29,63,2005,0.0385188381207
68,29,63,2006,0.0385188381207
68,29,63,2007,0.0385188381207
68,29,63,2008,0.0385188381207
68,29,63,2009,0.0385188381207
68,29,63,2010,0.0385188381207
68,29,63,2011,0.0385188381207
68,29,63,2012,0.0385188381207
68,29,63,2013,0.0385188381207
68,29,63,2014,0.0385188381207
68,29,63,2015,0.0385188381207
68,29,63,2016,0.0385188381207
68,30,63,2000,0.0
68,30,63,2001,0.0
68,30,63,2002,0.0
68,30,63,2003,0.0
68,30,63,2004,0.0
68,30,63,2005,0.0
68,30,63,2006,0.0
68,30,63,2007,0.0
68,30,63,2008,0.0
68,30,63,2009,0.0
68,30,63,2010,0.0
68,30,63,2011,0.0
68,30,63,2012,0.0
68,30,63,2013,0.0
68,30,63,2014,0.0
68,30,63,2015,0.0
68,30,63,2016,0.0
69,28,63,2000,0.0200298042632
69,28,63,2001,0.0200298042632
69,28,63,2002,0.0200298042632
69,28,63,2003,0.0200298042632
69,28,63,2004,0.0200298042632
69,28,63,2005,0.0200298042632
69,28,63,2006,0.0200298042632
69,28,63,2007,0.0200298042632
69,28,63,2008,0.0200298042632
69,28,63,2009,0.0200298042632
69,28,63,2010,0.0200298042632
69,28,63,2011,0.0200298042632
69,28,63,2012,0.0200298042632
69,28,63,2013,0.0200298042632
69,28,63,2014,0.0200298042632
69,28,63,2015,0.0200298042632
69,28,63,2016,0.0200298042632
69,29,63,2000,0.0286451306854
69,29,63,2001,0.0286451306854
69,29,63,2002,0.0286451306854
69,29,63,2003,0.0286451306854
69,29,63,2004,0.0286451306854
69,29,63,2005,0.0286451306854
69,29,63,2006,0.0286451306854
69,29,63,2007,0.0286451306854
69,29,63,2008,0.0286451306854
69,29,63,2009,0.0286451306854
69,29,63,2010,0.0286451306854
69,29,63,2011,0.0286451306854
69,29,63,2012,0.0286451306854
69,29,63,2013,0.0286451306854
69,29,63,2014,0.0286451306854
69,29,63,2015,0.0286451306854
69,29,63,2016,0.0286451306854
69,30,63,2000,0.0
69,30,63,2001,0.0
69,30,63,2002,0.0
69,30,63,2003,0.0
69,30,63,2004,0.0
69,30,63,2005,0.0
69,30,63,2006,0.0
69,30,63,2007,0.0
69,30,63,2008,0.0
69,30,63,2009,0.0
69,30,63,2010,0.0
69,30,63,2011,0.0
69,30,63,2012,0.0
69,30,63,2013,0.0
69,30,63,2014,0.0
69,30,63,2015,0.0
69,30,63,2016,0.0
