vintage,census region,technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1999,66,73,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
1999,67,73,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
1999,68,73,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
1999,69,73,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2000,66,73,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2000,67,73,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2000,68,73,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2000,69,73,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2001,66,73,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2001,67,73,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2001,68,73,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2001,69,73,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2002,66,73,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2002,67,73,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2002,68,73,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2002,69,73,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2003,66,73,0.0,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2003,67,73,0.0,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2003,68,73,0.0,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2003,69,73,0.0,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2004,66,73,0.0,0.0,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2004,67,73,0.0,0.0,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2004,68,73,0.0,0.0,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2004,69,73,0.0,0.0,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
2005,66,73,0.0,0.0,0.0,0.0,0.0,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905,10.6702095905
