census region,year,value
66,2000,11585660000.0
66,2001,11704520000.0
66,2002,10894770000.0
66,2003,10147860000.0
66,2004,10454460000.0
66,2005,11367360000.0
66,2006,11129060000.0
66,2007,12419360000.0
66,2008,11811490000.0
66,2009,10263950000.0
66,2010,10666900000.0
66,2011,10322800000.0
66,2012,10305950000.0
66,2013,10316000000.0
66,2014,10611490000.0
66,2015,11463430000.0
66,2016,11562960000.0
67,2000,17151410000.0
67,2001,18215900000.0
67,2002,20101190000.0
67,2003,21964450000.0
67,2004,24383730000.0
67,2005,21150590000.0
67,2006,22438580000.0
67,2007,27537100000.0
67,2008,34020400000.0
67,2009,29305280000.0
67,2010,28726470000.0
67,2011,27079380000.0
67,2012,25899470000.0
67,2013,25355840000.0
67,2014,25387960000.0
67,2015,25995410000.0
67,2016,25825600000.0
68,2000,69156780000.0
68,2001,72627220000.0
68,2002,66171100000.0
68,2003,65688180000.0
68,2004,69036660000.0
68,2005,70504220000.0
68,2006,63453090000.0
68,2007,62004600000.0
68,2008,62573070000.0
68,2009,61262620000.0
68,2010,63599070000.0
68,2011,63274670000.0
68,2012,62739560000.0
68,2013,63108560000.0
68,2014,64298360000.0
68,2015,66512790000.0
68,2016,67031160000.0
69,2000,55340620000.0
69,2001,57078940000.0
69,2002,61811940000.0
69,2003,55411080000.0
69,2004,56355520000.0
69,2005,58037960000.0
69,2006,58984720000.0
69,2007,66321000000.0
69,2008,61024890000.0
69,2009,58169780000.0
69,2010,58416840000.0
69,2011,57137900000.0
69,2012,55674320000.0
69,2013,55363930000.0
69,2014,55888690000.0
69,2015,57480420000.0
69,2016,57776390000.0
