census region,year,value
66,2000,2.3911108e+11
66,2001,2.4809726e+11
66,2002,2.405877e+11
66,2003,2.4259893e+11
66,2004,2.470653e+11
66,2005,2.4296823e+11
66,2006,2.3537181e+11
66,2007,2.245772e+11
66,2008,2.1352068e+11
66,2009,1.8233133e+11
66,2010,1.7128335e+11
66,2011,1.6818224e+11
66,2012,1.8106247e+11
66,2013,1.8777912e+11
66,2014,1.932447e+11
66,2015,2.0425754e+11
66,2016,2.1551254e+11
67,2000,3.274763e+11
67,2001,3.2145695e+11
67,2002,3.0800215e+11
67,2003,3.1330318e+11
67,2004,3.1819441e+11
67,2005,3.1141534e+11
67,2006,2.936884e+11
67,2007,2.7553867e+11
67,2008,2.5735451e+11
67,2009,2.2075154e+11
67,2010,2.1084425e+11
67,2011,2.1041668e+11
67,2012,2.2980903e+11
67,2013,2.410104e+11
67,2014,2.5002865e+11
67,2015,2.6582013e+11
67,2016,2.8120351e+11
68,2000,4.9558751e+11
68,2001,5.071171e+11
68,2002,4.9259594e+11
68,2003,5.1384583e+11
68,2004,5.3909955e+11
68,2005,5.6140301e+11
68,2006,5.6088215e+11
68,2007,5.3244376e+11
68,2008,4.9429097e+11
68,2009,4.1303454e+11
68,2010,3.8248854e+11
68,2011,3.7072584e+11
68,2012,3.9545518e+11
68,2013,4.0746145e+11
68,2014,4.1753459e+11
68,2015,4.4043976e+11
68,2016,4.6378588e+11
69,2000,3.4698583e+11
69,2001,3.4961081e+11
69,2002,3.372559e+11
69,2003,3.5180006e+11
69,2004,3.8182181e+11
69,2005,4.0819474e+11
69,2006,4.1620715e+11
69,2007,4.0193056e+11
69,2008,3.6099332e+11
69,2009,2.951253e+11
69,2010,2.6924862e+11
69,2011,2.5891669e+11
69,2012,2.7521251e+11
69,2013,2.833521e+11
69,2014,2.90564e+11
69,2015,3.0694161e+11
69,2016,3.2382099e+11
