census region,year,value
66,2000,24308380000.0
66,2001,21152900000.0
66,2002,19666370000.0
66,2003,19553510000.0
66,2004,20616260000.0
66,2005,20012790000.0
66,2006,20143110000.0
66,2007,22516580000.0
66,2008,21828830000.0
66,2009,17238330000.0
66,2010,17718720000.0
66,2011,17807220000.0
66,2012,18302490000.0
66,2013,18821800000.0
66,2014,19395420000.0
66,2015,20955710000.0
66,2016,21672380000.0
67,2000,53441850000.0
67,2001,48588080000.0
67,2002,45708220000.0
67,2003,46029750000.0
67,2004,46577510000.0
67,2005,46250910000.0
67,2006,45662350000.0
67,2007,44816820000.0
67,2008,43106750000.0
67,2009,35025970000.0
67,2010,36880110000.0
67,2011,37432930000.0
67,2012,38774040000.0
67,2013,40061330000.0
67,2014,41427250000.0
67,2015,44869670000.0
67,2016,46411990000.0
68,2000,55735890000.0
68,2001,50451520000.0
68,2002,45373850000.0
68,2003,43435100000.0
68,2004,43333600000.0
68,2005,45371450000.0
68,2006,46545180000.0
68,2007,47405780000.0
68,2008,44241870000.0
68,2009,35655330000.0
68,2010,37363010000.0
68,2011,37856790000.0
68,2012,39153190000.0
68,2013,40426310000.0
68,2014,41783840000.0
68,2015,45238710000.0
68,2016,46803030000.0
69,2000,14828900000.0
69,2001,13286370000.0
69,2002,11822370000.0
69,2003,11173420000.0
69,2004,11185440000.0
69,2005,12272570000.0
69,2006,12055370000.0
69,2007,14079610000.0
69,2008,13942500000.0
69,2009,10725900000.0
69,2010,10818470000.0
69,2011,10782150000.0
69,2012,11012900000.0
69,2013,11285430000.0
69,2014,11602860000.0
69,2015,12515510000.0
69,2016,12953500000.0
