census region,year,value
66,2000,24230018513.7
66,2001,24274752494.0
66,2002,24319486474.3
66,2003,24364220454.6
66,2004,24408954434.9
66,2005,24453688415.2
66,2006,24498422395.4
66,2007,24543156375.7
66,2008,24587890356.0
66,2009,24632624336.3
66,2010,24677358316.6
66,2011,24722092296.9
66,2012,24766826277.2
66,2013,24811560257.5
66,2014,24856294237.8
66,2015,24901028218.0
66,2016,24945762198.3
67,2000,87412780374.0
67,2001,87158450263.7
67,2002,86904120153.4
67,2003,86649790043.1
67,2004,86395459932.9
67,2005,86141129822.6
67,2006,85886799712.3
67,2007,85632469602.0
67,2008,85378139491.7
67,2009,85123809381.4
67,2010,84869479271.1
67,2011,84615149160.9
67,2012,84360819050.6
67,2013,84106488940.3
67,2014,83852158830.0
67,2015,83597828719.7
67,2016,83343498609.4
68,2000,1.0750593802e+11
68,2001,1.07545992257e+11
68,2002,1.07586046494e+11
68,2003,1.07626100731e+11
68,2004,1.07666154968e+11
68,2005,1.07706209205e+11
68,2006,1.07746263442e+11
68,2007,1.07786317679e+11
68,2008,1.07826371916e+11
68,2009,1.07866426153e+11
68,2010,1.0790648039e+11
68,2011,1.07946534627e+11
68,2012,1.07986588864e+11
68,2013,1.08026643101e+11
68,2014,1.08066697338e+11
68,2015,1.08106751575e+11
68,2016,1.08146805812e+11
69,2000,64246223449.2
69,2001,64204436244.5
69,2002,64162649039.9
69,2003,64120861835.2
69,2004,64079074630.6
69,2005,64037287426.0
69,2006,63995500221.3
69,2007,63953713016.7
69,2008,63911925812.0
69,2009,63870138607.4
69,2010,63828351402.7
69,2011,63786564198.1
69,2012,63744776993.5
69,2013,63702989788.8
69,2014,63661202584.2
69,2015,63619415379.5
69,2016,63577628174.9
