census division,year,value
56,1990,299270000.0
56,1991,199950000.0
56,1992,195790000.0
56,1993,211590000.0
56,1994,231180000.0
56,1995,248960000.0
56,1996,293070000.0
56,1997,334980000.0
56,1998,381900000.0
56,1999,403790000.0
56,2000,517540000.0
56,2001,571530000.0
56,2002,624290000.0
56,2003,619310000.0
56,2004,515440000.0
56,2005,438440000.0
56,2006,374200000.0
56,2007,386900000.0
56,2008,254330000.0
56,2009,141980000.0
56,2010,201370000.0
56,2011,277740000.0
56,2012,308610000.0
56,2013,330500000.0
56,2014,360220000.0
56,2015,367740000.0
56,2016,392390000.0
56,2017,374770000.0
56,2018,360330000.0
56,2019,355050000.0
56,2020,358510000.0
56,2021,353720000.0
56,2022,348480000.0
56,2023,347290000.0
56,2024,346410000.0
56,2025,344350000.0
56,2026,341540000.0
56,2027,340780000.0
56,2028,342650000.0
56,2029,344920000.0
56,2030,350210000.0
56,2031,352760000.0
56,2032,354920000.0
56,2033,357810000.0
56,2034,362070000.0
56,2035,366810000.0
56,2036,370600000.0
56,2037,372890000.0
56,2038,375810000.0
56,2039,376980000.0
56,2040,378320000.0
57,1990,1146250000.0
57,1991,1109430000.0
57,1992,1220670000.0
57,1993,1246310000.0
57,1994,1288750000.0
57,1995,1257600000.0
57,1996,1212400000.0
57,1997,1272680000.0
57,1998,1407860000.0
57,1999,1401600000.0
57,2000,1444460000.0
57,2001,1467650000.0
57,2002,1336740000.0
57,2003,1335210000.0
57,2004,1385530000.0
57,2005,1394860000.0
57,2006,1397510000.0
57,2007,1387970000.0
57,2008,1336740000.0
57,2009,1048990000.0
57,2010,1156720000.0
57,2011,1193100000.0
57,2012,1194780000.0
57,2013,1202120000.0
57,2014,1242530000.0
57,2015,1262960000.0
57,2016,1306870000.0
57,2017,1325470000.0
57,2018,1344010000.0
57,2019,1351620000.0
57,2020,1364540000.0
57,2021,1367340000.0
57,2022,1369310000.0
57,2023,1372740000.0
57,2024,1377560000.0
57,2025,1380580000.0
57,2026,1384650000.0
57,2027,1389410000.0
57,2028,1395100000.0
57,2029,1403920000.0
57,2030,1417240000.0
57,2031,1426220000.0
57,2032,1427680000.0
57,2033,1435800000.0
57,2034,1449880000.0
57,2035,1466480000.0
57,2036,1481730000.0
57,2037,1494300000.0
57,2038,1507640000.0
57,2039,1517340000.0
57,2040,1528640000.0
58,1990,3777360000.0
58,1991,3644910000.0
