census region,year,value
66,2000,38800670000.0
66,2001,35007560000.0
66,2002,34824870000.0
66,2003,33553570000.0
66,2004,32331270000.0
66,2005,32358500000.0
66,2006,30797320000.0
66,2007,30218720000.0
66,2008,28743680000.0
66,2009,26087170000.0
66,2010,26710320000.0
66,2011,26024400000.0
66,2012,25641010000.0
66,2013,25793840000.0
66,2014,25493510000.0
66,2015,26170410000.0
66,2016,26510760000.0
67,2000,54762700000.0
67,2001,52734090000.0
67,2002,53656120000.0
67,2003,52924880000.0
67,2004,52246510000.0
67,2005,52611530000.0
67,2006,52484100000.0
67,2007,52562600000.0
67,2008,49550220000.0
67,2009,44540960000.0
67,2010,45156010000.0
67,2011,43659030000.0
67,2012,42741230000.0
67,2013,42777950000.0
67,2014,42106650000.0
67,2015,43060870000.0
67,2016,43491160000.0
68,2000,80445690000.0
68,2001,77569760000.0
68,2002,77609790000.0
68,2003,75228520000.0
68,2004,77250120000.0
68,2005,75997000000.0
68,2006,75327710000.0
68,2007,77532590000.0
68,2008,74425440000.0
68,2009,66757090000.0
68,2010,67549050000.0
68,2011,65208020000.0
68,2012,63758470000.0
68,2013,63748590000.0
68,2014,62695590000.0
68,2015,64076310000.0
68,2016,64687610000.0
69,2000,25588180000.0
69,2001,24191460000.0
69,2002,24145160000.0
69,2003,23342470000.0
69,2004,23607370000.0
69,2005,23905420000.0
69,2006,24100530000.0
69,2007,24434130000.0
69,2008,23482870000.0
69,2009,20838810000.0
69,2010,20958920000.0
69,2011,20127030000.0
69,2012,19600920000.0
69,2013,19533350000.0
69,2014,19158550000.0
69,2015,19552590000.0
69,2016,19712210000.0
