census region,year,value
66,2000,49092960000.0
66,2001,49882880000.0
66,2002,49998360000.0
66,2003,48236180000.0
66,2004,44945950000.0
66,2005,46681830000.0
66,2006,47660370000.0
66,2007,55452290000.0
66,2008,51491940000.0
66,2009,42150070000.0
66,2010,48730620000.0
66,2011,52270480000.0
66,2012,59254830000.0
66,2013,63216950000.0
66,2014,67344440000.0
66,2015,73042800000.0
66,2016,74233110000.0
67,2000,3.5826395e+11
67,2001,3.3430114e+11
67,2002,3.5823631e+11
67,2003,3.6867609e+11
67,2004,3.6417003e+11
67,2005,3.6129253e+11
67,2006,3.446983e+11
67,2007,3.7550268e+11
67,2008,3.1042679e+11
67,2009,2.4944895e+11
67,2010,2.9873321e+11
67,2011,3.317002e+11
67,2012,3.8264425e+11
67,2013,4.136783e+11
67,2014,4.4185505e+11
67,2015,4.7221616e+11
67,2016,4.8368481e+11
68,2000,1.7843346e+11
68,2001,1.648633e+11
68,2002,1.8118066e+11
68,2003,1.9066145e+11
68,2004,2.0511095e+11
68,2005,2.2065617e+11
68,2006,2.3526876e+11
68,2007,2.4529427e+11
68,2008,2.2093288e+11
68,2009,1.7379876e+11
68,2010,1.9812974e+11
68,2011,2.1029271e+11
68,2012,2.347651e+11
68,2013,2.4774926e+11
68,2014,2.6060121e+11
68,2015,2.7675219e+11
68,2016,2.8108368e+11
69,2000,92767690000.0
69,2001,97429180000.0
69,2002,94953920000.0
69,2003,88907140000.0
69,2004,79165740000.0
69,2005,93203460000.0
69,2006,96879210000.0
69,2007,1.0693004e+11
69,2008,1.0202291e+11
69,2009,83037230000.0
69,2010,97080510000.0
69,2011,1.0448616e+11
69,2012,1.1782134e+11
69,2013,1.2502183e+11
69,2014,1.3196256e+11
69,2015,1.4052463e+11
69,2016,1.4268271e+11
