census region,year,building types,value
66,2000,17,1021244515.7
66,2000,18,1426037344.3
66,2000,19,127156727.36
66,2000,20,167640779.48
66,2000,21,294566330.93
66,2000,22,570380953.3
66,2000,23,2172848287.6
66,2000,24,1221254213.6
66,2000,25,1185389170.6
66,2000,26,401972964.9
66,2000,27,1203941125.0
66,2001,17,1024742523.4
66,2001,18,1450664937.5
66,2001,19,128631109.74
66,2001,20,169584574.46
66,2001,21,299826935.1
66,2001,22,582421121.6
66,2001,23,2208453132.2
66,2001,24,1234856284.1
66,2001,25,1199338171.7
66,2001,26,411824304.6
66,2001,27,1229974625.0
66,2002,17,1032800547.0
66,2002,18,1485911344.3
66,2002,19,130111344.03
66,2002,20,171536084.58
66,2002,21,304131828.75
66,2002,22,598189847.1
66,2002,23,2249707870.8
66,2002,24,1247819648.9
66,2002,25,1212364997.3
66,2002,26,422429828.2
66,2002,27,1256666250.0
66,2003,17,1036502578.2
66,2003,18,1521906250.0
66,2003,19,131650455.83
66,2003,20,173565217.46
66,2003,21,308144764.37
66,2003,22,607184357.0
66,2003,23,2284504336.1
66,2003,24,1255098490.6
66,2003,25,1220281082.6
66,2003,26,431217796.9
66,2003,27,1280782875.0
66,2004,17,1040673421.9
66,2004,18,1550828125.0
66,2004,19,133105904.82
66,2004,20,175484051.03
66,2004,21,313706046.7
66,2004,22,617725257.0
66,2004,23,2312529932.0
66,2004,24,1258412763.3
66,2004,25,1225293272.8
66,2004,26,442977160.1
66,2004,27,1299689125.0
66,2005,17,1042803500.0
66,2005,18,1578717812.5
66,2005,19,134834069.9
66,2005,20,177762427.91
66,2005,21,317915839.09
66,2005,22,629441967.3
66,2005,23,2348518483.0
66,2005,24,1260750950.9
66,2005,25,1228937284.4
66,2005,26,449872410.1
66,2005,27,1311116281.3
66,2006,17,1045189422.0
66,2006,18,1606260531.3
66,2006,19,136642589.65
66,2006,20,180146742.7
66,2006,21,322010843.02
66,2006,22,642897693.1
66,2006,23,2387763812.7
66,2006,24,1263929928.0
66,2006,25,1233277662.0
66,2006,26,459163004.0
66,2006,27,1333870437.5
66,2007,17,1048604171.9
66,2007,18,1626370593.8
66,2007,19,138179663.01
66,2007,20,182173188.14
66,2007,21,327259508.8
66,2007,22,657887737.2
66,2007,23,2427137537.4
66,2007,24,1268029545.1
66,2007,25,1238862861.4
66,2007,26,468364765.7
66,2007,27,1353036031.3
66,2008,17,1050273203.2
66,2008,18,1646876062.5
66,2008,19,140041385.44
66,2008,20,184627644.19
66,2008,21,333636306.8
66,2008,22,677397408.2
66,2008,23,2468583493.0
66,2008,24,1272912024.3
66,2008,25,1245562054.6
66,2008,26,475274777.4
66,2008,27,1369402938.0
66,2009,17,1050776031.3
66,2009,18,1663012718.8
66,2009,19,141220931.09
66,2009,20,186182732.54
66,2009,21,337221714.01
66,2009,22,692754710.1
66,2009,23,2492429104.7
66,2009,24,1276343194.9
66,2009,25,1249932166.4
66,2009,26,483458511.8
66,2009,27,1393891312.5
66,2010,17,1050739500.1
66,2010,18,1677939187.5
66,2010,19,141498164.59
66,2010,20,186548231.47
66,2010,21,340798770.88
66,2010,22,702208079.8
66,2010,23,2502512111.9
66,2010,24,1274742599.4
66,2010,25,1249872689.4
66,2010,26,490720418.0
66,2010,27,1400561093.8
66,2011,17,1049393500.1
66,2011,18,1689247312.5
66,2011,19,141625908.9
66,2011,20,186716646.9
66,2011,21,343451170.22
66,2011,22,707304220.6
66,2011,23,2512877408.0
66,2011,24,1272219996.8
66,2011,25,1248653523.6
66,2011,26,497968019.6
66,2011,27,1406591187.5
66,2012,17,1048497312.6
66,2012,18,1697875093.8
66,2012,19,142117391.29
66,2012,20,187364607.04
66,2012,21,346365881.13
66,2012,22,713415773.8
66,2012,23,2525127363.5
66,2012,24,1270733051.4
66,2012,25,1248444317.3
66,2012,26,508534734.4
66,2012,27,1411260500.0
66,2013,17,1046943906.4
66,2013,18,1705963906.3
66,2013,19,142322138.91
66,2013,20,187634542.03
66,2013,21,350535683.07
66,2013,22,723326546.0
66,2013,23,2525053915.7
66,2013,24,1269041327.0
66,2013,25,1248528141.7
66,2013,26,516141464.8
66,2013,27,1415442093.8
66,2014,17,1044510797.0
66,2014,18,1712765593.8
66,2014,19,142616263.06
66,2014,20,188022309.18
66,2014,21,354629433.07
66,2014,22,731197627.5
66,2014,23,2527315692.5
66,2014,24,1269011471.1
66,2014,25,1250045238.5
66,2014,26,523208535.2
66,2014,27,1422162093.8
66,2015,17,1042272593.9
66,2015,18,1718542375.0
66,2015,19,143096128.01
66,2015,20,188654953.13
66,2015,21,358694311.93
66,2015,22,739066572.9
66,2015,23,2533383646.3
66,2015,24,1271739934.4
66,2015,25,1253977942.2
66,2015,26,529717668.1
66,2015,27,1430212500.0
66,2016,17,1040273609.4
66,2016,18,1723622812.5
66,2016,19,143748013.09
66,2016,20,189514384.84
66,2016,21,362794781.3
66,2016,22,746240082.5
66,2016,23,2539145635.6
66,2016,24,1276720350.6
66,2016,25,1259905104.9
66,2016,26,536543570.3
66,2016,27,1440480406.3
67,2000,17,1411142281.3
67,2000,18,1796778062.5
67,2000,19,196671668.56
67,2000,20,259287829.31
67,2000,21,383413040.2
67,2000,22,711459179.8
67,2000,23,3304943070.7
67,2000,24,1430140251.3
67,2000,25,1402641647.7
67,2000,26,567913132.8
67,2000,27,2143768250.0
67,2001,17,1433416406.4
67,2001,18,1846365187.5
67,2001,19,200024672.64
67,2001,20,263708360.02
67,2001,21,393364742.1
67,2001,22,729047924.0
67,2001,23,3376134027.6
67,2001,24,1451039100.3
67,2001,25,1424778183.0
67,2001,26,587696500.1
67,2001,27,2190785937.5
67,2002,17,1453565906.4
67,2002,18,1894663375.0
67,2002,19,203132812.21
67,2002,20,267806066.46
67,2002,21,401372984.8
67,2002,22,743047817.6
67,2002,23,3444348340.0
67,2002,24,1470589371.4
67,2002,25,1444995683.3
67,2002,26,606950781.3
67,2002,27,2228043562.5
67,2003,17,1473199359.9
67,2003,18,1952229250.0
67,2003,19,206164695.61
67,2003,20,271803238.36
67,2003,21,411265552.9
67,2003,22,754110115.3
67,2003,23,3510864052.0
67,2003,24,1481415428.3
67,2003,25,1458248897.8
67,2003,26,620115086.0
67,2003,27,2264490187.5
67,2004,17,1487728438.0
67,2004,18,2002625375.0
67,2004,19,209252791.89
67,2004,20,275874520.14
67,2004,21,420893620.5
67,2004,22,767724994.3
67,2004,23,3570707893.0
67,2004,24,1490585295.1
67,2004,25,1469945444.3
67,2004,26,631738609.4
67,2004,27,2293869875.0
67,2005,17,1503769843.5
67,2005,18,2038735875.0
67,2005,19,213039666.26
67,2005,20,280867056.38
67,2005,21,430500942.7
67,2005,22,781153891.8
67,2005,23,3635355471.0
67,2005,24,1500839144.2
67,2005,25,1482587748.9
67,2005,26,644182367.2
67,2005,27,2330783250.0
67,2006,17,1521175953.4
67,2006,18,2077485250.0
67,2006,19,217179019.75
67,2006,20,286324293.75
67,2006,21,441830889.3
67,2006,22,797248551.6
67,2006,23,3706414765.0
67,2006,24,1513249591.0
67,2006,25,1497776648.7
67,2006,26,656134804.8
67,2006,27,2373562437.5
67,2007,17,1537417859.6
67,2007,18,2120598500.0
67,2007,19,220953481.96
67,2007,20,291300466.08
67,2007,21,455167589.9
67,2007,22,818201853.3
67,2007,23,3769279887.0
67,2007,24,1524235306.5
67,2007,25,1512468766.9
67,2007,26,669310132.9
67,2007,27,2408973937.5
67,2008,17,1552182078.4
67,2008,18,2157136000.0
67,2008,19,224312752.57
67,2008,20,295729258.44
67,2008,21,467498840.4
67,2008,22,842983070.9
67,2008,23,3838334775.0
67,2008,24,1534478285.5
67,2008,25,1526128441.7
67,2008,26,686742382.8
67,2008,27,2453484437.5
67,2009,17,1561160281.3
67,2009,18,2189282812.5
67,2009,19,226057626.85
67,2009,20,298029664.35
67,2009,21,479913449.5
67,2009,22,861211979.8
67,2009,23,3878230220.0
67,2009,24,1546153151.5
67,2009,25,1541079171.5
67,2009,26,699570109.4
67,2009,27,2494233062.5
67,2010,17,1569493078.2
67,2010,18,2220799875.0
67,2010,19,226459382.91
67,2010,20,298559331.16
67,2010,21,489172231.0
