census region,year,value
66,2000,837.0
66,2001,1087.0
66,2002,1280.0
66,2003,1090.0
66,2004,960.0
66,2005,1491.0
66,2006,1179.0
66,2007,1142.0
66,2008,1130.0
66,2009,874.0
66,2010,1543.0
66,2011,1389.0
66,2012,1379.0
66,2013,1229.0
66,2014,1008.0
66,2015,1223.0
66,2016,1322.0
67,2000,1651.0
67,2001,1716.0
67,2002,1944.0
67,2003,1526.0
67,2004,1307.0
67,2005,2007.0
67,2006,1768.0
67,2007,1983.0
67,2008,1501.0
67,2009,1232.0
67,2010,2060.0
67,2011,1933.0
67,2012,2195.0
67,2013,1583.0
67,2014,1425.0
67,2015,1737.0
67,2016,1802.0
68,2000,6465.0
68,2001,5918.0
68,2002,6454.0
68,2003,5928.0
68,2004,6037.0
68,2005,6421.0
68,2006,6487.0
68,2007,6586.0
68,2008,6031.0
68,2009,6098.0
68,2010,7003.0
68,2011,7098.0
68,2012,6838.0
68,2013,5978.0
68,2014,5977.0
68,2015,6294.0
68,2016,6648.0
69,2000,2421.0
69,2001,2318.0
69,2002,2208.0
69,2003,2530.0
69,2004,2118.0
69,2005,2149.0
69,2006,2387.0
69,2007,2392.0
69,2008,2303.0
69,2009,2290.0
69,2010,2032.0
69,2011,2186.0
69,2012,2489.0
69,2013,2353.0
69,2014,2482.0
69,2015,2401.0
69,2016,2390.0
