census division,year,value
56,1990,5917
56,1991,6037
56,1992,6912
56,1993,6799
56,1994,6744
56,1995,6629
56,1996,6747
56,1997,6724
56,1998,5742
56,1999,6013
56,2000,6584
56,2001,6202
56,2002,6234
56,2003,6975
56,2004,6709
56,2005,6644
56,2006,5885
56,2007,6537
56,2008,6434
56,2009,6644
56,2010,5934
56,2011,6114
56,2012,5561
56,2013,6424
56,2014,6795
56,2015,6346
56,2016,6115
56,2017,6093
56,2018,6072
56,2019,6051
56,2020,6030
56,2021,6009
56,2022,5988
56,2023,5966
56,2024,5945
56,2025,5924
56,2026,5903
56,2027,5882
56,2028,5860
56,2029,5839
56,2030,5818
56,2031,5796
56,2032,5775
56,2033,5754
56,2034,5732
56,2035,5711
56,2036,5689
56,2037,5668
56,2038,5646
56,2039,5625
56,2040,5603
56,2041,5603
56,2042,5603
56,2043,5603
56,2044,5603
56,2045,5603
56,2046,5603
56,2047,5603
56,2048,5603
56,2049,5603
56,2050,5603
57,1990,5918
57,1991,6038
57,1992,6913
57,1993,6800
57,1994,6745
57,1995,6630
57,1996,6748
57,1997,6725
57,1998,5743
57,1999,6014
57,2000,6585
57,2001,6203
57,2002,6235
57,2003,6976
57,2004,6710
57,2005,6645
57,2006,5886
57,2007,6538
57,2008,6435
57,2009,6645
57,2010,5935
57,2011,6115
57,2012,5562
57,2013,6425
57,2014,6796
57,2015,6347
57,2016,6116
57,2017,6094
57,2018,6073
57,2019,6052
57,2020,6031
57,2021,6010
57,2022,5989
57,2023,5967
57,2024,5946
57,2025,5925
57,2026,5904
57,2027,5883
57,2028,5861
57,2029,5840
57,2030,5819
57,2031,5797
57,2032,5776
57,2033,5755
57,2034,5733
57,2035,5712
57,2036,5690
57,2037,5669
57,2038,5647
57,2039,5626
57,2040,5604
57,2041,5604
57,2042,5604
57,2043,5604
57,2044,5604
57,2045,5604
57,2046,5604
57,2047,5604
57,2048,5604
57,2049,5604
57,2050,5604
58,1990,5750
58,1991,5971
58,1992,6370
58,1993,6688
58,1994,6442
58,1995,6733
58,1996,7003
58,1997,6677
58,1998,5317
58,1999,5997
58,2000,6349
58,2001,5845
58,2002,6128
58,2003,6536
58,2004,6178
58,2005,6222
58,2006,5703
58,2007,6074
58,2008,6677
58,2009,6512
58,2010,6185
58,2011,6172
58,2012,5356
58,2013,6622
58,2014,7309
58,2015,6267
58,2016,6066
58,2017,6054
58,2018,6041
58,2019,6028
58,2020,6016
58,2021,6003
58,2022,5991
58,2023,5978
58,2024,5965
58,2025,5953
58,2026,5940
58,2027,5928
58,2028,5915
58,2029,5903
58,2030,5890
58,2031,5877
58,2032,5865
58,2033,5852
58,2034,5840
58,2035,5827
58,2036,5814
58,2037,5802
58,2038,5789
58,2039,5776
58,2040,5764
58,2041,5764
58,2042,5764
58,2043,5764
58,2044,5764
58,2045,5764
58,2046,5764
58,2047,5764
58,2048,5764
58,2049,5764
58,2050,5764
59,1990,6120
59,1991,6406
59,1992,6351
59,1993,7248
59,1994,6599
59,1995,6899
59,1996,7430
59,1997,6847
59,1998,5835
59,1999,5998
59,2000,6532
59,2001,6221
59,2002,6485
59,2003,6593
59,2004,6329
59,2005,6213
59,2006,5821
59,2007,6384
59,2008,7118
59,2009,6841
59,2010,6565
59,2011,6565
59,2012,5515
59,2013,7134
59,2014,7428
59,2015,6508
59,2016,6401
59,2017,6393
59,2018,6384
59,2019,6376
59,2020,6367
59,2021,6358
59,2022,6349
59,2023,6340
59,2024,6331
59,2025,6322
59,2026,6313
59,2027,6303
59,2028,6294
59,2029,6285
59,2030,6275
59,2031,6266
59,2032,6257
59,2033,6247
59,2034,6238
59,2035,6229
59,2036,6219
59,2037,6210
59,2038,6200
59,2039,6191
59,2040,6181
59,2041,6181
59,2042,6181
59,2043,6181
59,2044,6181
59,2045,6181
59,2046,6181
59,2047,6181
59,2048,6181
59,2049,6181
59,2050,6181
60,1990,2290
60,1991,2567
60,1992,2902
60,1993,3009
60,1994,2750
60,1995,2987
60,1996,3116
60,1997,2840
60,1998,2413
60,1999,2629
60,2000,2931
60,2001,2603
60,2002,2664
60,2003,2884
60,2004,2714
60,2005,2774
60,2006,2475
60,2007,2525
60,2008,2712
60,2009,2812
60,2010,3167
60,2011,2566
60,2012,2307
60,2013,2732
60,2014,3031
60,2015,2737
60,2016,2627
60,2017,2619
60,2018,2611
60,2019,2603
60,2020,2595
60,2021,2586
60,2022,2578
60,2023,2569
60,2024,2560
60,2025,2552
60,2026,2543
60,2027,2534
60,2028,2526
60,2029,2517
60,2030,2508
60,2031,2500
60,2032,2491
60,2033,2483
60,2034,2475
60,2035,2466
60,2036,2458
60,2037,2450
60,2038,2441
60,2039,2433
60,2040,2425
60,2041,2425
60,2042,2425
60,2043,2425
60,2044,2425
60,2045,2425
60,2046,2425
60,2047,2425
60,2048,2425
60,2049,2425
60,2050,2425
61,1990,2966
61,1991,3260
61,1992,3546
61,1993,3790
61,1994,3439
61,1995,3679
61,1996,3832
61,1997,3714
61,1998,3058
61,1999,3180
61,2000,3598
61,2001,3327
61,2002,3443
61,2003,3559
61,2004,3291
61,2005,3380
61,2006,3211
61,2007,3187
61,2008,3600
61,2009,3536
61,2010,3948
61,2011,3343
61,2012,2876
61,2013,3649
61,2014,4048
61,2015,3532
61,2016,3369
61,2017,3364
61,2018,3359
61,2019,3354
61,2020,3349
61,2021,3344
61,2022,3340
61,2023,3335
61,2024,3330
61,2025,3325
61,2026,3320
61,2027,3316
61,2028,3311
61,2029,3306
61,2030,3301
61,2031,3296
61,2032,3291
61,2033,3286
61,2034,3281
61,2035,3276
61,2036,3271
61,2037,3266
61,2038,3261
61,2039,3256
61,2040,3251
61,2041,3251
61,2042,3251
61,2043,3251
61,2044,3251
61,2045,3251
61,2046,3251
61,2047,3251
