census division,year,value
56,1990,13257580.0
56,1991,13277940.0
56,1992,13303640.0
56,1993,13361760.0
56,1994,13424110.0
56,1995,13499330.0
56,1996,13581620.0
56,1997,13670250.0
56,1998,13762740.0
56,1999,13867010.0
56,2000,13976860.0
56,2001,14075100.0
56,2002,14157180.0
56,2003,14214780.0
56,2004,14235320.0
56,2005,14249220.0
56,2006,14278820.0
56,2007,14322470.0
56,2008,14383260.0
56,2009,14449120.0
56,2010,14504070.0
56,2011,14541730.0
56,2012,14572660.0
56,2013,14599000.0
56,2014,14623190.0
56,2015,14654430.0
56,2016,14684170.0
56,2017,14712490.0
56,2018,14739900.0
56,2019,14766340.0
56,2020,14791510.0
56,2021,14814950.0
56,2022,14836460.0
56,2023,14856030.0
56,2024,14873680.0
56,2025,14889070.0
56,2026,14902100.0
56,2027,14913070.0
56,2028,14921780.0
56,2029,14928060.0
56,2030,14931700.0
56,2031,14932090.0
56,2032,14929290.0
56,2033,14923440.0
56,2034,14914680.0
56,2035,14902980.0
56,2036,14888290.0
56,2037,14870930.0
56,2038,14851060.0
56,2039,14828850.0
56,2040,14804320.0
57,1990,37802450.0
57,1991,38030440.0
57,1992,38274340.0
57,1993,38520560.0
57,1994,38708620.0
57,1995,38870310.0
57,1996,39020850.0
57,1997,39175830.0
57,1998,39361540.0
57,1999,39575810.0
57,2000,39771280.0
57,2001,39935380.0
57,2002,40095010.0
57,2003,40247740.0
57,2004,40355640.0
57,2005,40428920.0
57,2006,40512720.0
57,2007,40637020.0
57,2008,40753900.0
57,2009,40905320.0
57,2010,41034980.0
57,2011,41122240.0
57,2012,41190790.0
57,2013,41244020.0
57,2014,41290580.0
57,2015,41360210.0
57,2016,41429900.0
57,2017,41499280.0
57,2018,41567310.0
57,2019,41634940.0
57,2020,41702010.0
57,2021,41769500.0
57,2022,41833610.0
57,2023,41894080.0
57,2024,41949570.0
57,2025,42000190.0
57,2026,42047450.0
57,2027,42089050.0
57,2028,42128150.0
57,2029,42165530.0
57,2030,42201030.0
57,2031,42232810.0
57,2032,42260980.0
57,2033,42285720.0
57,2034,42307290.0
