census region,year,value
66,2000,53748140.0
66,2001,54010480.0
66,2002,54252190.0
66,2003,54462520.0
66,2004,54590960.0
66,2005,54678140.0
66,2006,54791540.0
66,2007,54959490.0
66,2008,55137160.0
66,2009,55354440.0
66,2010,55539050.0
66,2011,55663970.0
66,2012,55763450.0
66,2013,55843020.0
66,2014,55913770.0
66,2015,56014640.0
66,2016,56114070.0
67,2000,64589120.0
67,2001,64906790.0
67,2002,65179330.0
67,2003,65452970.0
67,2004,65696450.0
67,2005,65921790.0
67,2006,66185270.0
67,2007,66454820.0
67,2008,66682090.0
67,2009,66919760.0
67,2010,67125040.0
67,2011,67275400.0
67,2012,67413320.0
67,2013,67544920.0
67,2014,67676130.0
67,2015,67844400.0
67,2016,68009550.0
68,2000,100816260.0
68,2001,102131110.0
68,2002,103454260.0
68,2003,104780820.0
68,2004,106206900.0
68,2005,107723170.0
68,2006,109254330.0
68,2007,110854970.0
68,2008,112266760.0
68,2009,113570860.0
68,2010,114819960.0
68,2011,115980160.0
68,2012,117138540.0
68,2013,118325420.0
68,2014,119559990.0
68,2015,120897030.0
68,2016,122257760.0
69,2000,63636070.0
69,2001,64635830.0
69,2002,65550680.0
69,2003,66419350.0
69,2004,67264110.0
69,2005,68136710.0
69,2006,69050500.0
69,2007,69957410.0
69,2008,70861760.0
69,2009,71735140.0
69,2010,72585950.0
69,2011,73395470.0
69,2012,74208720.0
69,2013,75032450.0
69,2014,75865820.0
69,2015,76732260.0
69,2016,77594520.0
