census division,housing types,year,value
56,28,2010,7562157948.0
56,28,2011,7605377117.0
56,28,2012,7647186507.0
56,28,2013,7687961226.0
56,28,2014,7732148938.0
56,28,2015,7772516613.0
56,28,2016,7812821316.0
56,28,2017,7852665083.0
56,28,2018,7887744675.0
56,28,2019,7923308336.0
56,28,2020,7962981453.0
56,28,2021,7999786466.0
56,28,2022,8035253287.0
56,28,2023,8078737734.0
56,28,2024,8111498732.0
56,28,2025,8150257086.0
56,28,2026,8190720209.0
56,28,2027,8224434127.0
56,28,2028,8258216887.0
56,28,2029,8292529244.0
56,28,2030,8326733891.0
56,28,2031,8362870307.0
56,28,2032,8394261651.0
56,28,2033,8426581575.0
56,28,2034,8459099951.0
56,28,2035,8493805588.0
56,28,2036,8528861809.0
56,28,2037,8560365519.0
56,28,2038,8597848992.0
56,28,2039,8631200206.0
56,28,2040,8666698641.0
56,28,2041,8703232669.0
56,28,2042,8741457157.0
56,28,2043,8781552322.0
56,28,2044,8823618793.0
56,28,2045,8873416759.0
56,28,2046,8919705552.0
56,28,2047,8968109059.0
56,28,2048,9018661673.0
56,28,2049,9071372183.0
56,28,2050,9132006256.0
56,29,2010,1826895517.0
56,29,2011,1836790056.0
56,29,2012,1851188802.0
56,29,2013,1864948107.0
56,29,2014,1875819568.0
56,29,2015,1884780550.0
56,29,2016,1894475826.0
56,29,2017,1904960443.0
56,29,2018,1914403158.0
56,29,2019,1924015255.0
56,29,2020,1934613610.0
56,29,2021,1944331202.0
56,29,2022,1953923759.0
56,29,2023,1965115355.0
56,29,2024,1973151823.0
56,29,2025,1982727277.0
56,29,2026,1992958708.0
56,29,2027,2001867580.0
56,29,2028,2011148028.0
56,29,2029,2020589123.0
56,29,2030,2029665670.0
56,29,2031,2039098927.0
56,29,2032,2047318280.0
56,29,2033,2055611503.0
56,29,2034,2063698968.0
56,29,2035,2072055559.0
56,29,2036,2080287556.0
56,29,2037,2087629719.0
56,29,2038,2096302645.0
56,29,2039,2103974452.0
56,29,2040,2112046400.0
56,29,2041,2120337236.0
56,29,2042,2129003564.0
56,29,2043,2138072566.0
56,29,2044,2147563013.0
56,29,2045,2158739945.0
56,29,2046,2169084555.0
56,29,2047,2179884566.0
56,29,2048,2191128664.0
56,29,2049,2202834265.0
56,29,2050,2216283801.0
56,30,2010,186970713.6
56,30,2011,192930509.6
56,30,2012,198564593.3
56,30,2013,204007092.6
56,30,2014,208451270.3
56,30,2015,211480706.4
56,30,2016,214194157.2
56,30,2017,216692315.5
56,30,2018,218820925.3
56,30,2019,220915822.6
56,30,2020,223260052.7
56,30,2021,225482667.6
56,30,2022,227626348.4
