census division,year,value
56,1995,477.8885248
56,1996,521.7409528
56,1997,539.431648
56,1998,604.67928
56,1999,667.885649
56,2000,631.849803
56,2001,687.570062
56,2002,734.893315
56,2003,710.932501
56,2004,760.002384
56,2005,684.039476
56,2006,767.345511
56,2007,690.3543
56,2008,736.938
57,1995,7122.72835
57,1996,7776.330425
57,1997,8040.00283
57,1998,8265.382245
57,1999,8756.885284
57,2000,9300.172518
57,2001,9243.626355
57,2002,8715.477549
57,2003,8688.219458
57,2004,9269.324914
57,2005,9366.743773
57,2006,9335.987824
57,2007,10724.4548
57,2008,11125.077
58,1995,878.8833651
58,1996,959.532235
58,1997,992.06714
58,1998,985.425382
58,1999,1003.061235
58,2000,1083.707689
58,2001,1099.526841
58,2002,1070.774403
58,2003,1131.093791
58,2004,1138.839376
58,2005,1206.589512
58,2006,1221.251442
58,2007,1192.1142
58,2008,1261.1006
59,1995,80.51226133
59,1996,87.90029841
59,1997,90.880738
59,1998,95.910549
59,1999,94.428585
59,2000,95.326967
59,2001,95.56093
59,2002,126.728607
59,2003,124.972634
59,2004,127.210168
59,2005,171.453189
59,2006,172.354149
59,2007,190.1332
59,2008,204.8751
60,1995,1637.600873
60,1996,1787.871847
60,1997,1848.493303
60,1998,1789.608668
60,1999,1756.068978
60,2000,1938.478015
60,2001,2153.866889
60,2002,2182.051509
60,2003,2160.186673
60,2004,2194.129866
60,2005,2130.55384
60,2006,2315.57397
60,2007,2383.2039
60,2008,2518.691
61,1995,0.893367003
61,1996,0.975344933
61,1997,1.008416
61,1998,1.387269
61,1999,1.546706
61,2000,1.479367
61,2001,2.001682
61,2002,2.006102
61,2003,1.945386
61,2004,1.44574
61,2005,1.327748
61,2006,1.364939
61,2007,1.2296
61,2008,1.2451
62,1995,50.81592609
62,1996,55.47894189
62,1997,57.360069
62,1998,74.57148
62,1999,74.9892
62,2000,73.423124
62,2001,72.414832
62,2002,87.028123
62,2003,134.217207
62,2004,153.934187
62,2005,154.196789
62,2006,165.374247
62,2007,169.0968
62,2008,189.9803
63,1995,10.65453654
63,1996,11.63222751
63,1997,12.026642
63,1998,13.055603
63,1999,19.991355
63,2000,77.894853
63,2001,108.075535
63,2002,98.324392
63,2003,100.700649
63,2004,121.170545
63,2005,123.696058
63,2006,147.39397
63,2007,204.2157
63,2008,205.1573
64,1995,1346.022797
64,1996,1469.537727
64,1997,1519.365412
64,1998,1590.829944
64,1999,1736.191208
64,2000,2000.426331
64,2001,2163.613084
64,2002,2097.451998
64,2003,2049.414867
64,2004,2184.298556
64,2005,2289.763695
64,2006,2443.380988
64,2007,2497.7979
64,2008,2666.5528
