census division,housing types,technology,year,value
56,28,4,2009,19504.849
56,28,5,2009,58971003.53
56,28,6,2009,101609503.7
56,28,7,2009,1858635.762
56,28,8,2009,30998446.11
56,28,9,2009,5182767.37
56,28,10,2009,32414.127
56,28,11,2009,32883680.87
56,28,12,2009,1470300.87
56,28,13,2009,39315806.3
56,28,71,2009,0.0
56,29,4,2009,19618.45
56,29,5,2009,5521045.534
56,29,6,2009,20439588.82
56,29,7,2009,2916901.429
56,29,8,2009,52696885.75
56,29,9,2009,3109618.788
56,29,10,2009,0.0
56,29,11,2009,0.0
56,29,12,2009,277016.572
56,29,13,2009,23882142.2
56,29,71,2009,0.0
56,30,4,2009,0.0
56,30,5,2009,1460095.721
56,30,6,2009,311037.704
56,30,7,2009,0.0
56,30,8,2009,245706.139
56,30,9,2009,190852.308
56,30,10,2009,0.0
56,30,11,2009,0.0
56,30,12,2009,1466347.52
56,30,13,2009,1041264.796
56,30,71,2009,0.0
57,28,4,2009,1611739.36
57,28,5,2009,61956226.07
57,28,6,2009,102717817.7
57,28,7,2009,10444528.64
57,28,8,2009,98225149.14
57,28,9,2009,25624188.5
57,28,10,2009,517695.561
57,28,11,2009,34234316.09
57,28,12,2009,1525875.523
57,28,13,2009,267480135.5
57,28,71,2009,0.0
57,29,4,2009,439514.739
57,29,5,2009,9574518.549
57,29,6,2009,55136340.48
57,29,7,2009,9286751.232
57,29,8,2009,94663084.67
57,29,9,2009,400157.226
57,29,10,2009,0.0
57,29,11,2009,0.0
57,29,12,2009,310841.741
57,29,13,2009,55058396.16
57,29,71,2009,568592.495
57,30,4,2009,0.0
57,30,5,2009,742381.696
57,30,6,2009,0.0
57,30,7,2009,749156.244
57,30,8,2009,0.0
57,30,9,2009,5484505.644
57,30,10,2009,0.0
57,30,11,2009,3069351.782
57,30,12,2009,7216055.775
57,30,13,2009,2176267.488
57,30,71,2009,0.0
58,28,4,2009,1841035.768
58,28,5,2009,14221552.13
58,28,6,2009,2887985.487
58,28,7,2009,19472901.72
58,28,8,2009,44023012.7
58,28,9,2009,60124908.88
58,28,10,2009,694168.28
58,28,11,2009,50260736.45
58,28,12,2009,0.0
58,28,13,2009,679211785.0
58,28,71,2009,207681.75
58,29,4,2009,91318.267
58,29,5,2009,659933.914
58,29,6,2009,0.0
58,29,7,2009,13430908.43
58,29,8,2009,45303528.4
58,29,9,2009,3245204.805
58,29,10,2009,0.0
58,29,11,2009,1493923.766
58,29,12,2009,0.0
58,29,13,2009,102577747.6
58,29,71,2009,0.0
58,30,4,2009,0.0
58,30,5,2009,0.0
58,30,6,2009,0.0
58,30,7,2009,997500.96
58,30,8,2009,0.0
58,30,9,2009,5272147.576
58,30,10,2009,0.0
58,30,11,2009,5255372.416
58,30,12,2009,0.0
58,30,13,2009,13843254.54
58,30,71,2009,0.0
59,28,4,2009,1197984.816
59,28,5,2009,6787661.4
59,28,6,2009,2893935.024
59,28,7,2009,13963710.98
59,28,8,2009,15453280.17
59,28,9,2009,61647018.49
59,28,10,2009,780227.571
59,28,11,2009,33741404.62
59,28,12,2009,0.0
59,28,13,2009,222869604.8
59,28,71,2009,511339.012
59,29,4,2009,103457.979
59,29,5,2009,0.0
59,29,6,2009,1180655.022
59,29,7,2009,7296340.608
59,29,8,2009,14458118.35
59,29,9,2009,427310.826
59,29,10,2009,0.0
59,29,11,2009,0.0
59,29,12,2009,0.0
59,29,13,2009,18437452.38
59,29,71,2009,112419.802
59,30,4,2009,83521.35
59,30,5,2009,0.0
59,30,6,2009,0.0
59,30,7,2009,1598829.62
59,30,8,2009,935633.38
59,30,9,2009,8228455.146
59,30,10,2009,0.0
59,30,11,2009,2972209.998
59,30,12,2009,0.0
59,30,13,2009,11667553.35
59,30,71,2009,0.0
60,28,4,2009,21562069.53
60,28,5,2009,23410644.55
60,28,6,2009,12785944.22
60,28,7,2009,49588474.83
60,28,8,2009,19718678.95
60,28,9,2009,20478371.86
60,28,10,2009,321492.82
60,28,11,2009,45172286.45
60,28,12,2009,3115960.47
60,28,13,2009,188245181.3
60,28,71,2009,1423774.688
60,29,4,2009,2638380.388
60,29,5,2009,0.0
60,29,6,2009,696083.715
60,29,7,2009,19215010.94
60,29,8,2009,7250746.93
60,29,9,2009,625321.608
60,29,10,2009,0.0
60,29,11,2009,1051657.568
60,29,12,2009,0.0
60,29,13,2009,20436521.95
60,29,71,2009,321324.857
60,30,4,2009,3218617.548
60,30,5,2009,0.0
60,30,6,2009,0.0
60,30,7,2009,13966160.12
60,30,8,2009,1910930.588
60,30,9,2009,4035314.25
60,30,10,2009,0.0
60,30,11,2009,12375087.81
60,30,12,2009,867358.68
60,30,13,2009,1993202.76
60,30,71,2009,0.0
61,28,4,2009,7059854.87
61,28,5,2009,0.0
61,28,6,2009,0.0
61,28,7,2009,20032306.8
61,28,8,2009,7599977.044
61,28,9,2009,22439874.19
61,28,10,2009,485496.834
61,28,11,2009,25270134.01
61,28,12,2009,295592.99
61,28,13,2009,76265079.09
61,28,71,2009,508420.088
61,29,4,2009,443869.299
61,29,5,2009,0.0
61,29,6,2009,0.0
61,29,7,2009,6248863.63
61,29,8,2009,514663.488
61,29,9,2009,0.0
61,29,10,2009,0.0
61,29,11,2009,0.0
61,29,12,2009,0.0
61,29,13,2009,7970040.69
61,29,71,2009,0.0
61,30,4,2009,511812.408
61,30,5,2009,0.0
61,30,6,2009,0.0
61,30,7,2009,5396290.965
61,30,8,2009,318588.238
61,30,9,2009,2584154.118
61,30,10,2009,0.0
61,30,11,2009,1689842.736
61,30,12,2009,0.0
61,30,13,2009,802942.608
61,30,71,2009,0.0
62,28,4,2009,1502166.139
62,28,5,2009,0.0
62,28,6,2009,0.0
62,28,7,2009,27446363.87
62,28,8,2009,25775891.25
62,28,9,2009,15611373.7
62,28,10,2009,218608.346
62,28,11,2009,14206971.61
62,28,12,2009,0.0
62,28,13,2009,125118203.4
62,28,71,2009,177873.124
62,29,4,2009,242730.936
62,29,5,2009,0.0
62,29,6,2009,0.0
62,29,7,2009,14415475.35
62,29,8,2009,2843852.813
62,29,9,2009,0.0
62,29,10,2009,0.0
62,29,11,2009,0.0
62,29,12,2009,0.0
62,29,13,2009,10393358.32
62,29,71,2009,0.0
62,30,4,2009,161398.838
62,30,5,2009,0.0
62,30,6,2009,0.0
62,30,7,2009,4572684.218
62,30,8,2009,0.0
62,30,9,2009,1103659.926
62,30,10,2009,0.0
62,30,11,2009,4369379.43
62,30,12,2009,0.0
62,30,13,2009,3375875.016
62,30,71,2009,0.0
63,28,4,2009,2604878.432
63,28,5,2009,1145717.44
63,28,6,2009,0.0
63,28,7,2009,7319141.877
63,28,8,2009,19886773.37
63,28,9,2009,22134316.05
63,28,10,2009,152661.586
63,28,11,2009,17553272.02
63,28,12,2009,0.0
63,28,13,2009,163646864.4
63,28,71,2009,650772.258
63,29,4,2009,157310.433
63,29,5,2009,0.0
63,29,6,2009,0.0
63,29,7,2009,3057274.395
63,29,8,2009,795741.091
63,29,9,2009,3006012.015
63,29,10,2009,0.0
63,29,11,2009,0.0
63,29,12,2009,0.0
63,29,13,2009,16942590.91
63,29,71,2009,64603.203
63,30,4,2009,731132.262
63,30,5,2009,0.0
63,30,6,2009,0.0
63,30,7,2009,2330536.847
63,30,8,2009,0.0
63,30,9,2009,3036084.282
63,30,10,2009,0.0
63,30,11,2009,668951.203
63,30,12,2009,0.0
63,30,13,2009,11466584.36
63,30,71,2009,0.0
64,28,4,2009,2051939.358
64,28,5,2009,4819804.99
64,28,6,2009,1038250.24
64,28,7,2009,20081104.48
64,28,8,2009,39774747.62
64,28,9,2009,9185100.672
64,28,10,2009,96091.378
64,28,11,2009,46036755.7
64,28,12,2009,109860.186
64,28,13,2009,175610593.0
64,28,71,2009,205779.988
64,29,4,2009,187747.83
64,29,5,2009,0.0
64,29,6,2009,0.0
64,29,7,2009,14243802.48
64,29,8,2009,16727121.4
64,29,9,2009,667229.769
64,29,10,2009,0.0
64,29,11,2009,0.0
64,29,12,2009,121992.231
64,29,13,2009,13422212.05
64,29,71,2009,30244.158
64,30,4,2009,524501.12
64,30,5,2009,0.0
64,30,6,2009,0.0
64,30,7,2009,5227319.214
64,30,8,2009,492168.89
64,30,9,2009,1328842.428
64,30,10,2009,0.0
64,30,11,2009,5022598.628
64,30,12,2009,450613.194
64,30,13,2009,4042664.782
64,30,71,2009,0.0
