census region,technology,year,housing types,value
66,4,2009,28,1721053.74976
66,4,2009,29,484411.158187
66,4,2009,30,0.0
66,5,2009,28,127584981.331
66,5,2009,29,15926663.2344
66,5,2009,30,2323736.68907
66,6,2009,28,215576736.293
66,6,2009,29,79736826.5252
66,6,2009,30,328162.149991
66,7,2009,28,12980525.6081
66,7,2009,29,12875535.1633
66,7,2009,30,790401.679759
66,8,2009,28,136338110.465
66,8,2009,29,155472999.234
66,8,2009,30,259233.699977
66,9,2009,28,32503059.092
66,9,2009,29,3703009.72496
66,9,2009,30,5987819.62297
66,10,2009,28,580396.445907
66,10,2009,29,0.0
66,10,2009,30,0.0
66,11,2009,28,70813235.5088
66,11,2009,29,0.0
66,11,2009,30,3238337.56135
66,12,2009,28,3161133.43892
66,12,2009,29,620223.353642
66,12,2009,30,9160420.4112
66,13,2009,28,323686853.956
66,13,2009,29,83286677.0057
66,13,2009,30,3394676.26723
66,71,2009,28,0.0
66,71,2009,29,599896.839606
66,71,2009,30,0.0
67,4,2009,28,3206336.45338
67,4,2009,29,205499.818294
67,4,2009,30,88119.6891362
67,5,2009,28,22165893.6938
67,5,2009,29,696267.138308
67,5,2009,30,0.0
67,6,2009,28,6100249.07451
67,6,2009,29,1245656.99089
67,6,2009,30,0.0
67,7,2009,28,35277493.9209
67,7,2009,29,21868405.4063
67,7,2009,30,2739273.77377
67,8,2009,28,62750810.8846
67,8,2009,29,63051875.1658
67,8,2009,30,987145.473476
67,9,2009,28,128476184.657
67,9,2009,29,3874709.11032
67,9,2009,30,14243889.9157
67,10,2009,28,1555569.97168
67,10,2009,29,0.0
67,10,2009,30,0.0
67,11,2009,28,88626950.5685
67,11,2009,29,1576173.01269
67,11,2009,30,8680558.9788
67,12,2009,28,0.0
67,12,2009,29,0.0
67,12,2009,30,0.0
67,13,2009,28,951746249.848
67,13,2009,29,127677794.995
67,13,2009,30,26915327.1694
67,71,2009,28,758607.063103
67,71,2009,29,118609.17005
67,71,2009,30,0.0
68,4,2009,28,31782598.028
68,4,2009,29,3508040.26614
68,4,2009,30,4106096.7465
68,5,2009,28,24699537.5461
68,5,2009,29,0.0
68,5,2009,30,0.0
68,6,2009,28,13489885.2806
68,6,2009,29,734407.197424
68,6,2009,30,0.0
68,7,2009,28,102411259.957
68,7,2009,29,42074941.5318
68,7,2009,30,25252904.5847
68,8,2009,28,56017712.812
68,8,2009,29,11193365.2639
68,8,2009,30,2352266.8859
68,9,2009,28,61752017.8689
68,9,2009,29,659749.22229
68,9,2009,30,8148331.70712
68,10,2009,28,1082063.17234
68,10,2009,29,0.0
68,10,2009,30,0.0
68,11,2009,28,89309836.5242
68,11,2009,29,1109557.47207
68,11,2009,30,19449226.6292
68,12,2009,28,3599379.4445
68,12,2009,29,0.0
68,12,2009,30,915111.851655
68,13,2009,28,411079791.069
68,13,2009,29,40936083.69
68,13,2009,30,6511826.22863
68,71,2009,28,2226239.48732
68,71,2009,29,339015.67097
68,71,2009,30,0.0
69,4,2009,28,4913202.86392
69,4,2009,29,364055.739873
69,4,2009,30,1324763.34842
69,5,2009,28,6293959.35371
69,5,2009,29,0.0
69,5,2009,30,0.0
69,6,2009,28,1095411.9922
69,6,2009,29,0.0
69,6,2009,30,0.0
69,7,2009,28,28908790.2822
69,7,2009,29,18253602.4136
69,7,2009,30,7973960.27042
69,8,2009,28,62946236.8967
69,8,2009,29,18487598.6258
69,8,2009,30,519265.667872
69,9,2009,28,33043733.9132
69,9,2009,29,3875475.2423
69,9,2009,30,4605241.47164
69,10,2009,28,262448.270525
69,10,2009,29,0.0
69,10,2009,30,0.0
69,11,2009,28,67091030.9143
69,11,2009,29,0.0
69,11,2009,30,6004902.95967
69,12,2009,28,115908.632209
69,12,2009,29,128708.617291
69,12,2009,30,475422.087597
69,13,2009,28,357935565.975
69,13,2009,29,32036563.0766
69,13,2009,30,16363124.077
69,71,2009,28,903710.460217
69,71,2009,29,100069.263329
69,71,2009,30,0.0
