census region,air conditioning type,housing types,technology,year,value
66,63,28,10,2000,69307.4378656
66,63,28,10,2001,69645.7208711
66,63,28,10,2002,69957.3294595
66,63,28,10,2003,70227.9699218
66,63,28,10,2004,70391.728603
66,63,28,10,2005,70500.0478261
66,63,28,10,2006,70639.097104
66,63,28,10,2007,70844.9065064
66,63,28,10,2008,71059.6481027
66,63,28,10,2009,71322.3983918
66,63,28,10,2010,71541.0995674
66,63,28,10,2011,71682.6295311
66,63,28,10,2012,71793.3417752
66,63,28,10,2013,71882.7764257
66,63,28,10,2014,71967.3989186
66,63,28,10,2015,72098.7638271
66,63,28,10,2016,72236.1789433
66,63,29,10,2000,0.0
66,63,29,10,2001,0.0
66,63,29,10,2002,0.0
66,63,29,10,2003,0.0
66,63,29,10,2004,0.0
66,63,29,10,2005,0.0
66,63,29,10,2006,0.0
66,63,29,10,2007,0.0
66,63,29,10,2008,0.0
66,63,29,10,2009,0.0
66,63,29,10,2010,0.0
66,63,29,10,2011,0.0
66,63,29,10,2012,0.0
66,63,29,10,2013,0.0
66,63,29,10,2014,0.0
66,63,29,10,2015,0.0
66,63,29,10,2016,0.0
66,63,30,10,2000,0.0
66,63,30,10,2001,0.0
66,63,30,10,2002,0.0
66,63,30,10,2003,0.0
66,63,30,10,2004,0.0
66,63,30,10,2005,0.0
66,63,30,10,2006,0.0
66,63,30,10,2007,0.0
66,63,30,10,2008,0.0
66,63,30,10,2009,0.0
66,63,30,10,2010,0.0
66,63,30,10,2011,0.0
66,63,30,10,2012,0.0
66,63,30,10,2013,0.0
66,63,30,10,2014,0.0
66,63,30,10,2015,0.0
66,63,30,10,2016,0.0
66,64,28,10,2000,0.0
66,64,28,10,2001,0.0
66,64,28,10,2002,0.0
66,64,28,10,2003,0.0
66,64,28,10,2004,0.0
66,64,28,10,2005,0.0
66,64,28,10,2006,0.0
66,64,28,10,2007,0.0
66,64,28,10,2008,0.0
66,64,28,10,2009,0.0
66,64,28,10,2010,0.0
66,64,28,10,2011,0.0
66,64,28,10,2012,0.0
66,64,28,10,2013,0.0
66,64,28,10,2014,0.0
66,64,28,10,2015,0.0
66,64,28,10,2016,0.0
66,64,29,10,2000,0.0
66,64,29,10,2001,0.0
66,64,29,10,2002,0.0
66,64,29,10,2003,0.0
66,64,29,10,2004,0.0
66,64,29,10,2005,0.0
66,64,29,10,2006,0.0
66,64,29,10,2007,0.0
66,64,29,10,2008,0.0
66,64,29,10,2009,0.0
66,64,29,10,2010,0.0
66,64,29,10,2011,0.0
66,64,29,10,2012,0.0
66,64,29,10,2013,0.0
66,64,29,10,2014,0.0
66,64,29,10,2015,0.0
66,64,29,10,2016,0.0
66,64,30,10,2000,0.0
66,64,30,10,2001,0.0
66,64,30,10,2002,0.0
66,64,30,10,2003,0.0
66,64,30,10,2004,0.0
66,64,30,10,2005,0.0
66,64,30,10,2006,0.0
66,64,30,10,2007,0.0
66,64,30,10,2008,0.0
66,64,30,10,2009,0.0
66,64,30,10,2010,0.0
66,64,30,10,2011,0.0
66,64,30,10,2012,0.0
