census region,year,value
66,2000,13169.0
66,2001,12405.0
66,2002,12469.0
66,2003,13951.0
66,2004,13419.0
66,2005,13289.0
66,2006,11771.0
66,2007,13075.0
66,2008,12869.0
66,2009,13289.0
66,2010,11869.0
66,2011,12229.0
66,2012,11123.0
66,2013,12849.0
66,2014,13591.0
66,2015,12693.0
66,2016,12231.0
67,2000,12881.0
67,2001,12066.0
67,2002,12613.0
67,2003,13129.0
67,2004,12507.0
67,2005,12435.0
67,2006,11524.0
67,2007,12458.0
67,2008,13795.0
67,2009,13353.0
67,2010,12750.0
67,2011,12737.0
67,2012,10871.0
67,2013,13756.0
67,2014,14737.0
67,2015,12775.0
67,2016,12467.0
68,2000,8710.0
68,2001,8091.0
68,2002,8399.0
68,2003,8647.0
68,2004,8046.0
68,2005,8139.0
68,2006,7488.0
68,2007,7817.0
68,2008,8437.0
68,2009,8500.0
68,2010,9564.0
68,2011,8023.0
68,2012,6833.0
68,2013,8709.0
68,2014,9632.0
68,2015,8474.0
68,2016,8009.0
69,2000,7958.0
69,2001,8572.0
69,2002,8721.0
69,2003,8171.0
69,2004,8355.0
69,2005,8272.0
69,2006,8472.0
69,2007,8445.0
69,2008,8799.0
69,2009,8675.0
69,2010,8706.0
69,2011,9141.0
69,2012,7986.0
69,2013,8648.0
69,2014,7597.0
69,2015,7773.0
69,2016,8408.0
