census region,technology,year,housing types,value
66,4,2009,28,1.0
66,4,2009,29,1125335.44624
66,4,2009,30,
66,5,2009,28,96741783.68
66,5,2009,29,12076451.2664
66,5,2009,30,1761981.9336
66,6,2009,28,163461857.12
66,6,2009,29,1.0
66,6,2009,30,1.0
66,7,2009,28,12180132.758
66,7,2009,29,1.0
66,7,2009,30,1.0
66,8,2009,28,103378876.2
66,8,2009,29,1.0
66,8,2009,30,1.0
66,9,2009,28,24029425.5786
66,9,2009,29,1.0
66,9,2009,30,4426779.20256
66,10,2009,28,1650329.064
66,10,2009,29,
66,10,2009,30,
66,11,2009,28,1.0
66,11,2009,29,
66,11,2009,30,1.0
66,12,2009,28,1.0
66,12,2009,29,1.0
66,12,2009,30,6945922.636
66,13,2009,28,245436753.44
66,13,2009,29,63152430.688
66,13,2009,30,2574025.8272
66,71,2009,28,
66,71,2009,29,1.0
66,71,2009,30,
67,4,2009,28,1.0
67,4,2009,29,477396.578946
67,4,2009,30,1.0
67,5,2009,28,16807370.824
67,5,2009,29,1.0
67,5,2009,30,
67,6,2009,28,1.0
67,6,2009,29,1.0
67,6,2009,30,
67,7,2009,28,33102246.573
67,7,2009,29,20519976.5476
67,7,2009,30,2570367.2742
67,8,2009,28,47581034.296
67,8,2009,29,1.0
67,8,2009,30,1.0
67,9,2009,28,94982103.3486
67,9,2009,29,1.0
67,9,2009,30,10530470.1232
67,10,2009,28,4423187.553
67,10,2009,29,
67,10,2009,30,
67,11,2009,28,57121455.9276
67,11,2009,29,1.0
67,11,2009,30,1.0
67,12,2009,28,0.0
67,12,2009,29,
67,12,2009,30,
67,13,2009,28,721665111.84
67,13,2009,29,96812159.984
67,13,2009,30,20408646.312
67,71,2009,28,934726.9906
67,71,2009,29,1.0
67,71,2009,30,
68,4,2009,28,73834145.9111
68,4,2009,29,8149527.50697
68,4,2009,30,9538872.37409
68,5,2009,28,18728515.64
68,5,2009,29,
68,5,2009,30,
68,6,2009,28,10228755.376
68,6,2009,29,1.0
68,6,2009,30,
68,7,2009,28,96096474.045
68,7,2009,29,39480556.4208
68,7,2009,30,23695783.95
68,8,2009,28,42475637.7952
68,8,2009,29,1.0
68,8,2009,30,1.0
68,9,2009,28,45653103.405
68,9,2009,29,1.0
68,9,2009,30,6024040.06932
68,10,2009,28,3076794.0
68,10,2009,29,
68,10,2009,30,
68,11,2009,28,57561586.6076
68,11,2009,29,1.0
68,11,2009,30,1.0
68,12,2009,28,2729242.768
68,12,2009,29,
68,12,2009,30,693886.944
68,13,2009,28,311702771.032
68,13,2009,29,31039936.768
68,13,2009,30,4937616.3072
68,71,2009,28,2743088.27
68,71,2009,29,1.0
68,71,2009,30,
69,4,2009,28,11413860.4033
69,4,2009,29,845737.802613
69,4,2009,30,3077557.41928
69,5,2009,28,4772417.944
69,5,2009,29,
69,5,2009,30,
69,6,2009,28,1.0
69,6,2009,29,
69,6,2009,30,
69,7,2009,28,27126243.8934
69,7,2009,29,17128066.1062
69,7,2009,30,7482277.50039
69,8,2009,28,47729216.792
69,8,2009,29,1.0
69,8,2009,30,393735.112
69,9,2009,28,24429145.0432
69,9,2009,29,1.0
69,9,2009,30,3404642.8338
69,10,2009,28,746258.892
69,10,2009,29,
69,10,2009,30,
69,11,2009,28,43241218.8496
69,11,2009,29,
69,11,2009,30,1.0
69,12,2009,28,87888.1488
69,12,2009,29,1.0
69,12,2009,30,1.0
69,13,2009,28,271405965.92
69,13,2009,29,24291842.368
69,13,2009,30,12407399.3136
69,71,2009,28,1113517.9198
69,71,2009,29,1.0
69,71,2009,30,
