census region,year,housing types,value
66,2000,28,0.0
66,2000,29,0.0
66,2000,30,0.0
66,2001,28,59828.4851188
66,2001,29,35299.6436503
66,2001,30,2463.38117051
66,2002,28,55123.6682857
66,2002,29,32523.7358645
66,2002,30,2269.66479654
66,2003,28,47967.2382215
66,2003,29,28301.3419569
66,2003,30,1975.00557137
66,2004,28,29291.6468272
66,2004,29,17282.4816286
66,2004,30,1206.05579607
66,2005,28,19882.013161
66,2005,29,11730.6660571
66,2005,30,818.623048124
66,2006,28,25861.6688743
66,2006,29,15258.7466263
66,2006,30,1064.82970472
66,2007,28,38302.1806652
66,2007,29,22598.822715
66,2007,30,1577.05598684
66,2008,28,40518.8951401
66,2008,29,23906.715283
66,2008,30,1668.32710438
66,2009,28,49552.2346825
66,2009,29,29236.5120543
66,2009,30,2040.26629842
66,2010,28,42101.6110307
66,2010,29,24840.539812
66,2010,30,1733.49393111
66,2011,28,28488.8860297
66,2011,29,16808.8415217
66,2011,30,1173.00288107
66,2012,28,22687.1148114
66,2012,29,13385.7152944
66,2012,30,934.120449958
66,2013,28,18146.4990505
66,2013,29,10706.6884396
66,2013,30,747.164899509
66,2014,28,16135.0359158
66,2014,29,9519.89703536
66,2014,30,664.344811365
66,2015,28,23004.1141036
66,2015,29,13572.7493139
66,2015,30,947.172595369
66,2016,28,22675.7119591
66,2016,29,13378.987452
66,2016,30,933.650948325
67,2000,28,0.0
67,2000,29,0.0
67,2000,30,0.0
67,2001,28,90675.0873007
67,2001,29,26226.6434884
67,2001,30,4974.06450785
67,2002,28,77793.2706674
67,2002,29,22500.737924
67,2002,30,4267.42072267
67,2003,28,78107.25246
67,2003,29,22591.5532602
67,2003,30,4284.6444799
67,2004,28,69498.442585
67,2004,29,20101.5618615
67,2004,30,3812.40037263
67,2005,28,64320.5973883
67,2005,29,18603.9344089
67,2005,30,3528.36495797
67,2006,28,75207.202449
67,2006,29,21752.7497917
67,2006,30,4125.55959495
67,2007,28,76939.8110678
67,2007,29,22253.8853285
67,2007,30,4220.60341893
67,2008,28,64871.4927152
67,2008,29,18763.2740442
67,2008,30,3558.58482293
67,2009,28,67840.0478445
67,2009,29,19621.8917678
67,2009,30,3721.42761854
67,2010,28,58594.7112446
67,2010,29,16947.792915
67,2010,30,3214.26625798
67,2011,28,42918.4566579
67,2011,29,12413.6308588
67,2011,30,2354.33103346
67,2012,28,39367.6080225
67,2012,29,11386.5919663
67,2012,30,2159.54599718
67,2013,28,37563.6399055
67,2013,29,10864.8165803
67,2013,30,2060.58768292
67,2014,28,37452.3190881
67,2014,29,10832.6184157
67,2014,30,2054.48107809
67,2015,28,48030.6511162
67,2015,29,13892.2696502
67,2015,30,2634.76511706
67,2016,28,47140.0845774
67,2016,29,13634.6843331
67,2016,30,2585.91227838
68,2000,28,0.0
68,2000,29,0.0
68,2000,30,0.0
68,2001,28,341686.777037
68,2001,29,95685.77361
68,2001,30,44645.4243562
68,2002,28,343843.677254
68,2002,29,96289.7907381
68,2002,30,44927.2489158
68,2003,28,344729.825415
68,2003,29,96537.9471727
68,2003,30,45043.0346686
68,2004,28,370591.838611
68,2004,29,103780.330859
68,2004,30,48422.2130022
68,2005,28,394029.28807
68,2005,29,110343.741074
68,2005,30,51484.593367
68,2006,28,397898.715084
68,2006,29,111427.333248
68,2006,30,51990.1798359
68,2007,28,415954.308702
68,2007,29,116483.611569
68,2007,30,54349.3569925
68,2008,28,366878.332094
68,2008,29,102740.402574
68,2008,30,47936.999393
68,2009,28,338893.201456
68,2009,29,94903.4622693
68,2009,30,44280.4106194
68,2010,28,324600.489179
68,2010,29,90900.9391309
68,2010,30,42412.8984777
68,2011,28,301498.26879
68,2011,29,84431.4062762
68,2011,30,39394.3197612
68,2012,28,301025.309947
68,2012,29,84298.9591469
68,2012,30,39332.5220867
68,2013,28,308431.533582
68,2013,29,86372.9938641
68,2013,30,40300.2329238
68,2014,28,320824.614463
68,2014,29,89843.5452908
68,2014,30,41919.5357246
68,2015,28,347453.236772
68,2015,29,97300.6097635
68,2015,30,45398.8806185
68,2016,28,353609.497751
68,2016,29,99024.6056389
68,2016,30,46203.2690301
69,2000,28,0.0
69,2000,29,0.0
69,2000,30,0.0
69,2001,28,230272.591306
69,2001,29,85232.9171014
69,2001,30,19229.2349563
69,2002,28,210715.451865
69,2002,29,77994.0527829
69,2002,30,17596.088661
69,2003,28,200078.910829
69,2003,29,74057.0517909
69,2003,30,16707.8694181
69,2004,28,194571.771457
69,2004,29,72018.6435251
69,2004,30,16247.9880388
69,2005,28,200984.099358
69,2005,29,74392.0975661
69,2005,30,16783.4584529
69,2006,28,210471.304323
69,2006,29,77903.6842023
69,2006,30,17575.7007789
69,2007,28,208886.648577
69,2007,29,77317.1409623
69,2007,30,17443.3718834
69,2008,28,208297.00923
69,2008,29,77098.8923148
69,2008,30,17394.1332247
69,2009,28,201163.755096
69,2009,29,74458.5952009
69,2009,30,16798.4608567
69,2010,28,195965.255071
69,2010,29,72534.4264614
69,2010,30,16364.3528378
69,2011,28,186455.017318
69,2011,29,69014.3144874
69,2011,30,15570.1871267
69,2012,28,187314.140274
69,2012,29,69332.309587
69,2012,30,15641.9293912
69,2013,28,189727.976351
69,2013,29,70225.7649876
69,2013,30,15843.5001506
69,2014,28,191948.337018
69,2014,29,71047.6075506
69,2014,30,16028.914475
69,2015,28,199565.279679
69,2015,29,73866.9367582
69,2015,30,16664.9779302
69,2016,28,198602.509182
69,2016,29,73510.5776385
69,2016,30,16584.5804327
