census region,housing types,technology,final_energy,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,28,4,2,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,8,1999,0.0140821652636,0.0131894262676,0.0123100014448,0.01144500409,0.0106026905355,0.00977213415202,0.00894097566658,0.00810732361436,0.00728140485111,0.00646289183554,0.0056648716239,0.00489370897089,0.00415152803221,0.00344591419904,0.00278603946481,0.00218146748055,0.00164521758497
66,28,5,8,2000,0.000791874537115,0.000788028135208,0.000784512999691,0.000781449338987,0.000779469559698,0.000777811117249,0.00077521306949,0.000770811844266,0.000764564576915,0.00075513638445,0.000742332451843,0.000725041095097,0.00070114333863,0.000668877716677,0.00062664005318,0.000573145451699,0.000508933762068
66,28,5,8,2001,0.0,0.000860451741032,0.000856618053275,0.000853305259662,0.000851260664066,0.000849749455579,0.000847537861548,0.000843872113769,0.00083894099576,0.00083155473449,0.000821796235394,0.000808737260606,0.00079026346027,0.000764490841352,0.000729426581612,0.000682999071735,0.00062471130683
66,28,5,8,2002,0.0,0.0,0.000850948289382,0.000847661881057,0.000845662966832,0.000844277962698,0.00084237798739,0.000839355248479,0.000835585367014,0.000830116865302,0.000823304983625,0.000814524788869,0.000801951093551,0.000783914195376,0.000758469807114,0.000723293731509,0.000677276149447
66,28,5,8,2003,0.0,0.0,0.0,0.000839071006535,0.000837096753959,0.000835757561983,0.000833991611545,0.000831292430738,0.000828171183684,0.000823870135782,0.000818972380367,0.000813131933682,0.000804831288611,0.000792692274186,0.000774987421303,0.000749430781824,0.000714694572895
66,28,5,8,2004,0.0,0.0,0.0,0.0,0.00081473106941,0.000813431936778,0.000811744029689,0.000809228292536,0.000806474593204,0.000802879943536,0.000799192386641,0.000795302024185,0.000789994599238,0.000782211420605,0.000770536666147,0.000752922790022,0.000728114817939
66,28,5,8,2005,0.0,0.0,0.0,0.0,0.0,0.000802184953003,0.000800524594608,0.000798073978045,0.000795467780657,0.000792201856059,0.000789146905829,0.000786373449234,0.000782906437925,0.000777961481327,0.000770419928328,0.00075851429561,0.000741196665243
66,28,5,8,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.000807672953455,0.000805204689207,0.000802605727634,0.000799420586614,0.000796619023396,0.000794406758783,0.000791979949938,0.000788771854408,0.000783915079811,0.000775899617079,0.00076393138509
66,28,5,8,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000820034195989,0.0008173916686,0.000814178811605,0.000811437272742,0.000809469617843,0.00080759399845,0.00080541652362,0.000802282163153,0.000796914732158,0.000788789148347
66,28,5,8,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000820079152415,0.000816860028569,0.00081414042197,0.00081227807243,0.00081068213461,0.000809094647623,0.000807042050022,0.000803470378998,0.000798118067463
66,28,5,8,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018127610575,0.00180673525884,0.00180267089751,0.00179937686306,0.00179648750331,0.00179325607009,0.00178774779191,0.00177988732429
66,28,5,8,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018875699546,0.0018833336569,0.00187996371905,0.00187720346945,0.00187448858498,0.00187011371094,0.00186442324143
66,28,5,8,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00194233420027,0.00193886888829,0.0019360957783,0.00193356199567,0.00192973048833,0.00192528233358
66,28,5,8,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00201563002417,0.00201275771185,0.00201020004618,0.00200649299207,0.00200257484872
66,28,5,8,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00163277453635,0.001630708303,0.00162776297942,0.0016248081495
66,28,5,8,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162729339955,0.00162436278788,0.00162147579259
66,28,5,8,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164299412369,0.00164008264147
66,28,5,8,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164179996054
66,28,6,8,1999,0.0153722647295,0.0146732067062,0.0139862231898,0.0133130001773,0.0126639252902,0.0120269661617,0.011386583416,0.0107381772486,0.0100919428076,0.00944309883689,0.00880450861191,0.00817892229609,0.00755961644319,0.00694507127947,0.00633346080676,0.00572073107392,0.00511119808205
66,28,6,8,2000,0.000849718960047,0.000845591700449,0.00084182433235,0.000838573272502,0.000836600301944,0.000835266406963,0.000833537674217,0.000830990396284,0.000828312285754,0.000825059423812,0.000822311750666,0.000820450635962,0.000818944069972,0.000817669186237,0.000816381312911,0.000814352598352,0.00081174118267
66,28,6,8,2001,0.0,0.000923305554468,0.000919191947523,0.000915642099989,0.000913487804268,0.000912031319593,0.000910143720861,0.000907362410067,0.000904438503005,0.00090088793498,0.000897891748334,0.000895871049348,0.000894255736594,0.000892934734709,0.000891687111913,0.000889805361261,0.000887619843146
66,28,6,8,2002,0.0,0.0,0.000913107899821,0.000909581548404,0.000907441511774,0.000905994667547,0.000904119564174,0.000901356675182,0.000898452194426,0.000894925458127,0.000891950338075,0.0008899469908,0.000888353736993,0.00088707095982,0.000885902092434,0.000884190012775,0.000882349586949
66,28,6,8,2003,0.0,0.0,0.0,0.000900363011641,0.000898244664112,0.00089681248354,0.000894956384299,0.000892221498461,0.000889346466778,0.000885855545868,0.000882910904872,0.000880929081655,0.000879355905663,0.000878097367435,0.000876969494517,0.000875344399374,0.000873677976194
66,28,6,8,2004,0.0,0.0,0.0,0.0,0.000874245103952,0.000872851188794,0.000871044681351,0.000868382867087,0.000865584652781,0.000862187015315,0.000859321120128,0.000857392564943,0.000855862607275,0.000854641515457,0.000853554702234,0.000852001336313,0.000850447090568
66,28,6,8,2005,0.0,0.0,0.0,0.0,0.0,0.000860782525619,0.000859000996236,0.000856375986119,0.000853616462022,0.00085026580414,0.000847439546672,0.000845537725998,0.000844029234818,0.000842826194522,0.000841758171435,0.000840237035009,0.000838732148404
