census region,housing types,technology,final_energy,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,28,4,2,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,8,1999,1.24860756375,1.17229995606,1.09678322062,1.02217226804,0.94923103243,0.876990794428,0.804331889384,0.731073876732,0.658150074103,0.548414611098,0.450237812348,0.363924384593,0.288533031449,0.229004907519,0.177414788343,0.133320426899,0.0966722005929
66,28,5,8,2000,0.0702122520277,0.0700413596112,0.0698976923989,0.0697925345342,0.0697838621645,0.0698039117166,0.0697383167241,0.0695075748821,0.0691073004788,0.0640777901196,0.058999772871,0.0539182317353,0.0487297716421,0.0444515651875,0.0399043925278,0.0350277952696,0.029904705119
66,28,5,8,2001,0.0,0.0764785001056,0.0763220306289,0.0762101058021,0.0762111311572,0.0762599488013,0.0762446689181,0.0760957483659,0.0758300204175,0.0705623392633,0.0653154676372,0.0601423606541,0.0549236594493,0.0508057207205,0.0464498311035,0.0417415013643,0.0367077384281
66,28,5,8,2002,0.0,0.0,0.0758168721257,0.0757060863135,0.0757099840279,0.0757689149274,0.0757804856472,0.0756884422838,0.0755267125596,0.0704403275553,0.0654353812996,0.0605727545893,0.0557359551232,0.0520965373615,0.0482993015688,0.044204110269,0.039796423509
66,28,5,8,2003,0.0,0.0,0.0,0.0749388210836,0.0749430734911,0.0750042597482,0.0750260456643,0.074961381702,0.0748565609326,0.0699102555957,0.0650910307225,0.0604691738553,0.0559361299518,0.0526799016039,0.0493511420262,0.0458014766001,0.0419951122238
66,28,5,8,2004,0.0,0.0,0.0,0.0,0.0729407325038,0.0730006679554,0.0730246489247,0.0729717590079,0.0728954541237,0.0681291135913,0.0635189384149,0.059143239093,0.0549049734888,0.0519833761635,0.0490677182651,0.0460148907481,0.0427836794217
66,28,5,8,2005,0.0,0.0,0.0,0.0,0.0,0.071991318198,0.0720153463884,0.0719659242435,0.0719005726905,0.0672230146901,0.0627205345666,0.0584792588351,0.0544123431476,0.051700938211,0.0490602844093,0.0463566157193,0.0435523625298
66,28,5,8,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0726584141242,0.0726089325778,0.0725457559248,0.0678355666886,0.0633144103135,0.0590766620014,0.0550429562392,0.0524193625084,0.0499196546638,0.0474191199742,0.0448882438245
66,28,5,8,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07394617598,0.0738822244142,0.0690878893988,0.0644921485945,0.0601968229563,0.0561281395055,0.0535255162643,0.0510892691811,0.0487034591352,0.0463488741374
66,28,5,8,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0741251401301,0.0693154065221,0.0647069919441,0.0604056758148,0.0563427663323,0.0537699531244,0.051392378427,0.0491041076175,0.0468970369751
66,28,5,8,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153823501253,0.143597345967,0.134056990496,0.125057486542,0.119389059272,0.114194414737,0.109258240579,0.104585330243
66,28,5,8,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150021999339,0.140055537864,0.130658308619,0.124753195258,0.119367295315,0.1142920353,0.109552620414
66,28,5,8,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144443158086,0.134752243892,0.128666997797,0.123129085766,0.117935515793,0.113128671642
66,28,5,8,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140087176731,0.13376171519,0.128009391189,0.122626857681,0.117670342966
66,28,5,8,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108509196718,0.103843384877,0.0994807656966,0.0954729518986
66,28,5,8,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103625924076,0.0992729629256,0.0952771441963
66,28,5,8,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100411617371,0.0963704737621
66,28,5,8,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0964713826113
66,28,6,8,1999,1.2497391026,1.17693671144,1.10713827758,1.04030822289,0.977038122828,0.916277039169,0.85682998273,0.798346024589,0.741473100349,0.658467515434,0.577334982576,0.500913056315,0.43003709281,0.376621913523,0.328165336643,0.283752669134,0.243147929437
66,28,6,8,2000,0.0690807131725,0.0678248412275,0.0666381430278,0.0655280296896,0.0645447892212,0.0636349533208,0.0627229472542,0.0617812375401,0.0608575861246,0.057531414027,0.0539211625735,0.0502479936522,0.0465865338105,0.0443411048148,0.0423004194002,0.0403925163433,0.0386158361769
66,28,6,8,2001,0.0,0.0740582631109,0.0727625017657,0.0715503637912,0.0704767589082,0.0694833049259,0.0684874821657,0.0674592303858,0.0664507155546,0.062818937986,0.0588771434874,0.0548670703972,0.0508707207679,0.0484226547006,0.0462023544772,0.0441350315205,0.0422255063339
66,28,6,8,2002,0.0,0.0,0.0722808934,0.0710767784563,0.0700102796663,0.0690234012737,0.0680341698874,0.0670127249446,0.0660108907491,0.0624031743276,0.0584875494578,0.0545042550818,0.0505349790316,0.0481046700421,0.0459026063738,0.043856505909,0.0419747917536
66,28,6,8,2003,0.0,0.0,0.0,0.0703564209508,0.0693007310414,0.0683238545832,0.0673446489865,0.0663335564181,0.0653418766417,0.0617707291215,0.0578948098467,0.0539519587929,0.0500231275037,0.0476180441459,0.0454397679523,0.0434177566687,0.0415622692558
66,28,6,8,2004,0.0,0.0,0.0,0.0,0.06744913411,0.0664983581189,0.0655453152202,0.0645612373226,0.0635960536391,0.0601203219007,0.056347965092,0.0525104793296,0.0486866853952,0.0463460647091,0.0442265413411,0.0422599227548,0.0404571385901
66,28,6,8,2005,0.0,0.0,0.0,0.0,0.0,0.0655789043836,0.0646390389359,0.0636685676015,0.0627167292437,0.0592890555506,0.055568858806,0.0517844370232,0.0480135309927,0.0457053356797,0.0436153095645,0.0416764043457,0.0398998399128
