census region,housing types,technology,vintage,value
66,28,4,2000,0.0
66,28,4,2001,10856002.2415
66,28,4,2002,8601719.15751
66,28,4,2003,19448635.8527
66,28,4,2004,59160202.6134
66,28,4,2005,5214294.89291
66,28,4,2006,115273308.682
66,28,4,2007,0.0
66,28,4,2008,0.0
66,28,4,2009,707414285.861
66,28,4,2010,0.0
66,28,4,2011,0.0
66,28,4,2012,11717122.3201
66,28,4,2013,8966198.78283
66,28,4,2014,21206857.8758
66,28,4,2015,61666990.8597
66,28,4,2016,5685684.66981
66,28,5,2000,168025513.019
66,28,5,2001,0.0
66,28,5,2002,0.0
66,28,5,2003,1078659424.48
66,28,5,2004,0.0
66,28,5,2005,0.0
66,28,5,2006,16553138.2656
66,28,5,2007,12538099.1109
66,28,5,2008,29655111.6319
66,28,5,2009,86233515.6737
66,28,5,2010,8135611.99881
66,28,5,2011,175840952.494
66,28,5,2012,0.0
66,28,5,2013,0.0
66,28,5,2014,1178999569.75
66,28,5,2015,0.0
66,28,5,2016,0.0
66,28,6,2000,20017719.7795
66,28,6,2001,15162352.4133
66,28,6,2002,35861943.8292
66,28,6,2003,104282391.047
66,28,6,2004,9614800.33741
66,28,6,2005,203196183.223
66,28,6,2006,0.0
66,28,6,2007,0.0
66,28,6,2008,1304423177.84
66,28,6,2009,0.0
66,28,6,2010,0.0
66,28,6,2011,19997073.5397
66,28,6,2012,15162352.4139
66,28,6,2013,35824955.8854
66,28,6,2014,104282391.052
66,28,6,2015,9604883.64978
66,28,6,2016,203204042.191
66,28,7,2000,0.0
66,28,7,2001,0.0
66,28,7,2002,325769449.534
66,28,7,2003,0.0
66,28,7,2004,0.0
66,28,7,2005,4930144.93405
66,28,7,2006,3790588.10596
66,28,7,2007,8832403.6225
66,28,7,2008,26070597.78
66,28,7,2009,2368019.91922
66,28,7,2010,50806108.8632
66,28,7,2011,0.0
66,28,7,2012,0.0
66,28,7,2013,321265128.741
66,28,7,2014,0.0
66,28,7,2015,0.0
66,28,7,2016,4974168.46194
66,28,8,2000,13121266.5967
66,28,8,2001,30846711.4962
66,28,8,2002,90244377.4542
66,28,8,2003,8270186.73372
66,28,8,2004,175904745.323
66,28,8,2005,0.0
66,28,8,2006,0.0
66,28,8,2007,1122001797.43
66,28,8,2008,0.0
66,28,8,2009,0.0
66,28,8,2010,17803619.5538
66,28,8,2011,13850226.3564
66,28,8,2012,33619434.864
66,28,8,2013,100271534.155
66,28,8,2014,9244687.54077
66,28,8,2015,195526754.954
66,28,8,2016,0.0
66,28,9,2000,0.0
66,28,9,2001,464057929.696
66,28,9,2002,0.0
66,28,9,2003,0.0
66,28,9,2004,7121418.5048
66,28,9,2005,5394299.64363
66,28,9,2006,12758091.9913
66,28,9,2007,37100474.2227
66,28,9,2008,3420520.30885
66,28,9,2009,72392792.6779
66,28,9,2010,0.0
66,28,9,2011,0.0
66,28,9,2012,464056019.319
66,28,9,2013,0.0
66,28,9,2014,0.0
66,28,9,2015,7121503.81087
66,28,9,2016,5394303.49297
66,28,10,2000,41378091.3016
66,28,10,2001,120325948.208
66,28,10,2002,11093712.2679
66,28,10,2003,235030281.916
66,28,10,2004,0.0
66,28,10,2005,0.0
66,28,10,2006,1504926442.9
66,28,10,2007,0.0
66,28,10,2008,0.0
66,28,10,2009,23097733.2447
66,28,10,2010,16037158.0288
66,28,10,2011,34483176.4946
66,28,10,2012,76147721.0217
66,28,10,2013,7396118.99336
66,28,10,2014,156926244.154
66,28,10,2015,0.0
66,28,10,2016,0.0
66,28,11,2000,1599473339.98
66,28,11,2001,0.0
66,28,11,2002,0.0
66,28,11,2003,25409953.4495
66,28,11,2004,19244734.6734
66,28,11,2005,45521874.1654
66,28,11,2006,67533449.2515
66,28,11,2007,12204924.3115
66,28,11,2008,225594308.078
66,28,11,2009,0.0
66,28,11,2010,0.0398228428959
66,28,11,2011,1530565037.95
66,28,11,2012,0.339079376537
66,28,11,2013,0.0
66,28,11,2014,25415448.532
66,28,11,2015,19245135.6049
66,28,11,2016,45529267.5778
66,28,12,2000,16506484.8913
66,28,12,2001,7954485.62929
66,28,12,2002,127261002.077
66,28,12,2003,5.51423317491e-09
66,28,12,2004,1.10846672608
66,28,12,2005,964579983.705
66,28,12,2006,6.83449117582
66,28,12,2007,0.0
66,28,12,2008,16566731.2785
66,28,12,2009,12539161.1358
66,28,12,2010,23233712.8194
66,28,12,2011,36746717.8477
66,28,12,2012,8520119.99444
66,28,12,2013,113912006.756
66,28,12,2014,8.37362695018e-07
66,28,12,2015,11.767914778
66,28,12,2016,1100381012.33
66,28,13,2000,23.8589413883
66,28,13,2001,0.0
66,28,13,2002,7135302.98782
66,28,13,2003,5395430.73915
66,28,13,2004,9748261.96958
66,28,13,2005,15075346.1241
66,28,13,2006,3440176.21426
66,28,13,2007,44743803.1902
66,28,13,2008,1.11355283131e-05
66,28,13,2009,24.3002429942
66,28,13,2010,432221614.315
66,28,13,2011,110.059521036
66,28,13,2012,0.0
66,28,13,2013,7151208.00203
66,28,13,2014,5396932.58755
66,28,13,2015,9860072.59375
66,28,13,2016,15248257.343
66,28,71,2000,20672550.1963
66,28,71,2001,269095709.6
66,28,71,2002,0.00103579394306
66,28,71,2003,531.936004578
66,28,71,2004,2599443357.87
66,28,71,2005,2171.96168159
66,28,71,2006,0.0
66,28,71,2007,42699787.2417
66,28,71,2008,32108687.6711
66,28,71,2009,58688839.2806
66,28,71,2010,90760236.9053
66,28,71,2011,21176741.096
66,28,71,2012,269377442.094
66,28,71,2013,0.00994792958216
66,28,71,2014,1547.12908329
66,28,71,2015,2602164871.57
66,28,71,2016,5782.79156598
66,29,4,2000,48326682.1161
66,29,4,2001,11852739.9918
66,29,4,2002,0.0
66,29,4,2003,0.0
66,29,4,2004,0.0
66,29,4,2005,0.0
66,29,4,2006,0.0
66,29,4,2007,0.0
66,29,4,2008,0.0
66,29,4,2009,533373299.632
66,29,4,2010,0.0
66,29,4,2011,53604173.7296
66,29,4,2012,12229416.0822
66,29,4,2013,0.0
66,29,4,2014,0.0
66,29,4,2015,0.0
66,29,4,2016,0.0
66,29,5,2000,0.0
66,29,5,2001,0.0
66,29,5,2002,0.0
66,29,5,2003,777459387.897
66,29,5,2004,0.0
66,29,5,2005,76036279.3871
66,29,5,2006,17276877.2871
66,29,5,2007,0.0
66,29,5,2008,0.0
66,29,5,2009,0.0
66,29,5,2010,0.0
66,29,5,2011,0.0
66,29,5,2012,0.0
66,29,5,2013,0.0
66,29,5,2014,849781289.818
66,29,5,2015,0.0
66,29,5,2016,82315062.9315
66,29,6,2000,20892995.2796
66,29,6,2001,0.0
66,29,6,2002,0.0
66,29,6,2003,0.0
66,29,6,2004,0.0
66,29,6,2005,0.0
66,29,6,2006,0.0
66,29,6,2007,0.0
66,29,6,2008,940184787.581
66,29,6,2009,0.0
66,29,6,2010,88778483.5835
66,29,6,2011,20893147.2461
66,29,6,2012,0.0
66,29,6,2013,0.0
66,29,6,2014,0.0
66,29,6,2015,0.0
66,29,6,2016,0.0
66,29,7,2000,0.0
66,29,7,2001,0.0
66,29,7,2002,235047906.519
66,29,7,2003,0.0
66,29,7,2004,21905201.0786
66,29,7,2005,5223421.89995
66,29,7,2006,0.0
66,29,7,2007,0.0
66,29,7,2008,0.0
66,29,7,2009,0.0
66,29,7,2010,0.0
66,29,7,2011,0.0
66,29,7,2012,0.0
66,29,7,2013,235053985.498
66,29,7,2014,0.0
66,29,7,2015,22087621.1425
66,29,7,2016,5223785.54535
66,29,8,2000,0.0
66,29,8,2001,0.0
66,29,8,2002,0.0
66,29,8,2003,0.0
66,29,8,2004,0.0
66,29,8,2005,0.0
66,29,8,2006,0.0
66,29,8,2007,813705056.103
66,29,8,2008,0.0
66,29,8,2009,77774372.6556
66,29,8,2010,18587512.8635
66,29,8,2011,0.0
66,29,8,2012,0.0
66,29,8,2013,0.0
66,29,8,2014,0.0
66,29,8,2015,0.0
66,29,8,2016,0.0
66,29,9,2000,0.0
66,29,9,2001,334575231.542
66,29,9,2002,0.0
66,29,9,2003,32069582.2495
66,29,9,2004,7437270.54151
66,29,9,2005,0.0
66,29,9,2006,0.0
66,29,9,2007,0.0
66,29,9,2008,0.0
66,29,9,2009,0.0
66,29,9,2010,0.0
66,29,9,2011,0.0
66,29,9,2012,334677174.368
66,29,9,2013,0.0
66,29,9,2014,32464690.6681
66,29,9,2015,7441295.92726
66,29,9,2016,0.0
66,29,10,2000,0.0
66,29,10,2001,0.0
66,29,10,2002,0.0
66,29,10,2003,0.0
66,29,10,2004,0.0
66,29,10,2005,0.0
66,29,10,2006,1086026973.17
66,29,10,2007,0.0
66,29,10,2008,104250791.137
66,29,10,2009,24155449.8797
66,29,10,2010,0.0
66,29,10,2011,0.0
66,29,10,2012,0.0
66,29,10,2013,0.0
66,29,10,2014,0.0
66,29,10,2015,0.0
66,29,10,2016,0.0
66,29,11,2000,1195694769.05
66,29,11,2001,0.0
66,29,11,2002,112597031.443
66,29,11,2003,26607702.3183
66,29,11,2004,0.0
66,29,11,2005,0.0
66,29,11,2006,0.0
66,29,11,2007,0.0
66,29,11,2008,0.0
66,29,11,2009,0.0
66,29,11,2010,0.0
66,29,11,2011,1197346604.33
66,29,11,2012,0.0
66,29,11,2013,111775389.116
66,29,11,2014,26661754.8914
66,29,11,2015,0.0
66,29,11,2016,0.0
66,29,12,2000,0.0
66,29,12,2001,0.0
66,29,12,2002,0.0
66,29,12,2003,0.0
66,29,12,2004,0.0
66,29,12,2005,781674177.498
66,29,12,2006,0.0
66,29,12,2007,72455081.9416
66,29,12,2008,17420023.7543
66,29,12,2009,0.0
66,29,12,2010,0.0
66,29,12,2011,0.0
66,29,12,2012,0.0
66,29,12,2013,0.0
66,29,12,2014,0.0
66,29,12,2015,0.0
66,29,12,2016,856822098.611
66,29,13,2000,0.0
66,29,13,2001,31147387.8608
66,29,13,2002,7523270.47008
66,29,13,2003,0.0
66,29,13,2004,0.0
66,29,13,2005,0.0
66,29,13,2006,0.0
66,29,13,2007,0.0
66,29,13,2008,0.0
66,29,13,2009,0.0
66,29,13,2010,338547171.154
66,29,13,2011,0.0
66,29,13,2012,31538500.7822
66,29,13,2013,7560017.7141
66,29,13,2014,0.0
66,29,13,2015,0.0
66,29,13,2016,0.0
66,29,71,2000,0.0
66,29,71,2001,0.0
66,29,71,2002,0.0
66,29,71,2003,0.0
66,29,71,2004,2022815550.53
66,29,71,2005,0.0
66,29,71,2006,188174225.536
66,29,71,2007,45219069.693
66,29,71,2008,0.0
66,29,71,2009,0.0
