census region,housing types,technology,vintage,value
66,28,4,2000,0.0
66,28,4,2001,1656000.34192
66,28,4,2002,1312126.65115
66,28,4,2003,2966741.06228
66,28,4,2004,9024437.68678
66,28,4,2005,795400.915868
66,28,4,2006,17584064.0363
66,28,4,2007,0.0
66,28,4,2008,0.0
66,28,4,2009,107910653.775
66,28,4,2010,0.0
66,28,4,2011,0.0
66,28,4,2012,1732305.55862
66,28,4,2013,1312126.65115
66,28,4,2014,3103442.61597
66,28,4,2015,9024437.68678
66,28,4,2016,832051.415094
66,28,5,2000,60567336.0883
66,28,5,2001,0.0
66,28,5,2002,0.0
66,28,5,2003,388819094.871
66,28,5,2004,0.0
66,28,5,2005,0.0
66,28,5,2006,5966828.90969
66,28,5,2007,4519547.35394
66,28,5,2008,10689633.2627
66,28,5,2009,31084174.2545
66,28,5,2010,3027741.96547
66,28,5,2011,67405698.456
66,28,5,2012,0.0
66,28,5,2013,0.0
66,28,5,2014,476616847.345
66,28,5,2015,0.0
66,28,5,2016,0.0
66,28,6,2000,14243377.5354
66,28,6,2001,10788596.9094
66,28,6,2002,25517152.34
66,28,6,2003,74200932.0914
66,28,6,2004,6841300.24008
66,28,6,2005,144581899.601
66,28,6,2006,0.0
66,28,6,2007,0.0
66,28,6,2008,928147261.152
66,28,6,2009,0.0
66,28,6,2010,0.0
66,28,6,2011,14228686.9417
66,28,6,2012,10788596.9099
66,28,6,2013,25490833.9954
66,28,6,2014,74200932.0947
66,28,6,2015,6834244.13542
66,28,6,2016,144587491.559
66,28,7,2000,0.0
66,28,7,2001,0.0
66,28,7,2002,225532695.831
66,28,7,2003,0.0
66,28,7,2004,0.0
66,28,7,2005,3413177.26204
66,28,7,2006,2624253.30412
66,28,7,2007,6114740.96943
66,28,7,2008,18048875.3862
66,28,7,2009,1639398.40562
66,28,7,2010,35173459.9822
66,28,7,2011,0.0
66,28,7,2012,0.0
66,28,7,2013,222414319.897
66,28,7,2014,0.0
66,28,7,2015,0.0
66,28,7,2016,3443655.08904
66,28,8,2000,11371764.3838
66,28,8,2001,26733816.6301
66,28,8,2002,78211793.7936
66,28,8,2003,7167495.16922
66,28,8,2004,152450779.28
66,28,8,2005,0.0
66,28,8,2006,0.0
66,28,8,2007,972401557.772
66,28,8,2008,0.0
66,28,8,2009,0.0
66,28,8,2010,15012781.894
66,28,8,2011,11371764.7978
66,28,8,2012,26895547.8912
66,28,8,2013,78211796.6413
66,28,8,2014,7210856.2818
66,28,8,2015,152510868.864
66,28,8,2016,0.0
66,28,9,2000,0.0
66,28,9,2001,489142142.112
66,28,9,2002,0.0
66,28,9,2003,0.0
66,28,9,2004,7506360.0456
66,28,9,2005,5685883.40815
66,28,9,2006,13447718.5854
66,28,9,2007,39105905.2618
66,28,9,2008,3605413.29852
66,28,9,2009,76305916.6065
66,28,9,2010,0.0
66,28,9,2011,0.0
66,28,9,2012,489140128.471
66,28,9,2013,0.0
66,28,9,2014,0.0
66,28,9,2015,7506449.96281
66,28,9,2016,5685887.46556
66,28,10,2000,79308008.328
66,28,10,2001,230624734.065
66,28,10,2002,21262948.5134
66,28,10,2003,450474707.005
66,28,10,2004,0.0
66,28,10,2005,0.0
66,28,10,2006,2884442348.88
66,28,10,2007,0.0
66,28,10,2008,0.0
66,28,10,2009,44270655.3858
66,28,10,2010,31345354.329
