census region,housing types,technology,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,28,4,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2001,0.0,1316798.90618,1316798.90618,1316798.90618,1316798.90618,1316798.90618,1316798.90618,1316798.90618,1316798.90618,1316798.90618,1316798.90618,1316798.90618,1316798.90618,1316798.90618,1316798.90618,0.0,0.0
66,28,4,2002,0.0,0.0,1043361.46271,1043361.46271,1043361.46271,1043361.46271,1043361.46271,1043361.46271,1043361.46271,1043361.46271,1043361.46271,1043361.46271,1043361.46271,1043361.46271,1043361.46271,1043361.46271,0.0
66,28,4,2003,0.0,0.0,0.0,2359058.32073,2359058.32073,2359058.32073,2359058.32073,2359058.32073,2359058.32073,2359058.32073,2359058.32073,2359058.32073,2359058.32073,2359058.32073,2359058.32073,2359058.32073,2359058.32073
66,28,4,2004,0.0,0.0,0.0,0.0,7175946.38966,7175946.38966,7175946.38966,7175946.38966,7175946.38966,7175946.38966,7175946.38966,7175946.38966,7175946.38966,7175946.38966,7175946.38966,7175946.38966,7175946.38966
66,28,4,2005,0.0,0.0,0.0,0.0,0.0,632477.560227,632477.560227,632477.560227,632477.560227,632477.560227,632477.560227,632477.560227,632477.560227,632477.560227,632477.560227,632477.560227,632477.560227
66,28,4,2006,0.0,0.0,0.0,0.0,0.0,0.0,13982289.5582,13982289.5582,13982289.5582,13982289.5582,13982289.5582,13982289.5582,13982289.5582,13982289.5582,13982289.5582,13982289.5582,13982289.5582
66,28,4,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85807126.5204,85807126.5204,85807126.5204,85807126.5204,85807126.5204,85807126.5204,85807126.5204,85807126.5204
66,28,4,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1421250.06163,1421250.06163,1421250.06163,1421250.06163,1421250.06163
66,28,4,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087571.69419,1087571.69419,1087571.69419,1087571.69419
66,28,4,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2572325.1187,2572325.1187,2572325.1187
66,28,4,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7480011.91464,7480011.91464
66,28,4,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689655.65662
66,28,5,2000,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918,18166550.8918
66,28,5,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
