census region,housing types,technology,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,28,4,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2002,0.0,0.0,56383.6378494,56383.6378494,56383.6378494,56383.6378494,56383.6378494,56383.6378494,56383.6378494,56383.6378494,56383.6378494,56383.6378494,56383.6378494,56383.6378494,56383.6378494,56383.6378494,0.0
66,28,4,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2004,0.0,0.0,0.0,0.0,387790.786722,387790.786722,387790.786722,387790.786722,387790.786722,387790.786722,387790.786722,387790.786722,387790.786722,387790.786722,387790.786722,387790.786722,387790.786722
66,28,4,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2006,0.0,0.0,0.0,0.0,0.0,0.0,189237.492742,189237.492742,189237.492742,189237.492742,189237.492742,189237.492742,189237.492742,189237.492742,189237.492742,189237.492742,189237.492742
66,28,4,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9205.09719813,9205.09719813,9205.09719813,9205.09719813,9205.09719813
66,28,4,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76192.8208166,76192.8208166,76192.8208166,76192.8208166
66,28,4,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16491.0230684,16491.0230684,16491.0230684
66,28,4,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524032.770037,524032.770037
66,28,4,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4421.34132265
66,28,5,2000,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452,1236222.60452
66,28,5,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2003,0.0,0.0,0.0,1841616.43309,1841616.43309,1841616.43309,1841616.43309,1841616.43309,1841616.43309,1841616.43309,1841616.43309,1841616.43309,1841616.43309,1841616.43309,1841616.43309,1841616.43309,1841616.43309
66,28,5,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2006,0.0,0.0,0.0,0.0,0.0,0.0,23804.5953761,23804.5953761,23804.5953761,23804.5953761,23804.5953761,23804.5953761,23804.5953761,23804.5953761,23804.5953761,23804.5953761,23804.5953761
66,28,5,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229144.693613,229144.693613,229144.693613,229144.693613,229144.693613,229144.693613,229144.693613,229144.693613,229144.693613,229144.693613
66,28,5,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42646.1690771,42646.1690771,42646.1690771,42646.1690771,42646.1690771,42646.1690771,42646.1690771,42646.1690771,42646.1690771
66,28,5,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1575992.68863,1575992.68863,1575992.68863,1575992.68863,1575992.68863,1575992.68863,1575992.68863,1575992.68863
66,28,5,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12079.1417824,12079.1417824,12079.1417824,12079.1417824,12079.1417824,12079.1417824,12079.1417824
66,28,5,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318440.53448,1318440.53448,1318440.53448,1318440.53448,1318440.53448,1318440.53448
66,28,5,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1901457.43614,1901457.43614,1901457.43614
66,28,5,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2000,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328,35214.9582328
66,28,6,2001,0.0,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156,458894.144156
66,28,6,2002,0.0,0.0,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786,63087.9474786
66,28,6,2003,0.0,0.0,0.0,3156144.72517,3156144.72517,3156144.72517,3156144.72517,3156144.72517,3156144.72517,3156144.72517,3156144.72517,3156144.72517,3156144.72517,3156144.72517,3156144.72517,3156144.72517,3156144.72517
66,28,6,2004,0.0,0.0,0.0,0.0,16914.2537725,16914.2537725,16914.2537725,16914.2537725,16914.2537725,16914.2537725,16914.2537725,16914.2537725,16914.2537725,16914.2537725,16914.2537725,16914.2537725,16914.2537725
66,28,6,2005,0.0,0.0,0.0,0.0,0.0,2288039.88563,2288039.88563,2288039.88563,2288039.88563,2288039.88563,2288039.88563,2288039.88563,2288039.88563,2288039.88563,2288039.88563,2288039.88563,2288039.88563
66,28,6,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2294727.28319,2294727.28319,2294727.28319,2294727.28319,2294727.28319,2294727.28319,2294727.28319,2294727.28319,2294727.28319
66,28,6,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419630.103292,419630.103292,419630.103292,419630.103292,419630.103292
66,28,6,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2886097.70661,2886097.70661,2886097.70661
66,28,6,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,6,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864504.19192
