census region,housing types,technology,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,28,4,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2001,0.0,200867.629757,200867.629757,200867.629757,200867.629757,200867.629757,200867.629757,200867.629757,200867.629757,200867.629757,200867.629757,200867.629757,200867.629757,200867.629757,200867.629757,0.0,0.0
66,28,4,2002,0.0,0.0,159156.833295,159156.833295,159156.833295,159156.833295,159156.833295,159156.833295,159156.833295,159156.833295,159156.833295,159156.833295,159156.833295,159156.833295,159156.833295,159156.833295,0.0
66,28,4,2003,0.0,0.0,0.0,359856.354009,359856.354009,359856.354009,359856.354009,359856.354009,359856.354009,359856.354009,359856.354009,359856.354009,359856.354009,359856.354009,359856.354009,359856.354009,359856.354009
66,28,4,2004,0.0,0.0,0.0,0.0,1094635.88995,1094635.88995,1094635.88995,1094635.88995,1094635.88995,1094635.88995,1094635.88995,1094635.88995,1094635.88995,1094635.88995,1094635.88995,1094635.88995,1094635.88995
66,28,4,2005,0.0,0.0,0.0,0.0,0.0,96479.6278312,96479.6278312,96479.6278312,96479.6278312,96479.6278312,96479.6278312,96479.6278312,96479.6278312,96479.6278312,96479.6278312,96479.6278312,96479.6278312
66,28,4,2006,0.0,0.0,0.0,0.0,0.0,0.0,2132891.62752,2132891.62752,2132891.62752,2132891.62752,2132891.62752,2132891.62752,2132891.62752,2132891.62752,2132891.62752,2132891.62752,2132891.62752
66,28,4,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13089222.6896,13089222.6896,13089222.6896,13089222.6896,13089222.6896,13089222.6896,13089222.6896,13089222.6896
66,28,4,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,4,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210123.212397,210123.212397,210123.212397,210123.212397,210123.212397
66,28,4,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159156.833295,159156.833295,159156.833295,159156.833295
66,28,4,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376437.822249,376437.822249,376437.822249
66,28,4,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094635.88995,1094635.88995
66,28,4,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100925.218042
66,28,5,2000,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796,6548407.8796
66,28,5,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2003,0.0,0.0,0.0,42038269.9493,42038269.9493,42038269.9493,42038269.9493,42038269.9493,42038269.9493,42038269.9493,42038269.9493,42038269.9493,42038269.9493,42038269.9493,42038269.9493,42038269.9493,42038269.9493
66,28,5,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2006,0.0,0.0,0.0,0.0,0.0,0.0,645120.488566,645120.488566,645120.488566,645120.488566,645120.488566,645120.488566,645120.488566,645120.488566,645120.488566,645120.488566,645120.488566
66,28,5,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488643.57286,488643.57286,488643.57286,488643.57286,488643.57286,488643.57286,488643.57286,488643.57286,488643.57286,488643.57286
66,28,5,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155739.76351,1155739.76351,1155739.76351,1155739.76351,1155739.76351,1155739.76351,1155739.76351,1155739.76351,1155739.76351
66,28,5,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3360752.92006,3360752.92006,3360752.92006,3360752.92006,3360752.92006,3360752.92006,3360752.92006,3360752.92006
66,28,5,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327352.83776,327352.83776,327352.83776,327352.83776,327352.83776,327352.83776,327352.83776
66,28,5,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7287756.65906,7287756.65906,7287756.65906,7287756.65906,7287756.65906,7287756.65906
66,28,5,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,28,5,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51530770.8788,51530770.8788,51530770.8788
