census region,air conditioning type,housing types,technology,year,value
66,63,28,4,2000,170482.145544
66,63,28,4,2001,171314.254097
66,63,28,4,2002,172080.929123
66,63,28,4,2003,172748.085931
66,63,28,4,2004,173155.536726
66,63,28,4,2005,173432.183018
66,63,28,4,2006,173792.087916
66,63,28,4,2007,174325.125505
66,63,28,4,2008,174889.101434
66,63,28,4,2009,175578.806944
66,63,28,4,2010,176164.944936
66,63,28,4,2011,176561.760009
66,63,28,4,2012,176877.823251
66,63,28,4,2013,177130.603022
66,63,28,4,2014,177355.210592
66,63,28,4,2015,177675.118449
66,63,28,4,2016,177990.222239
66,63,28,10,2000,69307.4378656
66,63,28,10,2001,69645.7208711
66,63,28,10,2002,69957.3294595
66,63,28,10,2003,70227.9699218
66,63,28,10,2004,70391.728603
66,63,28,10,2005,70500.0478261
66,63,28,10,2006,70639.097104
66,63,28,10,2007,70844.9065064
66,63,28,10,2008,71059.6481027
66,63,28,10,2009,71322.3983918
66,63,28,10,2010,71541.0995674
66,63,28,10,2011,71682.6295311
66,63,28,10,2012,71793.3417752
66,63,28,10,2013,71882.7764257
66,63,28,10,2014,71967.3989186
66,63,28,10,2015,72098.7638271
66,63,28,10,2016,72236.1789433
66,63,28,71,2000,0.0
66,63,28,71,2001,0.0
66,63,28,71,2002,0.0
66,63,28,71,2003,0.0
66,63,28,71,2004,0.0
66,63,28,71,2005,0.0
66,63,28,71,2006,0.0
66,63,28,71,2007,0.0
66,63,28,71,2008,0.0
66,63,28,71,2009,0.0
66,63,28,71,2010,0.0
66,63,28,71,2011,0.0
66,63,28,71,2012,0.0
66,63,28,71,2013,0.0
66,63,28,71,2014,0.0
66,63,28,71,2015,0.0
66,63,28,71,2016,0.0
66,63,29,4,2000,73243.7558982
66,63,29,4,2001,73597.9319839
66,63,29,4,2002,73923.9939404
66,63,29,4,2003,74207.2922433
66,63,29,4,2004,74378.9936777
66,63,29,4,2005,74494.4703005
66,63,29,4,2006,74645.6870557
66,63,29,4,2007,74871.2594877
66,63,29,4,2008,75110.1072549
66,63,29,4,2009,75402.9845068
