census division,housing types,technology,year,value
56,28,4,2009,2639.0
56,28,5,2009,690802.0
56,28,6,2009,1160522.0
56,28,7,2009,126206.0
56,28,8,2009,417465.0
56,28,9,2009,96490.0
56,28,10,2009,6603.0
56,28,11,2009,267558.0
56,28,12,2009,46922.0
56,28,13,2009,543051.0
56,28,71,2009,0.0
56,29,4,2009,4066.0
56,29,5,2009,88159.0
56,29,6,2009,318220.0
56,29,7,2009,303433.0
56,29,8,2009,857599.0
56,29,9,2009,66306.0
56,29,10,2009,0.0
56,29,11,2009,0.0
56,29,12,2009,8834.0
56,29,13,2009,398627.0
56,29,71,2009,0.0
56,30,4,2009,0.0
56,30,5,2009,29687.0
56,30,6,2009,6166.0
56,30,7,2009,0.0
56,30,8,2009,3631.0
56,30,9,2009,4266.0
56,30,10,2009,0.0
56,30,11,2009,0.0
56,30,12,2009,24904.0
56,30,13,2009,15782.0
56,30,71,2009,0.0
57,28,4,2009,205579.0
57,28,5,2009,786526.0
57,28,6,2009,1271386.0
57,28,7,2009,668621.0
57,28,8,2009,1421102.0
57,28,9,2009,446500.0
57,28,10,2009,99423.0
57,28,11,2009,334264.0
57,28,12,2009,63233.0
57,28,13,2009,3969078.0
57,28,71,2009,0.0
57,29,4,2009,80453.0
57,29,5,2009,203501.0
57,29,6,2009,1142580.0
57,29,7,2009,853248.0
57,29,8,2009,1915210.0
57,29,9,2009,10551.0
57,29,10,2009,0.0
57,29,11,2009,0.0
57,29,12,2009,10807.0
57,29,13,2009,1142480.0
57,29,71,2009,44245.0
57,30,4,2009,0.0
57,30,5,2009,16064.0
57,30,6,2009,0.0
57,30,7,2009,51609.0
57,30,8,2009,0.0
57,30,9,2009,120438.0
57,30,10,2009,0.0
57,30,11,2009,22106.0
57,30,12,2009,159559.0
57,30,13,2009,65568.0
57,30,71,2009,0.0
58,28,4,2009,198302.0
58,28,5,2009,252267.0
58,28,6,2009,49947.0
58,28,7,2009,1052760.0
58,28,8,2009,597684.0
58,28,9,2009,913336.0
58,28,10,2009,112580.0
58,28,11,2009,321984.0
58,28,12,2009,0.0
58,28,13,2009,9457930.0
58,28,71,2009,10845.0
58,29,4,2009,17881.0
58,29,5,2009,10574.0
58,29,6,2009,0.0
58,29,7,2009,1319991.0
58,29,8,2009,820300.0
58,29,9,2009,61015.0
58,29,10,2009,0.0
58,29,11,2009,11026.0
58,29,12,2009,0.0
58,29,13,2009,1904950.0
58,29,71,2009,0.0
58,30,4,2009,0.0
58,30,5,2009,0.0
58,30,6,2009,0.0
58,30,7,2009,62910.0
58,30,8,2009,0.0
58,30,9,2009,112202.0
58,30,10,2009,0.0
58,30,11,2009,57328.0
58,30,12,2009,0.0
58,30,13,2009,326361.0
58,30,71,2009,0.0
59,28,4,2009,130032.0
59,28,5,2009,100113.0
59,28,6,2009,41616.0
